p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.7418368753250828,0.251,0.086,0,0,SNTG1
0,1.6058803109607132,0.825,0.588,0,0,CPS1
0,1.4600948173843713,0.547,0.265,0,0,SLCO1B3
0,1.3078013025033892,0.423,0.179,0,0,GPC5
0,1.2693219489140928,0.445,0.214,0,0,CYP2B6
0,1.2653683997012763,0.675,0.281,0,0,AGMO
0,1.258545481650331,0.218,0.074,0,0,LINC01524
0,1.238460761113498,0.203,0.08,0,0,AC098617.1
0,1.2127642898701385,0.63,0.232,0,0,ACSM2A
0,1.2114584583168393,0.636,0.235,0,0,ACSM2B
0,1.1779233932943922,0.73,0.326,0,0,AL391117.1
0,1.1526299418310149,0.621,0.263,0,0,GPAM
0,1.146712013323286,0.862,0.478,0,0,PAH
0,1.1393285553883685,0.733,0.384,0,0,COBLL1
0,1.1247542838843367,0.698,0.293,0,0,LINC01146
0,1.117440717680683,0.461,0.259,0,0,LINC00907
0,1.1074563559454453,0.249,0.146,0,0,GPC3
0,1.0881191575368243,0.788,0.398,0,0,CYP2C9
0,1.07588526112576,0.746,0.38,0,0,SLCO1B1
0,1.0660978974742306,0.678,0.316,0,0,SUGCT
0,1.0658948447873509,0.839,0.455,0,0,PCSK6
0,1.0574127341023245,0.865,0.517,0,0,CYP3A5
0,1.0568146633045332,0.599,0.228,0,0,ZNF385B
0,1.0509627329630205,0.686,0.27,0,0,GAS2
0,1.0256251382412176,0.455,0.211,0,0,CYP2C19
0,1.0183850283297606,0.799,0.608,0,0,ITPR2
0,1.0155117221580587,0.529,0.217,0,0,HLF
0,1.0032433811668136,0.832,0.419,0,0,AC007364.1
0,0.9996763390589907,0.691,0.458,0,0,SOX5
0,0.9921057697231133,0.665,0.392,0,0,GHR
0,0.9830552256863685,0.791,0.482,0,0,SNTB1
0,0.9749609274850761,0.461,0.204,0,0,TAT
0,0.9678856554889967,0.732,0.402,0,0,AASS
0,0.9599307072135974,0.567,0.257,0,0,ABCB11
0,0.959898715516029,0.626,0.25,0,0,RGN
0,0.9572565353098427,0.468,0.145,0,0,SLC22A7
0,0.9536336563959484,0.769,0.373,0,0,BHMT2
0,0.9505662429230122,0.556,0.263,0,0,SLC2A9
0,0.9503699325820096,0.571,0.211,0,0,DPYS
0,0.9480615331259883,0.92,0.586,0,0,SORBS2
0,0.9129845131138792,0.508,0.217,0,0,ADRA1A
0,0.9079747522358557,0.386,0.237,0,0,AL136456.1
0,0.9073437134809939,0.466,0.18,0,0,SULT2A1
0,0.9069833454440004,0.836,0.483,0,0,AIG1
0,0.9037355101550535,0.686,0.294,0,0,CA5A
0,0.9017832194037552,0.527,0.217,0,0,SLC38A4
0,0.9017033373535042,0.769,0.409,0,0,HGD
0,0.899745769276863,0.424,0.15,0,0,BHMT
0,0.8991464338869144,0.714,0.417,0,0,PPARGC1A
0,0.8987900839606551,0.404,0.225,0,0,ESR1
0,0.8978467550064497,0.822,0.436,0,0,AOX1
0,0.8869730631812522,0.869,0.415,0,0,HPN
0,0.884800073394207,0.812,0.439,0,0,PDE3B
0,0.8839588412311015,0.814,0.424,0,0,A1CF
0,0.882942205046785,0.317,0.127,0,0,AKR1C4
0,0.8754622630680724,0.394,0.137,0,0,SLCO1B7
0,0.8735380657694392,0.617,0.24,0,0,FYB2
0,0.8708367608793433,0.559,0.2,0,0,BDH1
0,0.8704902223621264,0.493,0.154,0,0,ACOT12
0,0.866771232115521,0.793,0.461,0,0,PID1
0,0.865561191053744,0.498,0.239,0,0,PIK3C2G
0,0.8637335159407236,0.78,0.394,0,0,AC008014.1
0,0.8620877251343528,0.581,0.333,0,0,FMO5
0,0.8537842310633765,0.64,0.36,0,0,LEPR
0,0.8527600320774268,0.65,0.252,0,0,DMGDH
0,0.8495082400261493,0.933,0.708,0,0,RORA
0,0.8486509511493486,0.334,0.13,0,0,SPP2
0,0.8480716722551971,0.297,0.179,0,0,LRP1B
0,0.8436167483798629,0.889,0.478,0,0,ASGR1
0,0.8431201907632082,0.832,0.544,0,0,SLC25A13
0,0.8367091671165792,0.829,0.467,0,0,ALDH1A2
0,0.8334302913250482,0.732,0.412,0,0,FGGY
0,0.8322556726049579,0.647,0.352,0,0,MYOM1
0,0.8310658561987492,0.621,0.298,0,0,ABCB4
0,0.8259742515600146,0.727,0.348,0,0,EPB41L5
0,0.824526716320698,0.88,0.503,0,0,THRB
0,0.8234094703252404,0.837,0.516,0,0,SLC23A2
0,0.8176746345839951,0.637,0.268,0,0,MIR122HG
0,0.8175943896646403,0.757,0.448,0,0,KCNT2
0,0.8147216933375718,0.623,0.256,0,0,AC087482.1
0,0.8135571961666591,0.328,0.113,0,0,PPP1R1C
0,0.8114510023486218,0.415,0.137,0,0,SLC22A25
0,0.8085837733626706,0.627,0.339,0,0,SHROOM3
0,0.8037380934527592,0.623,0.292,0,0,AL139383.1
0,0.801396005171677,0.476,0.154,0,0,HAO1
0,0.8007183313535116,0.642,0.324,0,0,MYRIP
0,0.8003769203450555,0.509,0.249,0,0,ARHGEF28
0,0.8003339832661057,0.477,0.181,0,0,PLPPR1
0,0.799662419053679,0.345,0.152,0,0,CTNNA3
0,0.7945261589902527,0.376,0.157,0,0,CYP27A1
0,0.7943333530233603,0.777,0.331,0,0,MLXIPL
0,0.7910822387035372,0.706,0.405,0,0,PLG
0,0.788411794870326,0.834,0.449,0,0,NR1H4
0,0.7873796720837438,0.611,0.347,0,0,BAAT
0,0.7793685899352746,0.478,0.161,0,0,PFKFB1
0,0.7790690475062387,0.457,0.278,0,0,CTH
0,0.7788137591309245,0.68,0.318,0,0,GPT2
0,0.7774100895932032,0.617,0.296,0,0,GLDC
0,0.7746213495718177,0.7,0.342,0,0,PPARA
0,0.7744405586267431,0.683,0.356,0,0,MACROD2
0,0.7740577315263012,0.292,0.086,0,0,LINC01344
0,0.7737034797564422,0.732,0.383,0,0,CPB2
0,0.7726453414359309,0.9,0.628,0,0,EHBP1
0,0.7713574975225465,0.354,0.16,0,0,IL1RAPL2
0,0.7686864600955556,0.725,0.317,0,0,CYP4F3
0,0.7680973079092461,0.714,0.317,0,0,SLC22A3
0,0.7676601441788371,0.612,0.352,0,0,PTP4A1
0,0.7635084436247408,0.428,0.164,0,0,AC022816.1
0,0.7609920003225339,0.46,0.149,0,0,ADORA2A-AS1
0,0.7609040115969545,0.283,0.165,0,0,GALNTL6
0,0.7582704852914828,0.55,0.24,0,0,CUX2
0,0.757452737190305,0.503,0.247,0,0,FOXP2
0,0.7571556885528514,0.402,0.194,0,0,AC018467.1
0,0.7564642259904313,0.785,0.399,0,0,C4BPB
0,0.7558436579595837,0.886,0.602,0,0,FHIT
0,0.7541620867199836,0.883,0.596,0,0,SLC7A2
0,0.75346081839495,0.42,0.152,0,0,LINC02027
0,0.75290842583079165,0.354,0.198,0,0,RHOBTB1
0,0.7502748610171827,0.474,0.183,0,0,TENM1
0,0.749840910824259,0.278,0.106,0,0,TENM2
0,0.7496333411690799,0.658,0.5,0,0,PARD3B
0,0.7433934811347105,0.544,0.233,0,0,AR
0,0.7429859351115962,0.579,0.236,0,0,CPB2-AS1
0,0.7429539445053888,0.706,0.393,0,0,CLMN
0,0.7413789831732197,0.359,0.14,0,0,LINC02542
0,0.7393582190933621,0.5,0.273,0,0,ADH1B
0,0.7390065317158516,0.733,0.467,0,0,PRKAG2
0,0.7356758670104335,0.63,0.294,0,0,NADK2
0,0.7341989217680813,0.633,0.273,0,0,ACMSD
0,0.7341345306358984,0.746,0.41,0,0,RALGPS2
0,0.7338256430771335,0.741,0.377,0,0,DNAH14
0,0.733032763707256,0.714,0.432,0,0,C5
0,0.7302592466551489,0.491,0.201,0,0,TOX3
0,0.730227701333651,0.424,0.174,0,0,ADH4
0,0.725610160735731,0.859,0.502,0,0,L3MBTL4
0,0.7255644101205072,0.838,0.571,0,0,SIK2
0,0.7252923060463076,0.211,0.068,0,0,RHBG
0,0.7237279522644444,0.334,0.157,0,0,WDR72
0,0.7231232055262582,0.211,0.065,0,0,KCNU1
0,0.7201146782490924,0.726,0.374,0,0,ACSS3
0,0.7179812666458245,0.508,0.37,0,0,SDS
0,0.7168005337700112,0.599,0.229,0,0,ABCC6
0,0.7155243031529017,0.798,0.415,0,0,ABCC2
0,0.7141977541389153,0.759,0.413,0,0,GDA
0,0.7140238540039248,0.333,0.166,0,0,CYP2C8
0,0.7132289163092248,0.67,0.282,0,0,XYLB
