p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.6926144053287082,0.783,0.541,0,0,CPS1
0,1.520045586536501,0.194,0.073,0,0,SNTG1
0,1.3551604866998948,0.33,0.112,0,0,AC093607.1
0,1.299123105106163,0.481,0.22,0,0,SLCO1B3
0,1.2911973945872899,0.685,0.341,0,0,PPARGC1A
0,1.2723642994991198,0.586,0.185,0,0,MIR122HG
0,1.2674214812959046,0.382,0.184,0,0,CYP2B6
0,1.2133820353181393,0.818,0.359,0,0,ALDH1A2
0,1.1997153094615423,0.671,0.338,0,0,AASS
0,1.1985036239013684,0.791,0.365,0,0,PCSK6
0,1.1788863870086286,0.429,0.216,0,0,LINC00907
0,1.1617898837892782,0.784,0.319,0,0,AC007364.1
0,1.1538662796551362,0.634,0.263,0,0,AL391117.1
0,1.1533560038938013,0.242,0.114,0,0,UNC5D
0,1.1463749589850583,0.865,0.516,0,0,SLC7A2
0,1.1454210285920379,0.367,0.14,0,0,GPC5
0,1.1393641442868359,0.816,0.44,0,0,CYP3A5
0,1.1391582254893837,0.795,0.401,0,0,PAH
0,1.130921952159173,0.562,0.233,0,0,AGMO
0,1.1269566943527183,0.609,0.271,0,0,PTP4A1
0,1.1159518023804216,0.631,0.207,0,0,CA5A
0,1.1129934477156131,0.606,0.227,0,0,LINC01146
0,1.1088193483322621,0.372,0.202,0,0,TMEM163
0,1.1068057825212478,0.264,0.174,0,0,ZNF385D
0,1.099390620963712,0.742,0.313,0,0,GDA
0,1.098010717176168,0.295,0.118,0,0,GALNTL6
0,1.0901512475479973,0.855,0.369,0,0,ASGR1
0,1.0853386667591693,0.609,0.284,0,0,MYOM1
0,1.077542683551079,0.618,0.337,0,0,GHR
0,1.0744587439037376,0.797,0.45,0,0,GK
0,1.0694669713078835,0.707,0.329,0,0,CYP2C9
0,1.0629184933503268,0.5,0.231,0,0,GREM2
0,1.0441490940404163,0.5,0.204,0,0,ABCB11
0,1.043458077130539,0.17,0.061,0,0,LINC01524
0,1.038639834131517,0.71,0.4,0,0,KYNU
0,1.024833198300838,0.873,0.512,0,0,SORBS2
0,1.017663249860744,0.802,0.315,0,0,HPN
0,1.015516284352496,0.941,0.633,0,0,ELL2
0,1.0120512193675797,0.78,0.366,0,0,WWC1
0,1.0047690666464908,0.582,0.217,0,0,GLDC
0,0.9942850401910701,0.536,0.183,0,0,GK-AS1
0,0.9935272478040429,0.85,0.403,0,0,THRB
0,0.98023177395966965,0.45,0.172,0,0,HLF
0,0.9768071491091801,0.711,0.334,0,0,HGD
0,0.9761377918026475,0.403,0.192,0,0,HAL
0,0.9674719886778007,0.155,0.074,0,0,AC098617.1
0,0.9646444426305731,0.67,0.22,0,0,SLC22A3
0,0.962770393898805,0.653,0.235,0,0,SMOC1
0,0.9620014394332652,0.515,0.222,0,0,GPAM
0,0.961877731295782,0.744,0.367,0,0,PDE3B
0,0.9596117808123141,0.446,0.228,0,0,CTH
0,0.9585886809967272,0.741,0.417,0,0,SNTB1
0,0.9565313272402485,0.122,0.037,0,0,AC112770.1
0,0.956238523514493,0.499,0.224,0,0,CASC19
0,0.9534348810057578,0.995,0.931,0,0,NEAT1
0,0.9521026705339386,0.522,0.316,0,0,SDS
0,0.9520465389880888,0.373,0.198,0,0,AL136456.1
0,0.9470060084886951,0.75,0.41,0,0,ABLIM3
0,0.9450915231012883,0.388,0.137,0,0,AC018467.1
0,0.9419220009918572,0.408,0.165,0,0,CYP2C19
0,0.940674095884932,0.847,0.446,0,0,EGFR
0,0.9375892152924683,0.706,0.29,0,0,BHMT2
0,0.9352752238559556,0.58,0.21,0,0,GAS2
0,0.9329250196909136,0.656,0.326,0,0,SLCO1B1
0,0.930638109606704,0.535,0.193,0,0,RGN
0,0.9291149145171635,0.727,0.33,0,0,CADM1
0,0.929093481296972,0.597,0.256,0,0,SUGCT
0,0.9285804844542176,0.494,0.18,0,0,CUX2
0,0.9285273943922101,0.762,0.317,0,0,ABCC2
0,0.9264715553120693,0.494,0.182,0,0,ZNF385B
0,0.923630573780029,0.742,0.418,0,0,ERRFI1
0,0.9206310511952196,0.566,0.233,0,0,ABCB4
0,0.9180267671188731,0.802,0.482,0,0,GALNT2
0,0.9147754220839737,0.715,0.315,0,0,AC008014.1
0,0.9125100341400809,0.815,0.408,0,0,NSUN6
0,0.9064389081136763,0.714,0.342,0,0,ASL
0,0.9027012684618724,0.131,0.043,0,0,AL049779.4
0,0.8949671807225754,0.709,0.398,0,0,PRKAG2
0,0.8893182348657156,0.645,0.333,0,0,COBLL1
0,0.8872942877638663,0.493,0.2,0,0,ACSM2A
0,0.8856273312335983,0.408,0.184,0,0,ITGB1-DT
0,0.8825183664042835,0.269,0.104,0,0,LINC02398
0,0.8818696007697993,0.922,0.641,0,0,ADK
0,0.8782974246043567,0.336,0.217,0,0,AL138828.1
0,0.8756028071035531,0.44,0.171,0,0,ADRA1A
0,0.8752225780624863,0.912,0.65,0,0,RORA
0,0.8741273822615865,0.514,0.3,0,0,FMO5
0,0.8714876848912043,0.709,0.252,0,0,PLIN5
0,0.8691998073545792,0.758,0.357,0,0,AOX1
0,0.8691640725936076,0.146,0.056,0,0,AC092691.1
0,0.8645830068360745,0.628,0.427,0,0,SOX5
0,0.8632048557859759,0.56,0.181,0,0,AC087482.1
0,0.8629484521735322,0.711,0.359,0,0,GAREM1
0,0.8589873999038795,0.497,0.204,0,0,ACSM2B
0,0.8588225009729991,0.737,0.436,0,0,PCK1
0,0.8583373419705982,0.784,0.406,0,0,AIG1
0,0.8581882280861504,0.551,0.236,0,0,AL139383.1
0,0.853662350700257,0.609,0.321,0,0,TNRC6C
0,0.8468788495356032,0.774,0.367,0,0,NR1H4
0,0.8452384008757289,0.41,0.133,0,0,PLPPR1
0,0.8421749531009213,0.948,0.651,0,0,TSHZ2
0,0.8415050426952084,0.902,0.499,0,0,POR
0,0.8414470954106625,0.477,0.224,0,0,SLC2A9
0,0.839714482607989,0.45,0.189,0,0,PIK3C2G
0,0.8386862913123223,0.809,0.485,0,0,SLC39A14
0,0.8364570486436536,0.48,0.214,0,0,HSD17B2
0,0.8338598197482388,0.28,0.153,0,0,LRP1B
0,0.8323552138643884,0.186,0.058,0,0,ADGRG5
0,0.8309132501267107,0.827,0.41,0,0,L3MBTL4
0,0.8306390181290624,0.625,0.24,0,0,GPT2
0,0.8285318145705762,0.633,0.33,0,0,KIFC3
0,0.828036854491027,0.707,0.29,0,0,COBL
0,0.8275660370202016,0.563,0.369,0,0,LBP
0,0.8274196731583923,0.689,0.339,0,0,FGGY
0,0.827145880244478,0.847,0.521,0,0,LONP2
0,0.8266634970528182,0.788,0.447,0,0,SLC23A2
0,0.8255195091498622,0.275,0.106,0,0,AC024901.1
