Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
FLC,0,5.88,TMEM163,369
FLC,1,0,,196
FLC,2,5.88,NOVA1,849
FLC,3,35.29,PDE10A|TESC|TMEM163|RPS6KA2|SLC16A14|CA12,265
FLC,4,5.88,VCAN,711
FLC,5,29.41,FURIN|OAT|TESC|SLC16A14|CA12,609
FLC,6,35.29,OAT|SLC16A14|TMEM163|TESC|CA12|FURIN,297
FLC,7,11.76,PDE4B|VCAN,1028
FLC,8,11.76,TESC|NOVA1,668
FLC,9,5.88,PDE4B,789
FLC,10,0,,388
FLC,11,5.88,EGFLAM,550
FLC,12,23.53,TESC|SLC16A14|TMEM163|PDE10A,322
FLC,13,5.88,RPS6KA2,685
FLC,14,5.88,NOVA1,1095
FLC,15,0,,825
