Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
Bcells,0,0,,791
CentralHep,0,68.29,CYP2B6|SORBS2|CP|CYP3A5|SHROOM3|GPC6|C5|CFH|PTGR1|ACSL1|ABCB4|ECHDC2|ADRA1A|MAT1A|CYP2C8|A1CF|CYP2C9|C3|ABCC3|TPRG1|ACSM2A|CYP4F3|CUX2|SCP2|ACSM2B|ASGR1|SOX5|BHMT,791
Cholangiocyte,0,11.32,SORBS2|CYP3A5|GLIS3|ABCC3|MAGI1|PTPRK,791
cvLSECs,0,5.71,MIR99AHG|TFPI,791
Erythroid,0,0,,791
InfMac,0,1.52,NEAT1,791
InterHep,0,68.42,CYP2B6|SORBS2|CP|CYP3A5|ESR1|ALDOB|GPC6|CFH|ECHDC2|C3|ACSM2A|ACSM2B|ASGR1,791
NKTcell,0,11.54,MALAT1|ID2|ARHGAP15,791
NonInfMac,0,0,,791
PortalEndo,0,6.38,EPAS1|TFPI|PLPP3,791
PortalHep,0,63.16,CYP2B6|CP|CYP3A5|NEAT1|ESR1|ALDOB|CFH|ECHDC2|C3|ACSM2A|ACSM2B|ASGR1,791
Stellate,0,23.81,GPC6|SORBS1|NR1H4|RBPMS|SOX5,791
Bcells,1,83.33,EEF1A1|RPS23|RPL8|RPL3|RPL35|RPL29|RPL37|RPLP0|RPL36|RPL6|RPL18|RPL9|RPL18A|RPS16|RPL7A|RPL30|RPS4X|RPS7|RPS17|RPS20|NACA|PTMA|RPS5|RPL14|FAU|RPL11|RPL15|RPL7|RPL10A|RPL24|RPS21|RPL4|RPS3A|RPS26|RPL5|EEF1B2|RPSA|RPL27|RPS25|RPS13,249
CentralHep,1,7.32,SAA1|ORM1|C3,249
Cholangiocyte,1,67.92,EEF1A1|GAPDH|RPL41|RPS18|RPS23|RPL8|RPL3|RPL35|RPL29|RPL37|RPLP0|RPL6|RPS27A|RPL18|SERF2|RPL9|RPL7A|RPS4X|RPS7|COX7C|NACA|RPS5|RPL14|RPL11|RPL15|RPS8|RPL7|RPL10A|RPL4|RPS3A|RPS3|HINT1|RPS26|RPL5|NDUFA4|RPS25,249
cvLSECs,1,8.57,PPIA|NDUFA4|HSP90B1,249
Erythroid,1,7.14,UBB,249
InfMac,1,46.97,FTL|RPL13|RPL39|RPS2|RPL10|RPS14|RPS19|RPL13A|RPS24|RPL28|RPL19|RPS15|RPL18A|RPL32|RPL34|RPS27|COX7C|RPL12|B2M|PTMA|RPS9|RPS8|RPL35A|RPLP2|TMSB10|ACTB|CYBA|ACTG1|SRP14|PPIA|CST3,249
InterHep,1,21.05,MT2A|APOA2|MT1G|C3,249
NKTcell,1,46.15,RPS27|COX7C|B2M|UQCRB|TMSB10|COX4I1|RPS21|ACTG1|RPL4|RPS3|PPIA|EEF1B2,249
NonInfMac,1,54.35,MT-ND5|GAPDH|RPL3|RPL29|RPLP0|RPL6|RPL7A|RPL30|RPS7|COX7C|RPS17|RPS20|NACA|UQCRB|RPL14|TMSB10|RPL10A|COX4I1|RPS21|ACTG1|RPL4|PPIA|RPS26|RPL5|RPSA,249
PortalEndo,1,14.89,IFITM3|SERF2|COX7C|UQCRB|RPL4|RPS3A|HSP90B1,249
PortalHep,1,26.32,FGB|APOC1|SAA1|ORM1|C3,249
Stellate,1,0,,249
Bcells,2,0,,992
CentralHep,2,80.49,CPS1|ADH1B|SOX5|CYP2C9|CYP3A4|ACSM2B|PID1|ACSM2A|PLG|ALDH1L1|ASGR1|CYP3A5|AOX1|BHMT|MLXIPL|CYP2C8|CYP4F3|A1CF|CYP2B6|CYB5A|MAT1A|AGXT|MGST1|ACSL1|ABCB4|CUX2|CFH|ECHDC2|SCP2|GPC6|SORBS2|PTGR1|TPRG1,992
Cholangiocyte,2,9.43,CYP3A5|PTPRK|SORBS2|HINT1|SLC17A4,992
cvLSECs,2,11.43,CD36|RELN|MIR99AHG|PLCB1,992
Erythroid,2,7.14,FBXO7,992
InfMac,2,1.52,FTL,992
InterHep,2,73.68,ACSM2B|ACSM2A|PLG|ASGR1|CYP3A5|APOA2|CYP2B6|CYB5A|AGXT|CFH|ECHDC2|GPC6|SORBS2|ESR1,992
NKTcell,2,3.85,MALAT1,992
NonInfMac,2,0,,992
PortalEndo,2,8.51,PLPP1|PLPP3|DUSP1|PLCB1,992
PortalHep,2,57.89,ACSM2B|ACSM2A|PLG|ASGR1|CYP3A5|MLXIPL|CYP2B6|AGXT|CFH|ECHDC2|ESR1,992
Stellate,2,19.05,SOX5|NR1H4|DMD|GPC6,992
Bcells,3,2.08,TMSB4X,329
CentralHep,3,0,,329
Cholangiocyte,3,3.77,NFIB|MAML2,329
cvLSECs,3,71.43,LDB2|FLT1|ST6GALNAC3|PTPRB|PREX2|KALRN|ACSM3|DNASE1L3|ST6GAL1|STAB2|TACC1|PLCB1|EGFL7|MYO10|PPFIBP1|OIT3|ENG|NOSTRIN|BTNL9|MRC1|HECW2|STAB1|LIFR|ANKS1A|DGKG,329
Erythroid,3,0,,329
InfMac,3,7.58,VIM|HLA-B|TMSB4X|B2M|PLXDC2,329
InterHep,3,0,,329
NKTcell,3,19.23,FYN|HLA-B|TMSB4X|HLA-A|B2M,329
NonInfMac,3,6.52,TMSB4X|PLXDC2|MS4A6A,329
PortalEndo,3,63.83,LDB2|FLT1|ST6GALNAC3|TCF4|PTPRB|CALCRL|KALRN|DNASE1L3|HSPG2|AKT3|ST6GAL1|IGFBP7|RBMS3|TACC1|PLCB1|EGFL7|TIMP3|ENG|HLA-E|ASAP1|NOSTRIN|ZEB1|BTNL9|HECW2|BMPR2|PRSS23|CRIM1|LIFR|MEIS2|PLPP1,329
PortalHep,3,0,,329
Stellate,3,33.33,IGFBP7|RBMS3|MYO10|COL4A2|GRK5|CRIM1|LIFR,329
Bcells,4,0,,261
CentralHep,4,0,,261
Cholangiocyte,4,3.77,MAML2|ANK3,261
cvLSECs,4,8.57,KALRN|LIFR|MYO10,261
Erythroid,4,0,,261
InfMac,4,6.06,PLXDC2|ZEB2|VIM|VCAN,261
InterHep,4,0,,261
NKTcell,4,3.85,CELF2,261
NonInfMac,4,6.52,PLXDC2|ZEB2|CELF2,261
PortalEndo,4,19.15,RBMS3|IGFBP7|AKT3|KALRN|TIMP1|PRSS23|LIFR|TCF4|CRIM1,261
PortalHep,4,0,,261
Stellate,4,66.67,RBMS3|IGFBP7|CRISPLD2|ANK3|CALD1|COL4A2|ADAMTS2|ARHGAP10|DMD|GRK5|HGF|LIFR|CRIM1|MYO10,261
Bcells,5,0,,350
CentralHep,5,2.44,ABCC3,350
Cholangiocyte,5,24.53,PKHD1|ANXA4|FGFR2|THSD4|GLIS3|MAML2|ANK3|PTPRK|SOX6|ABCC3|MAGI1|FARP1|NFIB,350
cvLSECs,5,2.86,MYO10,350
Erythroid,5,0,,350
InfMac,5,1.52,VCAN,350
InterHep,5,0,,350
NKTcell,5,0,,350
NonInfMac,5,0,,350
PortalEndo,5,4.26,CRIM1|TM4SF1,350
PortalHep,5,0,,350
Stellate,5,14.29,ANK3|MYO10|CRIM1,350
Bcells,6,0,,512
CentralHep,6,7.32,SAA1|CP|ORM1,512
Cholangiocyte,6,0,,512
cvLSECs,6,2.86,HSP90B1,512
Erythroid,6,7.14,UBB,512
InfMac,6,4.55,SAT1|SERP1|VCAN,512
InterHep,6,10.53,MT2A|CP,512
NKTcell,6,7.69,ID2|MALAT1,512
NonInfMac,6,2.17,SAT1,512
PortalEndo,6,6.38,TM4SF1|HSP90B1|TIMP3,512
PortalHep,6,21.05,SAA1|CP|FGB|ORM1,512
Stellate,6,0,,512
Bcells,7,0,,326
CentralHep,7,2.44,TPRG1,326
Cholangiocyte,7,1.89,MAML2,326
cvLSECs,7,2.86,MRC1,326
Erythroid,7,0,,326
InfMac,7,16.67,SLC8A1|ZEB2|PLXDC2|AOAH|TBXAS1|CD163|SRGN|CD74|PSAP|CTSS|SAT1,326
