Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
FLC,0,0,,10
FLC,1,11.76,FURIN|OAT,338
FLC,2,0,,313
FLC,3,0,,724
FLC,4,29.41,PDE10A|TMEM163|SLC16A14|OAT|RPS6KA2,189
FLC,5,5.88,VCAN,266
FLC,6,58.82,VCAN|TMEM163|TESC|PDE10A|RPS6KA2|SLC16A14|OAT|NOVA1|FURIN|CA12,757
FLC,7,5.88,PDE4B,259
FLC,8,5.88,OAT,1527
FLC,9,0,,381
FLC,10,0,,75
FLC,11,58.82,TMEM163|RPS6KA2|SLC16A14|OAT|PDE4B|NOVA1|CA12|PDE10A|TESC|VCAN,1952
FLC,12,52.94,PDE10A|TESC|RPS6KA2|TMEM163|FURIN|PDE4B|VCAN|CA12|NOVA1,1259
FLC,13,0,,1642
FLC,14,0,,860
FLC,15,35.29,PDE10A|SLC16A14|TMEM163|OAT|RPS6KA2|PDE4B,405
FLC,16,5.88,VCAN,769
