Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
Bcells,0,0,,10
CentralHep,0,0,,10
Cholangiocyte,0,0,,10
cvLSECs,0,0,,10
Erythroid,0,0,,10
InfMac,0,0,,10
InterHep,0,0,,10
NKTcell,0,0,,10
NonInfMac,0,0,,10
PortalEndo,0,0,,10
PortalHep,0,0,,10
Stellate,0,0,,10
Bcells,1,89.58,EEF1A1|RPL3|RPS23|RPLP0|RPL6|RPL8|RPL9|RPL29|RPL18|RPS7|RPL7A|RPL35|RPL36|RPL18A|RPL30|RPL37|NACA|RPS4X|RPS5|RPL11|RPL15|FAU|RPL14|RPS16|PTMA|RPS17|RPL10A|RPS20|RPL7|RPL24|RPL4|RPS3A|EEF1B2|RPL5|RPS21|RPS26|RPSA|RPL27|RPS13|RPS25|RPL22|EEF1D|RPL31,338
CentralHep,1,17.07,ORM1|C3|ADH1B|PLG|MGST1|AGXT|SAA1,338
Cholangiocyte,1,69.81,RPS18|GAPDH|EEF1A1|RPL41|RPL3|RPS23|RPLP0|RPL6|RPL8|RPL9|RPL29|RPS27A|RPL18|RPS7|RPL7A|SERF2|RPL35|RPL37|NACA|RPS4X|RPS5|RPL11|RPL15|RPL14|RPL10A|RPS8|HINT1|RPL7|RPS3|RPL4|RPS3A|COX7C|RPL5|RPS26|NDUFA4|RPS25|RPL22,338
cvLSECs,1,8.57,HSP90B1|PPIA|NDUFA4,338
Erythroid,1,7.14,UBB,338
InfMac,1,51.52,FTL|RPL13|RPS2|RPL10|RPS19|RPS14|RPL13A|RPL39|RPL28|RPL19|RPS24|RPS15|RPS27|RPL18A|RPL32|RPS9|RPL34|RPL12|PTMA|B2M|RPS8|ACTG1|ACTB|CYBA|RPL35A|COX7C|SRP14|RPLP2|PPIA|CST3|H3F3A|TMSB10|S100A6|PSAP,338
InterHep,1,36.84,APOA2|MT2A|ALDOB|MT1G|C3|PLG|AGXT,338
NKTcell,1,50,RPS27|B2M|COX4I1|ACTG1|RPS3|UQCRB|RPL4|EEF1B2|COX7C|RPS21|PPIA|TMSB10|HLA-A,338
NonInfMac,1,60.87,MT-ND5|GAPDH|RPL3|RPLP0|RPL6|RPL29|RPS7|RPL7A|RPL30|NACA|RPL14|RPS17|RPL10A|RPS20|COX4I1|ACTG1|UQCRB|RPL4|COX7C|RPL5|RPS21|RPS26|PPIA|RPSA|TMSB10|RPL22|EEF1D|PFN1,338
PortalEndo,1,17.02,SERF2|IFITM3|UQCRB|HSP90B1|RPL4|RPS3A|COX7C|PFN1,338
PortalHep,1,42.11,APOC1|FGB|ORM1|ALDOB|C3|PLG|AGXT|SAA1,338
Stellate,1,0,,338
Bcells,2,0,,313
CentralHep,2,0,,313
Cholangiocyte,2,5.66,NFIB|MAGI1|MAML2,313
cvLSECs,2,65.71,LDB2|FLT1|ST6GALNAC3|PTPRB|KALRN|PLCB1|PREX2|ACSM3|HECW2|PPFIBP1|EGFL7|DNASE1L3|ST6GAL1|TACC1|LIFR|MYO10|STAB2|ENG|NOSTRIN|OIT3|BTNL9|MRC1|STAB1,313
Erythroid,2,0,,313
InfMac,2,4.55,VIM|HLA-B|PLXDC2,313
InterHep,2,0,,313
NKTcell,2,11.54,FYN|HLA-B|HLA-A,313
NonInfMac,2,2.17,PLXDC2,313
PortalEndo,2,68.09,LDB2|FLT1|ST6GALNAC3|TCF4|CALCRL|PTPRB|KALRN|PLCB1|HSPG2|HECW2|IGFBP7|BMPR2|AKT3|ZEB1|RBMS3|EGFL7|DNASE1L3|PLPP1|ST6GAL1|ASAP1|TACC1|LIFR|CRIM1|PLPP3|TIMP3|ENG|NOSTRIN|HLA-E|BTNL9|PRSS23|PTPRG|MEIS2,313
PortalHep,2,0,,313
Stellate,2,38.1,IGFBP7|RBMS3|LIFR|COL4A2|CRIM1|MYO10|GRK5|PTPRG,313
Bcells,3,0,,724
CentralHep,3,73.17,CYP3A5|CP|GPC6|CUX2|ABCB4|C3|TPRG1|ADRA1A|SAA1|PID1|CYP2B6|CYP3A4|CFH|SHROOM3|ACSL1|C5|ABCC3|SOX5|A1CF|ACSM2A|ACSM2B|SORBS2|MAT1A|ALDH1L1|MLXIPL|ASGR1|ECHDC2|CYB5A|CYP2C8|CYP4F3,724
Cholangiocyte,3,18.87,CYP3A5|FARP1|ABCC3|SORBS2|MAGI1|GLIS3|PTPRK|SOX6|THSD4|NFIB,724
cvLSECs,3,2.86,NTN4,724
Erythroid,3,0,,724
InfMac,3,1.52,NEAT1,724
InterHep,3,68.42,CYP3A5|CP|GPC6|C3|CYP2B6|CFH|ESR1|ACSM2A|ACSM2B|SORBS2|ASGR1|ECHDC2|CYB5A,724
NKTcell,3,3.85,ID2,724
NonInfMac,3,0,,724
PortalEndo,3,4.26,PLPP3|EPAS1,724
PortalHep,3,68.42,CYP3A5|CP|C3|SAA1|CYP2B6|CFH|ESR1|NEAT1|ACSM2A|ACSM2B|MLXIPL|ASGR1|ECHDC2,724
Stellate,3,23.81,GPC6|NR1H4|SOX5|RBPMS|SORBS1,724
Bcells,4,0,,189
CentralHep,4,14.63,SORBS2|CYP2C9|CPS1|PTGR1|CYP2C8|CYP2B6,189
Cholangiocyte,4,1.89,SORBS2,189
cvLSECs,4,0,,189
Erythroid,4,0,,189
InfMac,4,3.03,NEAT1|SAT1,189
InterHep,4,10.53,SORBS2|CYP2B6,189
NKTcell,4,3.85,MALAT1,189
NonInfMac,4,2.17,SAT1,189
PortalEndo,4,2.13,TIMP3,189
PortalHep,4,10.53,NEAT1|CYP2B6,189
Stellate,4,0,,189
Bcells,5,0,,266
CentralHep,5,2.44,GPC6,266
Cholangiocyte,5,5.66,MAML2|ANK3|GLIS3,266
cvLSECs,5,5.71,KALRN|LIFR,266
Erythroid,5,0,,266
InfMac,5,6.06,PLXDC2|ZEB2|VIM|VCAN,266
InterHep,5,5.26,GPC6,266
NKTcell,5,3.85,CELF2,266
NonInfMac,5,6.52,PLXDC2|ZEB2|CELF2,266
