p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.0442162793262382,0.902,0.241,0,0,MT-CO2
0,0.9074533975055799,0.874,0.28,0,0,MT-ND3
0,0.8951551072404689,0.926,0.27,0,0,MT-CO3
0,0.8889628120713735,0.957,0.401,0,0,MT-CO1
0,0.8746700465074375,0.892,0.28,0,0,MT-ND4
0,0.8336201659857649,0.934,0.286,0,0,MT-ATP6
0,0.7307827902893027,0.331,0.111,0,0,APOA4
0,0.7260506354726362,0.861,0.249,0,0,MT-CYB
0,0.717748432286722,0.795,0.237,0,0,MT-ND1
0,0.6292145974814081,0.846,0.327,0,0,MT-ND2
0,2.763877633485277,0.801,0.323,0,1,MT-CO3
0,2.6841194651615314,0.739,0.3,0,1,MT-CYB
0,2.673580176456378,0.794,0.432,0,1,APOE
0,2.6564560357125946,0.755,0.298,0,1,MT-CO2
0,2.6179553655825156,0.814,0.339,0,1,MT-ATP6
0,2.6122371962433024,0.662,0.379,0,1,APOA2
0,2.609039325305131,0.856,0.446,0,1,MT-CO1
0,2.5971940330076824,0.893,0.568,0,1,FTL
0,2.472797056649223,0.775,0.33,0,1,MT-ND4
0,2.365651410927243,0.785,0.326,0,1,MT-ND3
0,2.3533154528886193,0.867,0.554,0,1,RBP4
0,2.3363489836505136,0.794,0.463,0,1,APOC1
0,2.2883636034635373,0.923,0.854,0,1,ALB
0,2.2755042840232433,0.675,0.347,0,1,APOA1
0,2.2693922528458894,0.66,0.425,0,1,HP
0,2.211575033486022,0.684,0.283,0,1,MT-ND1
0,2.205991248790265,0.803,0.338,0,1,APOC3
0,2.179626108827986,0.938,0.764,0,1,SERPINA1
0,2.151190595966891,0.951,0.813,0,1,FGA
0,2.1351147842881026,0.778,0.366,0,1,MT-ND2
0,2.063255830232026,0.717,0.43,0,1,VTN
0,2.044923243581033,0.705,0.382,0,1,AMBP
0,2.0132270076351393,0.71,0.421,0,1,CLU
0,2.0087928368011503,0.953,0.81,0,1,FGB
0,1.9294725049529267,0.66,0.436,0,1,APOC2
0,1.923462388589845,0.817,0.508,0,1,RPL13
0,1.8890521169922088,0.257,0.133,0,1,APOA4
0,1.8364336462132869,0.353,0.162,0,1,TTR
0,1.8051413680975656,0.861,0.811,0,1,APOB
0,1.8040266528294022,0.787,0.451,0,1,ORM1
0,1.7903027021636522,0.803,0.636,0,1,MT2A
0,1.7502019744818647,0.769,0.51,0,1,MT-ND5
0,1.7394825112467929,0.739,0.395,0,1,RPS18
0,1.7354547253362473,0.707,0.362,0,1,GAPDH
0,1.7308929922234857,0.748,0.421,0,1,RPS2
0,1.7116843304116063,0.802,0.544,0,1,HPD
0,1.701007874638356,0.368,0.272,0,1,PLA2G2A
0,1.694987073133769,0.762,0.425,0,1,RPLP1
0,1.6868493772211446,0.701,0.411,0,1,FTH1
0,1.6774374117207447,0.65,0.387,0,1,AGT
0,1.6442168422440047,0.731,0.399,0,1,RPL10
0,1.6197320352890847,0.835,0.611,0,1,EEF1A1
0,1.609270063094049,0.713,0.357,0,1,RPS19
0,1.5704222537069996,0.406,0.228,0,1,FABP1
0,1.547396251072505,0.778,0.461,0,1,RPL41
0,1.5457321025278792,0.762,0.505,0,1,APOH
0,1.540806868747479,0.689,0.355,0,1,RPS12
0,1.5335481170149519,0.73,0.371,0,1,RPL3
0,1.5162266992778295,0.682,0.34,0,1,RPS14
0,1.5117690142958629,0.662,0.392,0,1,CFB
0,1.4912727241881452,0.824,0.586,0,1,TPT1
0,1.4912277270854513,0.946,0.831,0,1,FGG
0,1.4840495168715946,0.683,0.468,0,1,GC
0,1.4535881546919813,0.704,0.367,0,1,RPL13A
0,1.4497372557454131,0.713,0.364,0,1,RPS28
0,1.4478517654287297,0.685,0.393,0,1,RPL39
0,1.4456374601464215,0.664,0.318,0,1,RPS23
0,1.440316421429097,0.647,0.281,0,1,KRT18
0,1.4192204997358924,0.521,0.305,0,1,MT1E
0,1.4085472176098126,0.629,0.27,0,1,RPL28
0,1.4072709128019658,0.669,0.356,0,1,RPLP0
0,1.3757494268723944,0.628,0.275,0,1,RPL19
0,1.3754096520409584,0.687,0.401,0,1,RPL6
0,1.3622018808989633,0.603,0.279,0,1,ORM2
0,1.360658818200121,0.651,0.29,0,1,RPL8
0,1.3539979128131354,0.634,0.331,0,1,RPL9
0,1.3522766890853086,0.672,0.461,0,1,MT-ATP8
0,1.3348556139896235,0.617,0.269,0,1,RPL29
0,1.3342910618104709,0.459,0.253,0,1,MT1X
0,1.3293442556646835,0.644,0.312,0,1,RPS27A
0,1.3281302260196162,0.589,0.236,0,1,RPL18
0,1.3281294213485246,0.689,0.397,0,1,RPL37A
0,1.3280650018370161,0.343,0.12,0,1,PRAP1
0,1.3247377962196336,0.168,0.079,0,1,REG3A
0,1.3187069836601488,0.651,0.363,0,1,RPL17
0,1.2938725283035046,0.71,0.528,0,1,CYP2E1
0,1.287154649413989,0.715,0.456,0,1,RPS24
0,1.263716469789519,0.605,0.322,0,1,RPS7
0,1.2631227701978893,0.614,0.384,0,1,MT-ND4L
0,1.2601476901651922,0.722,0.51,0,1,HSP90AB1
0,1.2522634096619694,0.631,0.331,0,1,PEBP1
0,1.2297479674269778,0.642,0.304,0,1,RPL7A
0,1.2150248999247175,0.609,0.278,0,1,SERF2
0,1.2072876166474962,0.598,0.226,0,1,RPS15
0,1.2054633374672228,0.285,0.135,0,1,SPINK1
0,1.2043144966749173,0.617,0.291,0,1,RPS27
0,1.2012946858158502,0.633,0.287,0,1,RPL35
0,1.1986011102257772,0.603,0.309,0,1,IFITM3
0,1.1947229288388879,0.617,0.258,0,1,RPL36
0,1.1935563505154652,0.539,0.277,0,1,ITIH2
0,1.1831080103958136,0.592,0.343,0,1,SELENOP
0,1.1826295204822568,0.621,0.484,0,1,IGFBP1
0,1.1812426766047721,0.338,0.14,0,1,GSTA1
0,1.178231028532087,0.574,0.234,0,1,RPL18A
0,1.1754704690588362,0.677,0.392,0,1,EIF1
0,1.1751892446270444,0.626,0.301,0,1,RPL30
0,1.1679074479346974,0.68,0.387,0,1,RPL37
0,1.165256875093861,0.606,0.314,0,1,NACA
0,1.1606347573286757,0.555,0.243,0,1,RPS4X
0,1.151343920587086,0.627,0.294,0,1,RPL32
0,1.1512024354661141,0.473,0.172,0,1,RPS5
0,1.15040131068176,0.547,0.332,0,1,APCS
0,1.1323313448483145,0.549,0.206,0,1,MIF
0,1.1309035692628777,0.638,0.329,0,1,RPL26
0,1.1214804564949838,0.625,0.447,0,1,TF
0,1.1194636695028453,0.622,0.377,0,1,TMBIM6
0,1.1182398814772636,0.422,0.145,0,1,MT-ND6
0,1.1179131834702674,0.633,0.344,0,1,RPS9
0,1.1138818688197052,0.779,0.618,0,1,HSP90AA1
0,1.1068538823093574,0.647,0.352,0,1,RPL11
0,1.0982601468993596,0.566,0.278,0,1,RACK1
0,1.0976145821467553,0.569,0.251,0,1,RPL15
0,1.0831902626209917,0.654,0.332,0,1,RPL34
0,1.0826690357355568,0.654,0.346,0,1,RPS6
0,1.0649735398251987,0.561,0.197,0,1,FAU
0,1.0591947009736058,0.605,0.319,0,1,RPL12
0,1.059154961025148,0.58,0.265,0,1,ATP5F1E
0,1.0560391004411787,0.59,0.299,0,1,RPL14
0,1.0559490919358918,0.612,0.303,0,1,RPS16
0,1.0504336042258393,0.724,0.477,0,1,PTMA
0,1.046798813776789,0.557,0.228,0,1,RPS17
0,1.0259893304839136,0.586,0.303,0,1,EEF2
0,1.0237669964056535,0.788,0.579,0,1,B2M
0,1.0210278438950104,0.559,0.276,0,1,RPL10A
0,1.0209532585553571,0.179,0.085,0,1,PEG10
0,1.0077167164744933,0.567,0.26,0,1,RPS20
0,0.9952850359204599,0.246,0.086,0,1,APOM
0,0.9902911512342251,0.583,0.316,0,1,CD63
0,0.989706362175057,0.608,0.334,0,1,RPS8
0,0.9830792296067278,0.574,0.292,0,1,RPL21
0,0.9829885760773449,0.495,0.262,0,1,HINT1
0,0.9798183313731065,0.57,0.267,0,1,RPL7
0,0.9793235200318849,0.415,0.184,0,1,CES1
0,0.9770964765485297,0.473,0.24,0,1,CFHR1
0,0.9755208272927355,0.587,0.27,0,1,RPL24
0,0.9754418520404673,0.506,0.187,0,1,COX4I1
0,0.9736192821509101,0.607,0.332,0,1,ACTG1
0,0.9691737221327144,0.512,0.351,0,1,SERPINA3
0,0.9689061944990105,0.254,0.145,0,1,GPC3
0,0.9651015740473857,0.538,0.267,0,1,RPS29
0,0.961189201606958,0.499,0.221,0,1,UQCRQ
0,0.9591827048287395,0.382,0.15,0,1,GPX3
0,0.9525308674889803,0.191,0.075,0,1,DLK1
0,0.9516923590679167,0.516,0.191,0,1,UBA52
0,0.9504562254064168,0.495,0.214,0,1,UBB
0,0.9439330986390448,0.574,0.307,0,1,ACTB
0,0.942089707660928,0.356,0.158,0,1,SCD
0,0.934835019375641,0.549,0.301,0,1,ASGR2
0,0.9311820797190766,0.505,0.236,0,1,RPS15A
0,0.9307601388085804,0.534,0.238,0,1,RPS11
0,0.9303307080123977,0.581,0.373,0,1,SERPING1
0,0.9268780970751712,0.514,0.261,0,1,RPS3
0,0.9233896029991495,0.527,0.224,0,1,UQCRB
0,0.9229250187273252,0.714,0.592,0,1,HSP90B1
0,0.9196856313809746,0.286,0.136,0,1,CYBA
0,0.9184877696003699,0.566,0.371,0,1,CANX
0,0.9144638386128285,0.514,0.253,0,1,RPL4
0,0.9128518431734993,0.277,0.126,0,1,H19
0,0.9093008463972536,0.504,0.34,0,1,ALDOB
0,0.9088264176436776,0.538,0.239,0,1,RPL23
0,0.9086774461945161,0.326,0.14,0,1,MT1G
0,0.908435471524634,0.571,0.272,0,1,RPL27A
0,0.9050430015083446,0.569,0.294,0,1,RPS3A
0,0.903141588442668,0.556,0.249,0,1,RPL35A
0,0.896169470175562,0.418,0.156,0,1,TM4SF5
0,0.895835517449868,0.579,0.361,0,1,P4HB
0,0.8953549577413894,0.531,0.277,0,1,EEF1B2
0,0.892348885558273,0.471,0.263,0,1,ANGPTL3
0,0.8913956058142646,0.473,0.176,0,1,COX7C
0,0.8883625082582538,0.46,0.194,0,1,CTSD
0,0.8792689430418139,0.511,0.219,0,1,SRP14
0,0.8771797121763939,0.601,0.38,0,1,RPL5
0,0.8718134779913304,0.532,0.231,0,1,RPL38
0,0.8693349625641251,0.488,0.192,0,1,RPS21
0,0.8657171579282542,0.552,0.28,0,1,RPLP2
0,0.865131140053808,0.512,0.333,0,1,HSPA5
0,0.8583683213929558,0.504,0.207,0,1,RPS26
0,0.8559735259672334,0.358,0.147,0,1,SERPINC1
0,0.8525824907450443,0.487,0.231,0,1,CALR
0,0.8472601619716926,0.546,0.285,0,1,PPIA
0,0.8371208481796284,0.424,0.152,0,1,CST3
0,0.836388705529563,0.486,0.284,0,1,KNG1
0,0.8358568380794891,0.785,0.662,0,1,C3
0,0.8351192679730626,0.477,0.223,0,1,RPSA
0,0.8314270371417796,0.419,0.156,0,1,SSR4
0,0.8164092944879533,0.828,0.679,0,1,FGL1
0,0.8154402119514979,0.443,0.167,0,1,ETFB
0,0.8079969156357132,0.787,0.668,0,1,A2M
0,0.8054930799632141,0.437,0.145,0,1,COX6A1
0,0.8035849653643745,0.355,0.212,0,1,A1BG
0,0.7975167262912433,0.476,0.183,0,1,NME2
0,0.7929270369270323,0.448,0.15,0,1,ATP5F1D
0,0.7878944883003673,0.483,0.215,0,1,RPL23A
