Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
Bcells,0,0,,757
CentralHep,0,53.66,SORBS2|CYP2B6|CP|C5|PTGR1|CYP3A5|CFH|SHROOM3|ECHDC2|CYP2C8|CYP2C9|ADRA1A|MGST1|ASGR1|A1CF|ABCC3|CYP4F3|C3|ABCB4|MAT1A|ACSL1|GPC6,757
Cholangiocyte,0,7.55,SORBS2|CYP3A5|GLIS3|ABCC3,757
cvLSECs,0,5.71,TFPI|MIR99AHG,757
Erythroid,0,0,,757
InfMac,0,4.55,NEAT1|VCAN|SAT1,757
InterHep,0,57.89,SORBS2|CYP2B6|CP|CYP3A5|CFH|ECHDC2|ASGR1|C3|ALDOB|GPC6|ESR1,757
NKTcell,0,7.69,MALAT1|ID2,757
NonInfMac,0,2.17,SAT1,757
PortalEndo,0,2.13,TFPI,757
PortalHep,0,52.63,NEAT1|CYP2B6|CP|CYP3A5|CFH|ECHDC2|ASGR1|C3|ALDOB|ESR1,757
Stellate,0,19.05,NR1H4|SORBS1|RBPMS|GPC6,757
Bcells,1,2.08,TMSB4X,335
CentralHep,1,0,,335
Cholangiocyte,1,5.66,NFIB|MAGI1|MAML2,335
cvLSECs,1,60,LDB2|FLT1|ST6GALNAC3|PTPRB|PREX2|PLCB1|KALRN|ACSM3|EGFL7|ST6GAL1|HECW2|DNASE1L3|TACC1|STAB2|LIFR|PPFIBP1|ENG|MYO10|BTNL9|NOSTRIN|OIT3,335
Erythroid,1,0,,335
InfMac,1,6.06,VIM|HLA-B|TMSB4X|PLXDC2,335
InterHep,1,0,,335
NKTcell,1,15.38,FYN|HLA-B|TMSB4X|HLA-A,335
NonInfMac,1,4.35,TMSB4X|PLXDC2,335
PortalEndo,1,65.96,LDB2|FLT1|TCF4|ST6GALNAC3|CALCRL|PTPRB|HSPG2|PLCB1|KALRN|IGFBP7|AKT3|RBMS3|EGFL7|ST6GAL1|HECW2|ZEB1|DNASE1L3|TACC1|PLPP1|BMPR2|LIFR|ENG|ASAP1|CRIM1|HLA-E|BTNL9|TIMP3|NOSTRIN|PRSS23|PLPP3|MEIS2,335
PortalHep,1,0,,335
Stellate,1,33.33,IGFBP7|RBMS3|LIFR|MYO10|GRK5|CRIM1|COL4A2,335
Bcells,2,43.75,RPL3|RPL9|RPS7|RPS23|RPL8|RPL18|EEF1A1|NACA|RPL29|RPS4X|RPLP0|RPS5|RPL6|RPL15|RPL7A|RPL14|RPL30|RPL10A|RPL18A|EEF1B2|RPL11,290
