Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
Bcells,0,0,,652
CentralHep,0,26.83,CP|C5|SORBS2|PTGR1|CFH|MGST1|ASGR1|C3|ECHDC2|ADRA1A|CUX2,652
Cholangiocyte,0,3.77,SORBS2|GLIS3,652
cvLSECs,0,2.86,TFPI,652
Erythroid,0,0,,652
InfMac,0,4.55,NEAT1|VCAN|SAT1,652
InterHep,0,31.58,CP|SORBS2|CFH|ASGR1|C3|ECHDC2,652
NKTcell,0,3.85,MALAT1,652
NonInfMac,0,2.17,SAT1,652
PortalEndo,0,4.26,TM4SF1|TFPI,652
PortalHep,0,31.58,NEAT1|CP|CFH|ASGR1|C3|ECHDC2,652
Stellate,0,14.29,NR1H4|SORBS1|RBPMS,652
Bcells,1,2.08,TMSB4X,315
CentralHep,1,0,,315
Cholangiocyte,1,5.66,NFIB|MAGI1|MAML2,315
cvLSECs,1,65.71,LDB2|FLT1|ST6GALNAC3|PTPRB|PREX2|KALRN|PLCB1|ACSM3|HECW2|EGFL7|DNASE1L3|ST6GAL1|PPFIBP1|STAB2|TACC1|MYO10|ENG|OIT3|NOSTRIN|BTNL9|STAB1|MRC1|LIFR,315
Erythroid,1,0,,315
InfMac,1,6.06,VIM|HLA-B|TMSB4X|PLXDC2,315
InterHep,1,0,,315
NKTcell,1,15.38,FYN|HLA-B|TMSB4X|HLA-A,315
NonInfMac,1,4.35,TMSB4X|PLXDC2,315
PortalEndo,1,63.83,LDB2|FLT1|TCF4|ST6GALNAC3|CALCRL|PTPRB|KALRN|PLCB1|HSPG2|IGFBP7|AKT3|HECW2|EGFL7|RBMS3|DNASE1L3|ST6GAL1|BMPR2|ZEB1|TACC1|PLPP1|ASAP1|ENG|CRIM1|HLA-E|NOSTRIN|TIMP3|PLPP3|BTNL9|PRSS23|LIFR,315
PortalHep,1,0,,315
Stellate,1,33.33,IGFBP7|RBMS3|MYO10|COL4A2|GRK5|CRIM1|LIFR,315
Bcells,2,39.58,RPL3|RPL9|RPS7|RPS23|RPL8|RPL18|EEF1A1|NACA|RPS4X|RPL29|RPLP0|RPS5|RPL6|RPL14|RPL15|RPL30|RPL7A|RPL10A|RPL11,121
CentralHep,2,17.07,SAA1|ORM1|ADH1B|ASGR1|PLG|C3|CPS1,121
Cholangiocyte,2,43.4,RPS18|RPL3|RPL9|RPS7|RPS23|RPS27A|RPL8|RPL18|RPL41|EEF1A1|NACA|RPS4X|RPL29|HINT1|GAPDH|RPLP0|RPS5|RPL6|RPL14|RPL15|RPL7A|RPL10A|RPL11,121
cvLSECs,2,0,,121
Erythroid,2,0,,121
InfMac,2,16.67,FTL|RPL13|RPL10|RPS2|RPS19|RPS14|RPL13A|RPL19|RPS27|RPL28|RPS9,121
InterHep,2,21.05,APOA2|ASGR1|PLG|C3,121
NKTcell,2,3.85,RPS27,121
NonInfMac,2,23.91,RPL3|RPS7|NACA|RPL29|GAPDH|RPLP0|RPL6|RPL14|RPL30|RPL7A|RPL10A,121
PortalEndo,2,0,,121
PortalHep,2,36.84,SAA1|APOC1|ORM1|ASGR1|PLG|C3|FGB,121
Stellate,2,0,,121
Bcells,3,0,,276
CentralHep,3,2.44,GPC6,276
Cholangiocyte,3,5.66,MAML2|ANK3|GLIS3,276
cvLSECs,3,2.86,KALRN,276
Erythroid,3,0,,276
InfMac,3,4.55,PLXDC2|ZEB2|VIM,276
InterHep,3,5.26,GPC6,276
NKTcell,3,3.85,CELF2,276
NonInfMac,3,6.52,PLXDC2|ZEB2|CELF2,276
PortalEndo,3,14.89,RBMS3|IGFBP7|TIMP1|AKT3|KALRN|CRIM1|PRSS23,276
PortalHep,3,0,,276
