p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.8910680355907212,0.25,0.083,0,Epithelial 1,LINC00499
0,1.7053782395160517,0.834,0.376,0,Epithelial 1,PPARGC1A
0,1.7019505827367638,0.45,0.213,0,Epithelial 1,ZNF385D
0,1.6891290939922543,0.803,0.415,0,Epithelial 1,KYNU
0,1.670455639676236,0.479,0.138,0,Epithelial 1,AC093607.1
0,1.5904941235029564,0.903,0.552,0,Epithelial 1,SLC7A2
0,1.557981650010854,0.614,0.222,0,Epithelial 1,TMEM163
0,1.545006554609861,0.323,0.133,0,Epithelial 1,AC109927.1
0,1.475644640247356,0.648,0.222,0,Epithelial 1,GREM2
0,1.4574892228940097,0.677,0.3,0,Epithelial 1,SDS
0,1.4324046637992494,0.772,0.716,0,Epithelial 1,PDE4D
0,1.4006158550495948,0.512,0.115,0,Epithelial 1,GALNTL6
0,1.359136885002446,0.569,0.218,0,Epithelial 1,MIR122HG
0,1.351544261649706,0.562,0.347,0,Epithelial 1,PDE10A
0,1.3277476836813924,0.597,0.355,0,Epithelial 1,PDE3A
0,1.2947631105287343,0.432,0.143,0,Epithelial 1,UNC5D
0,1.2861924449052795,0.38,0.222,0,Epithelial 1,PDK4
0,1.2480539314586871,0.716,0.327,0,Epithelial 1,TNRC6C
0,1.2364353326436077,0.43,0.189,0,Epithelial 1,HAL
0,1.2311151098291884,0.818,0.338,0,Epithelial 1,ALDH1A2
0,1.2277827877063752,0.553,0.176,0,Epithelial 1,TOX
0,1.2168644545309824,0.572,0.422,0,Epithelial 1,AKAP12
0,1.213376641795719,0.564,0.359,0,Epithelial 1,TANC2
0,1.1346580279771823,0.752,0.349,0,Epithelial 1,ASL
0,1.1246344711153788,0.511,0.216,0,Epithelial 1,AL138828.1
0,1.116585156871214,0.849,0.487,0,Epithelial 1,EGFR
0,1.1158518904320185,0.269,0.173,0,Epithelial 1,CYP2B6
0,1.1115088927112615,0.361,0.145,0,Epithelial 1,LINC00907
0,1.1063960951505905,0.814,0.553,0,Epithelial 1,SORBS2
0,1.1052849753709135,0.562,0.258,0,Epithelial 1,MYOM1
0,1.1007175835946827,0.829,0.455,0,Epithelial 1,PCK1
0,1.0977869850154498,0.803,0.527,0,Epithelial 1,MYO1E
0,1.0867584263499839,0.509,0.22,0,Epithelial 1,PAK3
0,1.074080452488707,0.647,0.343,0,Epithelial 1,ASS1
0,1.0598512104281776,0.555,0.262,0,Epithelial 1,CTH
0,1.0536847243133753,0.701,0.434,0,Epithelial 1,PCSK6
0,1.052656741314121,0.666,0.282,0,Epithelial 1,CA5A
0,1.0445548803868108,0.471,0.119,0,Epithelial 1,AC018467.1
0,1.0388127989327764,0.793,0.345,0,Epithelial 1,WWC1
0,1.0374175654951716,0.738,0.347,0,Epithelial 1,PRKAG2
0,1.0365070770680873,0.192,0.033,0,Epithelial 1,AC112770.1
0,1.0325694646888541,0.591,0.268,0,Epithelial 1,PDE7B
0,1.0322268047451062,0.945,0.7,0,Epithelial 1,ELL2
0,1.0317359959222778,0.491,0.225,0,Epithelial 1,CDH11
0,1.027286488164608,0.72,0.434,0,Epithelial 1,AASS
0,1.023667297434738,0.436,0.11,0,Epithelial 1,LINC02398
0,1.0231744698446241,0.564,0.251,0,Epithelial 1,KLHL29
0,1.003793130547192,0.351,0.125,0,Epithelial 1,AL136456.1
0,0.990087473794631,0.994,0.943,0,Epithelial 1,NEAT1
0,0.9838435056253231,0.46,0.157,0,Epithelial 1,PDE1C
0,0.9769612507114624,0.185,0.048,0,Epithelial 1,AL049779.4
0,0.9755910970343689,0.506,0.144,0,Epithelial 1,KLRD1
0,0.9709608058469643,0.688,0.431,0,Epithelial 1,CP
0,0.9642819982940415,0.436,0.107,0,Epithelial 1,AC024901.1
0,0.9616951173934222,0.376,0.222,0,Epithelial 1,TACC2
0,0.9551273596366401,0.821,0.449,0,Epithelial 1,DOCK5
0,0.9542163152862801,0.606,0.302,0,Epithelial 1,SLC4A4
0,0.9506113429907143,0.309,0.056,0,Epithelial 1,ADGRG5
0,0.9489637337264094,0.897,0.726,0,Epithelial 1,EXT1
0,0.9229247282436995,0.455,0.161,0,Epithelial 1,ITGB1-DT
0,0.922319869562665,0.369,0.206,0,Epithelial 1,TESC
0,0.9145127780518902,0.272,0.051,0,Epithelial 1,ZNF385D-AS2
0,0.9063973159998683,0.657,0.331,0,Epithelial 1,GDA
0,0.9049299764655282,0.715,0.312,0,Epithelial 1,GOT1
0,0.9028304580988904,0.718,0.27,0,Epithelial 1,PLIN5
0,0.9026647611167526,0.818,0.456,0,Epithelial 1,TTC39C
0,0.8951762371245862,0.52,0.246,0,Epithelial 1,MUC13
0,0.8842192555052961,0.697,0.416,0,Epithelial 1,PDE3B
0,0.8822283529840604,0.508,0.157,0,Epithelial 1,EYS
0,0.8804865873784747,0.533,0.19,0,Epithelial 1,GLDC
0,0.8766759782162459,0.811,0.535,0,Epithelial 1,ERRFI1
0,0.8664274297699337,0.508,0.176,0,Epithelial 1,AP000331.1
0,0.8644873554805904,0.662,0.295,0,Epithelial 1,SMOC1
0,0.8603920542225154,0.429,0.157,0,Epithelial 1,AC015923.1
0,0.8484551055229987,0.569,0.25,0,Epithelial 1,GPRIN3
0,0.8483979718220744,0.66,0.304,0,Epithelial 1,LINC00513
0,0.8413574379340181,0.609,0.296,0,Epithelial 1,PTGR1
0,0.8338022291910344,0.277,0.058,0,Epithelial 1,KCNK9
0,0.833710979843397,0.615,0.335,0,Epithelial 1,GAREM1
0,0.831419809592888,0.787,0.447,0,Epithelial 1,ERGIC1
0,0.8266178716489945,0.531,0.243,0,Epithelial 1,GK-AS1
0,0.8220171043626717,0.583,0.19,0,Epithelial 1,AC104461.1
