p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.360957087903154,0.807,0.444,0,0,KYNU
0,2.3485971086827555,0.25,0.086,0,0,LINC00499
0,2.30962131776121,0.849,0.386,0,0,PPARGC1A
0,2.208693709749279,0.501,0.144,0,0,AC093607.1
0,2.1798009828503533,0.616,0.222,0,0,TMEM163
0,2.1264479671693524,0.912,0.546,0,0,SLC7A2
0,2.116640798619018,0.339,0.14,0,0,AC109927.1
0,2.1113181947940562,0.786,0.708,0,0,PDE4D
0,2.056620009954039,0.453,0.224,0,0,ZNF385D
0,2.026005412811308,0.664,0.234,0,0,GREM2
0,2.0101492442289524,0.565,0.374,0,0,TANC2
0,1.992664837697812,0.536,0.11,0,0,GALNTL6
0,1.980165589538429,0.695,0.305,0,0,SDS
0,1.8982150783969476,0.611,0.355,0,0,PDE3A
0,1.87369337120725,0.576,0.178,0,0,TOX
0,1.8038642518654529,0.743,0.371,0,0,TNRC6C
0,1.7804451931320897,0.579,0.351,0,0,PDE10A
0,1.7792726520440527,0.526,0.224,0,0,AL138828.1
0,1.7741249098111735,0.622,0.238,0,0,MIR122HG
0,1.7400661320721185,0.437,0.147,0,0,UNC5D
0,1.7022385953317656,0.58,0.422,0,0,AKAP12
0,1.6832021354954616,0.449,0.213,0,0,HAL
0,1.6696404908676645,0.45,0.115,0,0,LINC02398
0,1.6678528753125805,0.516,0.225,0,0,PAK3
0,1.6654563799904747,0.833,0.357,0,0,ALDH1A2
0,1.637205536377062,0.813,0.563,0,0,MYO1E
0,1.6318786274047572,0.502,0.233,0,0,CDH11
0,1.6146325391078014,0.366,0.133,0,0,AL136456.1
0,1.6074808596476453,0.851,0.503,0,0,EGFR
0,1.5911824030776403,0.425,0.238,0,0,PDK4
0,1.5886758822266889,0.456,0.112,0,0,AC024901.1
0,1.581443321884026,0.539,0.148,0,0,KLRD1
0,1.5749700574162158,0.842,0.546,0,0,SORBS2
0,1.573063975831474,0.464,0.165,0,0,PDE1C
0,1.5653536957451248,0.61,0.281,0,0,PDE7B
0,1.5593357037847437,0.59,0.286,0,0,MYOM1
0,1.5504697299024932,0.376,0.155,0,0,LINC00907
0,1.5488910780620375,0.791,0.386,0,0,ASL
0,1.5452954472450662,0.583,0.267,0,0,KLHL29
0,1.534477991571862,0.486,0.128,0,0,AC018467.1
0,1.5199621283090259,0.802,0.365,0,0,WWC1
0,1.507136958628711,0.833,0.476,0,0,DOCK5
0,1.4915107433481092,0.843,0.458,0,0,PCK1
0,1.482735261956055,0.773,0.378,0,0,PRKAG2
0,1.4823874832188202,0.436,0.262,0,0,TACC2
0,1.4638186067891814,0.993,0.924,0,0,NEAT1
0,1.462179257104742,0.276,0.163,0,0,CYP2B6
0,1.4606216732209765,0.625,0.33,0,0,SLC4A4
0,1.4551171390307176,0.532,0.19,0,0,AP000331.1
0,1.4521239119334501,0.471,0.175,0,0,ITGB1-DT
0,1.450163356197509,0.701,0.371,0,0,ASS1
0,1.4149399089240668,0.384,0.217,0,0,TESC
0,1.41249877650989,0.942,0.664,0,0,ELL2
0,1.4119233354963008,0.262,0.063,0,0,AL136372.2
0,1.3878652110516654,0.705,0.441,0,0,CP
0,1.3845557529465102,0.902,0.72,0,0,EXT1
0,1.3777674023396576,0.585,0.253,0,0,GPRIN3
0,1.3731004189579563,0.696,0.306,0,0,CA5A
0,1.3622605878939056,0.447,0.166,0,0,AC015923.1
0,1.3450755834994235,0.722,0.433,0,0,PCSK6
0,1.3440259391307257,0.593,0.284,0,0,CTH
0,1.3396035158664743,0.836,0.476,0,0,TTC39C
0,1.3257691688216302,0.786,0.299,0,0,PLIN5
