p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.4223730784753483,0.258,0.075,0,0,LINC00499
0,2.3461256064196014,0.473,0.194,0,0,ZNF385D
0,2.2922528260593698,0.797,0.463,0,0,KYNU
0,2.2685334968618065,0.51,0.127,0,0,AC093607.1
0,2.2604688307995575,0.645,0.199,0,0,TMEM163
0,2.252200479824556,0.823,0.697,0,0,PDE4D
0,2.202708125514623,0.348,0.128,0,0,AC109927.1
0,2.166023300959182,0.617,0.346,0,0,TANC2
0,2.0955384808542945,0.638,0.317,0,0,PDE3A
0,2.0235889250762495,0.607,0.314,0,0,PDE10A
0,2.021663374962194,0.521,0.109,0,0,GALNTL6
0,1.9394253132565922,0.46,0.125,0,0,UNC5D
0,1.9117281117472134,0.61,0.392,0,0,AKAP12
0,1.9073820196794113,0.533,0.21,0,0,AL138828.1
0,1.8727029033369593,0.581,0.17,0,0,TOX
0,1.8400754220041948,0.624,0.247,0,0,MIR122HG
0,1.7506977077978676,0.525,0.197,0,0,CDH11
0,1.7498402473589474,0.54,0.188,0,0,PAK3
0,1.7335964182027204,0.416,0.217,0,0,PDK4
0,1.7289231919340342,0.468,0.1,0,0,LINC02398
0,1.7190107697902417,0.807,0.406,0,0,PPARGC1A
0,1.6829216786271095,0.485,0.139,0,0,PDE1C
0,1.6638078592844439,0.714,0.374,0,0,TNRC6C
0,1.6472430889288996,0.475,0.099,0,0,AC024901.1
0,1.6322343503776315,0.537,0.137,0,0,KLRD1
0,1.591483124478935,0.636,0.264,0,0,GREM2
0,1.5694038921318851,0.526,0.189,0,0,ITGB1-DT
0,1.5455829324950852,0.626,0.289,0,0,KLHL29
0,1.5256031938425334,0.399,0.189,0,0,TESC
0,1.5145119692656073,0.517,0.275,0,0,CSGALNACT1
0,1.4947592104410596,0.575,0.205,0,0,MUC13
0,1.484787637458326,0.603,0.233,0,0,GPRIN3
0,1.4824911220336028,0.763,0.574,0,0,GMDS
0,1.4642454519419967,0.993,0.936,0,0,NEAT1
0,1.4617710330170528,0.27,0.054,0,0,AL136372.2
0,1.4492260714846283,0.471,0.146,0,0,AC015923.1
0,1.4462434227269267,0.649,0.365,0,0,LBP
0,1.4438345035885023,0.908,0.571,0,0,SLC7A2
