name,summary.logFC,FDR,p.value,self.average,other.average,self.detected,other.detected,cluster
EEF1A1,3.201487039,9.11396E-55,1.51317E-55,2.078463597,1.318839684,0.630337079,0.495839816,Bcells
RPL11,2.917674898,7.08686E-62,1.01357E-62,1.965966552,1.085547892,0.591011236,0.406317971,Bcells
RPL3,2.852214575,1.14855E-72,1.32889E-73,1.735757492,0.980380902,0.551685393,0.397495657,Bcells
RPS3A,2.845635291,3.04822E-77,3.24633E-78,1.594411105,0.835072754,0.501685393,0.314683033,Bcells
RPL18A,2.768843687,1.26801E-63,1.72601E-64,1.730867918,0.910292277,0.521910112,0.305162558,Bcells
RPS23,2.758718983,1.488E-79,1.5076881157714e-80,1.806417386,0.968380013,0.549438202,0.352218021,Bcells
RPS25,2.721849779,6.05262E-48,1.17026E-48,1.748924132,0.905977854,0.535393258,0.335513543,Bcells
RPL30,2.718425719,2.79859E-74,3.15217E-75,1.634638605,0.852786692,0.523595506,0.351478003,Bcells
RPL31,2.634107453,1.17741750549748e-60,1.72346E-61,1.634929827,0.931910612,0.521910112,0.376843891,Bcells
RPL37,2.602516963,5.92489E-51,1.06832E-51,1.878209707,1.039892449,0.578651685,0.394629177,Bcells
RPS4X,2.577545615,2.41896E-64,3.24862E-65,1.737873984,0.950788765,0.547752809,0.370969449,Bcells
RPS20,2.575653871,4.92685938185187e-90,4.17971E-91,1.573434267,0.852261638,0.503370787,0.334710413,Bcells
RPS21,2.553234816,1.5902E-109,1.01825827180984e-110,1.205650633,0.620485062,0.402247191,0.244287112,Bcells
RPL9,2.528386113,1.38212E-63,1.88664E-64,1.574939578,0.807081263,0.493820225,0.299515555,Bcells
RPL15,2.527079624,4.55701E-77,4.86192E-78,1.558366292,0.882889746,0.511797753,0.363001569,Bcells
RPL36,2.475290464,7.53435E-51,1.36069E-51,1.671025048,1.013854662,0.529213483,0.377719538,Bcells
RPL35,2.445845979,8.91756121157708e-70,1.08221170378225e-70,1.660750938,1.001041369,0.525280899,0.382126343,Bcells
RPL10A,2.427705324,3.17769E-89,2.73539637122566e-90,1.224261766,0.683503745,0.417977528,0.291017718,Bcells
RPS17,2.421494209,2.67245E-88,2.33378E-89,1.4572225,0.746020878,0.470224719,0.288323075,Bcells
RPL6,2.417841736,3.45476E-77,3.6826E-78,1.443722893,0.80635626,0.484831461,0.342726722,Bcells
RPS13,2.403770906,8.75446E-55,1.45097E-55,1.579603205,0.862781698,0.509550562,0.330932863,Bcells
RPL14,2.392607178,1.14169E-91,9.44473E-93,1.374560844,0.756129121,0.471348315,0.336276521,Bcells
RPS16,2.384947653,1.11461E-54,1.85484E-55,1.584417081,0.920336065,0.51741573,0.363981737,Bcells
RPL7,2.376511776,1.66986E-54,2.79323E-55,1.540427843,0.856514971,0.505617978,0.35463126,Bcells
FAU,2.36622925,2.33417E-72,2.71858E-73,1.329258571,0.777699904,0.442696629,0.308187369,Bcells
RPS7,2.360497916,5.18687E-73,5.97146E-74,1.355391458,0.802523986,0.454494382,0.336059224,Bcells
RPL8,2.353309606,1.55764E-48,2.96387E-49,1.33647528,0.822770312,0.447191011,0.340684779,Bcells
RPL18,2.304394484,1.22094399573021e-70,1.4583E-71,1.180442666,0.733352696,0.398314607,0.298964279,Bcells
RPL27,2.298833488,5.96547E-64,8.07443E-65,1.343885349,0.771328234,0.441011236,0.301616216,Bcells
RPL29,2.274367828,1.76178E-56,2.80006E-57,1.452515873,0.876184758,0.484831461,0.369982222,Bcells
RPS26,2.212920006,2.89249E-86,2.61189E-87,1.191037368,0.678333751,0.40505618,0.269258227,Bcells
RPL5,2.170175359,3.02083E-82,2.92758E-83,1.223747743,0.751810052,0.428651685,0.355258467,Bcells
PTMA,2.162050894,2.59922E-74,2.91764E-75,1.519290979,0.909932404,0.504494382,0.380329898,Bcells
RPL7A,2.142133461,8.17243E-76,8.91509E-77,1.143354149,0.699921954,0.403370787,0.294026299,Bcells
RPSA,2.101485444,8.91345E-74,1.01421E-74,0.976488878,0.566093353,0.356741573,0.273988957,Bcells
RPS5,2.090992971,2.40378E-61,3.47709E-62,1.132109238,0.655643378,0.388764045,0.276205387,Bcells
RPL22,2.082090672,5.42711E-72,6.34168E-73,1.130822654,0.701387873,0.400561798,0.300829753,Bcells
RPL24,1.932391391,2.26205E-53,3.88357E-54,1.123887539,0.655596191,0.397191011,0.285320526,Bcells
RPL4,1.885136149,1.29972E-63,1.77041E-64,0.804780243,0.559521753,0.31011236,0.289537898,Bcells
RPLP0,1.867415311,2.06054878138634e-50,3.76477E-51,1.114507716,0.777032801,0.415730337,0.386946543,Bcells
EEF1D,1.84996173,5.09173E-68,6.39395E-69,0.875132968,0.671944548,0.341011236,0.347201364,Bcells
NACA,1.692947309,9.11371E-46,1.85909E-46,0.888867895,0.584383907,0.342134831,0.289859087,Bcells
TOMM7,1.590233082,6.78126E-44,1.4496E-44,0.775709518,0.497691509,0.291573034,0.236317783,Bcells
EEF1B2,1.516385175,5.09481E-39,1.22926E-39,0.710245531,0.428365789,0.271910112,0.232352904,Bcells
CFL1,1.504316678,8.91424E-55,1.4783E-55,0.51761559,0.42998926,0.204494382,0.214335369,Bcells
HNRNPA1,1.316578947,2.27651E-37,5.73929E-38,0.352049929,0.335276238,0.165730337,0.206107609,Bcells
TMSB4X,1.25032535,2.7876E-178,7.4819410651611e-180,2.156373379,1.287910548,0.592134831,0.43276788,Bcells
TMA7,1.23249176,2.57449E-37,6.50285E-38,0.733937547,0.472104767,0.27752809,0.242279581,Bcells
ACSM2B,1.798166843,0,0,2.54483708,0.917449741,0.879448764,0.368348459,CentralHep
ECHDC2,1.713295761,0,0,2.406979981,0.977098417,0.888046021,0.41184349,CentralHep
CYP3A5,1.711928352,0,0,2.780534905,1.261934817,0.861179594,0.428012679,CentralHep
CFH,1.530447113,0,0,2.640613256,1.103497123,0.860168152,0.427414709,CentralHep
BHMT,1.528471312,0,0,1.908757211,0.624481936,0.767178709,0.283315059,CentralHep
GPC6,1.524505549,0,0,2.421747572,0.841571294,0.691130919,0.293017651,CentralHep
ACSM2A,1.512868062,0,0,2.192204692,0.781290964,0.854542006,0.338195293,CentralHep
CYP3A4,1.499122136,0,0,2.188603139,0.738946078,0.787976484,0.338325126,CentralHep
SORBS2,1.444136538,0,0,2.114731642,0.850040102,0.769391238,0.331175284,CentralHep
ASGR1,1.436104107,0,0,1.97674262,0.771907771,0.885390986,0.362453364,CentralHep
ADH1B,1.433704676,0,0,2.22363102,0.849732111,0.89828687,0.401532374,CentralHep
ABCB4,1.428255165,0,0,1.81875209,0.492446894,0.760414691,0.238005416,CentralHep
AGXT,1.394597765,0,0,2.239159524,1.141036095,0.947278589,0.486954962,CentralHep
CYP2C9,1.394240728,0,0,2.249462545,0.867285837,0.850496239,0.377995008,CentralHep
PTGR1,1.382939376,0,0,1.960227796,0.66682391,0.849358367,0.327641389,CentralHep
SOX5,1.354033703,0,0,1.852699514,0.650372046,0.685315127,0.268405995,CentralHep
PLG,1.345527959,0,0,2.257145461,0.952293257,0.854605222,0.405531695,CentralHep
ORM1,1.342770154,0,0,1.902944613,1.778886103,0.780959606,0.61559823,CentralHep
TPRG1,1.34084922,0,0,1.959849332,0.575452508,0.677097162,0.24110424,CentralHep
CUX2,1.340081767,0,0,1.85633864,0.575605595,0.685694418,0.234409057,CentralHep
MLXIPL,1.334636626,0,0,2.04554588,0.88490206,0.85890385,0.392497426,CentralHep
C3,1.325218138,0,0,2.723764794,1.768773709,0.941399583,0.644216579,CentralHep
CYB5A,1.322423544,0,0,2.049714017,0.891203099,0.904039446,0.4212544,CentralHep
AOX1,1.319613134,0,0,1.924818922,0.590689972,0.79903913,0.281052706,CentralHep
PID1,1.311195393,0,0,1.940690798,0.665386887,0.707756495,0.275742443,CentralHep
MGST1,1.304366373,0,0,2.181851686,1.039380281,0.907958784,0.467746028,CentralHep
MAT1A,1.283387256,0,0,1.925548073,0.87792529,0.890068904,0.41394339,CentralHep
CP,1.283243357,0,0,2.287165349,0.995872871,0.847461913,0.408608884,CentralHep
CYP2C8,1.281293328,0,0,2.441155191,1.123797576,0.858398129,0.463143779,CentralHep
SHROOM3,1.281015743,0,0,1.778097409,0.647958638,0.681016499,0.269258376,CentralHep
CPS1,1.280669101,0,0,2.287083225,0.831466151,0.833554586,0.355001443,CentralHep
A1CF,1.273002151,0,0,1.870356337,0.662887998,0.785321449,0.308461114,CentralHep
CYP4F3,1.26810614,0,0,1.641310965,0.537973299,0.813388963,0.284233705,CentralHep
C5,1.254247509,0,0,1.965340969,0.652292569,0.792148682,0.299426576,CentralHep
SCP2,1.248787797,0,0,2.00453895,0.789088632,0.854921297,0.390835015,CentralHep
ABCC3,1.237136542,0,0,1.661161521,0.721469548,0.771919843,0.329810383,CentralHep
SAA1,1.23172616,1.6327E-226,2.0659E-227,2.757241577,2.551260213,0.88532777,0.762815026,CentralHep
CYP2B6,1.22596207,0,0,1.623805597,0.668654419,0.68929768,0.283007933,CentralHep
