p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.4218561232677245,0.213,0.093,0,0,LINC00499
0,2.2201147865904542,0.609,0.263,0,0,HAL
0,2.111912246871525,0.746,0.438,0,0,PPARGC1A
0,2.0620615132310163,0.871,0.593,0,0,SLC7A2
0,2.0283263030223306,0.274,0.141,0,0,AC109927.1
0,2.0128747316067797,0.666,0.323,0,0,SDS
0,1.9981729672287392,0.607,0.265,0,0,GREM2
0,1.9536099109902185,0.541,0.215,0,0,LINC00907
0,1.8840648928668553,0.355,0.207,0,0,TMEM163
0,1.8652325567814834,0.458,0.24,0,0,CYP2B6
0,1.8165832637108463,0.287,0.147,0,0,AC093607.1
0,1.7757494049730147,0.461,0.168,0,0,AL136456.1
0,1.7650041705663861,0.75,0.477,0,0,KYNU
0,1.7648551296096908,0.587,0.301,0,0,PDE7B
0,1.7359903651997786,0.514,0.155,0,0,AC018467.1
0,1.6793249307032219,0.33,0.097,0,0,GALNTL6
0,1.6792848004255956,0.499,0.291,0,0,TACC2
0,1.6204822621021882,0.423,0.227,0,0,AL138828.1
0,1.5686995568530127,0.692,0.396,0,0,SLC4A4
0,1.5517158045222184,0.833,0.432,0,0,ALDH1A2
0,1.5456075281665722,0.665,0.375,0,0,TNRC6C
0,1.5336863719224059,0.602,0.267,0,0,GLDC
0,1.5141556198792858,0.954,0.705,0,0,ELL2
0,1.5098116964854058,0.779,0.432,0,0,ASL
0,1.5093972945975354,0.558,0.291,0,0,KLHL29
0,1.4972986002524105,0.802,0.566,0,0,MYO1E
0,1.4855542944606852,0.736,0.425,0,0,PRKAG2
0,1.483147470803576,0.375,0.173,0,0,TOX
0,1.463085894932586,0.67,0.399,0,0,ASS1
0,1.462921816404088,0.795,0.423,0,0,GDA
0,1.4627151031717909,0.818,0.611,0,0,SORBS2
0,1.3962695703671337,0.516,0.195,0,0,AP000331.1
0,1.3951976755703788,0.54,0.286,0,0,CTH
0,1.3828755979072942,0.863,0.556,0,0,DOCK5
0,1.3781945882311897,0.87,0.566,0,0,EGFR
0,1.3734420591801797,0.8,0.441,0,0,WWC1
0,1.3734221539113995,0.761,0.446,0,0,GAREM1
0,1.3507958832236944,0.675,0.491,0,0,BAAT
0,1.3445802844097474,0.936,0.702,0,0,PSD3
0,1.3409989635744437,0.529,0.193,0,0,PIK3C2G
0,1.3310946971348938,0.75,0.436,0,0,FGGY
0,1.3279839477446187,0.832,0.532,0,0,CP
0,1.3098194266076764,0.841,0.536,0,0,TTC39C
0,1.3012007410228537,0.66,0.387,0,0,AL391117.1
0,1.2905744115677598,0.688,0.35,0,0,CA5A
0,1.2866490832081081,0.67,0.376,0,0,RNF152
0,1.2851720543180587,0.412,0.225,0,0,NRG1
0,1.280207752806426,0.613,0.328,0,0,MYOM1
0,1.2737989073532117,0.686,0.382,0,0,GHR
0,1.2717397807327098,0.815,0.651,0,0,NAMPT
0,1.2717384752712517,0.691,0.534,0,0,P4HA1
0,1.2707432793484654,0.85,0.521,0,0,NSUN6
0,1.2664714962405974,0.697,0.48,0,0,LEPR
0,1.265911660911622,0.786,0.506,0,0,PDE3B
0,1.265220917604178,0.322,0.202,0,0,PAK3
0,1.263607611900348,0.728,0.375,0,0,GOT1
0,1.2552859592887478,0.931,0.772,0,0,EXT1
