"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Endothelial","Epithelial 2","TGFB1","TGFbR1_R2",0.00239248529694759,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Endothelial","Stellate","TGFB1","TGFbR1_R2",0.000970779800364681,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Endothelial","Macrophages","TGFB1","TGFbR1_R2",0.00104299347576998,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","Endothelial","Lymphocyte","TGFB1","TGFbR1_R2",0.00131267933220515,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","Endothelial","Epithelial 6","TGFB1","TGFbR1_R2",0.00121264426887333,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Endothelial","Unknown","TGFB1","TGFbR1_R2",0.00109129913524202,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Endothelial","Epithelial 2","TGFB1","ACVR1B_TGFbR2",0.001197651612472,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"8","Endothelial","Cholangiocyte","TGFB1","ACVR1B_TGFbR2",0.00188855718267608,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"9","Endothelial","Epithelial 6","TGFB1","ACVR1B_TGFbR2",0.00121264426887333,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"10","Endothelial","Epithelial 2","TGFB1","ACVR1_TGFbR",0.00186838732769293,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"11","Endothelial","Stellate","TGFB1","ACVR1_TGFbR",0.00117782458266272,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
