"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Endothelial cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",0.00239248529694759,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Endothelial cells","Stellate cells","TGFB1","TGFbR1_R2",0.000970779800364681,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Endothelial cells","Neutrophils and macrophages","TGFB1","TGFbR1_R2",0.00104299347576998,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","Endothelial cells","Lymphocytes","TGFB1","TGFbR1_R2",0.00131267933220515,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","Endothelial cells","Liver epithelial cells 6","TGFB1","TGFbR1_R2",0.00121264426887333,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Endothelial cells","Unknown","TGFB1","TGFbR1_R2",0.00109129913524202,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Endothelial cells","Liver epithelial cells 2","TGFB1","ACVR1B_TGFbR2",0.001197651612472,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"8","Endothelial cells","Cholangiocyte cells","TGFB1","ACVR1B_TGFbR2",0.00188855718267608,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"9","Endothelial cells","Liver epithelial cells 6","TGFB1","ACVR1B_TGFbR2",0.00121264426887333,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"10","Endothelial cells","Liver epithelial cells 2","TGFB1","ACVR1_TGFbR",0.00186838732769293,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"11","Endothelial cells","Stellate cells","TGFB1","ACVR1_TGFbR",0.00117782458266272,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"12","Endothelial cells","Liver epithelial cells 6","TGFB1","ACVR1_TGFbR",0.00117782458266272,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"13","Liver epithelial cells 2","Liver epithelial cells 1","BMP6","ACVR1_BMPR2",0.000634953146164971,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"14","Liver epithelial cells 6","Liver epithelial cells 1","BMP6","ACVR1_BMPR2",0.000704100019328879,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"15","Liver epithelial cells 2","Stellate cells","BMP6","ACVR1_BMPR2",0.0018653883625354,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"16","Liver epithelial cells 6","Stellate cells","BMP6","ACVR1_BMPR2",0.00206853055229338,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"17","Liver epithelial cells 2","Cholangiocyte cells","BMP6","ACVR1_BMPR2",0.0018653883625354,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"18","Liver epithelial cells 6","Cholangiocyte cells","BMP6","ACVR1_BMPR2",0.00206853055229338,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"19","Liver epithelial cells 2","Liver epithelial cells 6","BMP6","ACVR1_BMPR2",0.000915755380942465,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"20","Liver epithelial cells 6","Liver epithelial cells 6","BMP6","ACVR1_BMPR2",0.00101548182777976,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"21","Liver epithelial cells 2","Liver epithelial cells 1","BMP6","BMPR1A_BMPR2",0.000634953146164971,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"22","Liver epithelial cells 6","Liver epithelial cells 1","BMP6","BMPR1A_BMPR2",0.000704100019328879,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"23","Liver epithelial cells 2","Stellate cells","BMP6","BMPR1A_BMPR2",0.0018653883625354,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"24","Liver epithelial cells 6","Stellate cells","BMP6","BMPR1A_BMPR2",0.00206853055229338,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"25","Liver epithelial cells 2","Cholangiocyte cells","BMP6","BMPR1A_BMPR2",0.000986242488213056,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"26","Liver epithelial cells 6","Cholangiocyte cells","BMP6","BMPR1A_BMPR2",0.00109364503382326,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"27","Liver epithelial cells 2","Liver epithelial cells 6","BMP6","BMPR1A_BMPR2",0.000915755380942465,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"28","Liver epithelial cells 6","Liver epithelial cells 6","BMP6","BMPR1A_BMPR2",0.00101548182777976,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"29","Liver epithelial cells 2","Stellate cells","BMP6","BMPR1B_BMPR2",0.0018653883625354,0,"BMP6_BMPR1B_BMPR2","BMP6 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"30","Liver epithelial cells 6","Stellate cells","BMP6","BMPR1B_BMPR2",0.00206853055229338,0,"BMP6_BMPR1B_BMPR2","BMP6 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"31","Liver epithelial cells 2","Cholangiocyte cells","BMP6","BMPR1B_BMPR2",0.00124125429438964,0,"BMP6_BMPR1B_BMPR2","BMP6 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"32","Liver epithelial cells 6","Cholangiocyte cells","BMP6","BMPR1B_BMPR2",0.00137642781668292,0,"BMP6_BMPR1B_BMPR2","BMP6 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"33","Liver epithelial cells 3","Liver epithelial cells 2","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"34","Liver epithelial cells 4","Liver epithelial cells 2","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"35","Liver epithelial cells 5","Liver epithelial cells 2","GDF15","TGFBR2",0.00186552248227367,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"36","Unknown","Liver epithelial cells 2","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"37","Liver epithelial cells 3","Endothelial cells","GDF15","TGFBR2",0.00643439766046031,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"38","Liver epithelial cells 4","Endothelial cells","GDF15","TGFBR2",0.00643439766046031,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"39","Liver epithelial cells 5","Endothelial cells","GDF15","TGFBR2",0.0101600378296947,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"40","Unknown","Endothelial cells","GDF15","TGFBR2",0.00643439766046031,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"41","Liver epithelial cells 3","Liver epithelial cells 4","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"42","Liver epithelial cells 4","Liver epithelial cells 4","GDF15","TGFBR2",0.00117782458266272,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"43","Liver epithelial cells 5","Liver epithelial cells 4","GDF15","TGFBR2",0.00186552248227367,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
