"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Endothelial cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",5.15847034447132e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Endothelial cells","Stellate cells","TGFB1","TGFbR1_R2",1.70703043736202e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Endothelial cells","Neutrophils and macrophages","TGFB1","TGFbR1_R2",7.06889577748343e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","Endothelial cells","Lymphocytes","TGFB1","TGFbR1_R2",5.96013214785529e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","Endothelial cells","Liver epithelial cells 6","TGFB1","TGFbR1_R2",3.85816970027197e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Endothelial cells","Unknown","TGFB1","TGFbR1_R2",3.87510708961032e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Endothelial cells","Liver epithelial cells 2","TGFB1","ACVR1B_TGFbR2",2.58227305882599e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"8","Endothelial cells","Cholangiocyte cells","TGFB1","ACVR1B_TGFbR2",7.01905152215745e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"9","Endothelial cells","Liver epithelial cells 6","TGFB1","ACVR1B_TGFbR2",3.85816970027197e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"10","Endothelial cells","Liver epithelial cells 2","TGFB1","ACVR1_TGFbR",4.02845552872844e-05,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"11","Endothelial cells","Stellate cells","TGFB1","ACVR1_TGFbR",2.07110037901819e-05,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"12","Endothelial cells","Liver epithelial cells 6","TGFB1","ACVR1_TGFbR",3.74738679240771e-06,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"13","Liver epithelial cells 2","Liver epithelial cells 1","BMP6","ACVR1_BMPR2",1.01475297620962e-05,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"14","Liver epithelial cells 6","Liver epithelial cells 1","BMP6","ACVR1_BMPR2",1.66046320889772e-06,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"15","Liver epithelial cells 2","Stellate cells","BMP6","ACVR1_BMPR2",3.14146555238341e-05,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
