"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Endothelial cells","Liver epithelial cells 1","TGFB1","TGFbR1_R2",9.33415557809379e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Stellate cells","Liver epithelial cells 1","TGFB1","TGFbR1_R2",3.74302941372223e-06,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Neutrophils and macrophages","Liver epithelial cells 1","TGFB1","TGFbR1_R2",1.8699899498237e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","Lymphocytes","Liver epithelial cells 1","TGFB1","TGFbR1_R2",2.10146536831347e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","Cholangiocyte cells","Liver epithelial cells 1","TGFB1","TGFbR1_R2",1.11662021244446e-06,0.01,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Endothelial cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",4.28273342862093e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Stellate cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",1.71852895484483e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","Neutrophils and macrophages","Liver epithelial cells 2","TGFB1","TGFbR1_R2",8.58527415977956e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"9","Lymphocytes","Liver epithelial cells 2","TGFB1","TGFbR1_R2",9.64262853289913e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"10","Cholangiocyte cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",5.12609482986591e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
