"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Endothelial cells","Liver epithelial cells 1","TGFB1","TGFbR1_R2",4.78410711383306e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Stellate cells","Liver epithelial cells 1","TGFB1","TGFbR1_R2",1.30335636599015e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Neutrophils and macrophages","Liver epithelial cells 1","TGFB1","TGFbR1_R2",6.52465667919217e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","Lymphocytes","Liver epithelial cells 1","TGFB1","TGFbR1_R2",7.77630594609644e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","Cholangiocyte cells","Liver epithelial cells 1","TGFB1","TGFbR1_R2",4.30871176680636e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Endothelial cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",3.07461444169351e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Stellate cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",8.3823891717068e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","Neutrophils and macrophages","Liver epithelial cells 2","TGFB1","TGFbR1_R2",4.19605717326892e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"9","Lymphocytes","Liver epithelial cells 2","TGFB1","TGFbR1_R2",4.99923345936834e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"10","Cholangiocyte cells","Liver epithelial cells 2","TGFB1","TGFbR1_R2",2.77072533084104e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"11","Endothelial cells","Liver epithelial cells 3","TGFB1","TGFbR1_R2",2.32637853602197e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"12","Stellate cells","Liver epithelial cells 3","TGFB1","TGFbR1_R2",6.33734694677079e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"13","Neutrophils and macrophages","Liver epithelial cells 3","TGFB1","TGFbR1_R2",3.17251954401839e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
