"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Macrophages","Macrophages","TGFB1","TGFbR1_R2",6.93668417596483e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Cholangiocyte","Macrophages","TGFB2","TGFbR1_R2",6.92854252787098e-07,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Macrophages","Epithelial 1","TGFB1","ACVR1B_TGFbR2",1.55107986170243e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"4","Macrophages","Epithelial 2","TGFB1","ACVR1B_TGFbR2",1.38570563317821e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"5","Macrophages","Endothelial","TGFB1","ACVR1B_TGFbR2",1.54744735617151e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"6","Macrophages","Epithelial 3","TGFB1","ACVR1B_TGFbR2",6.92854252787098e-07,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"7","Macrophages","Epithelial 4","TGFB1","ACVR1B_TGFbR2",1.69316077283122e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"8","Macrophages","Epithelial 6","TGFB1","ACVR1B_TGFbR2",1.19864798600573e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"9","Cholangiocyte","Epithelial 1","TGFB2","ACVR1B_TGFbR2",1.54925934543282e-06,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"10","Cholangiocyte","Epithelial 2","TGFB2","ACVR1B_TGFbR2",1.3840792181158e-06,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"11","Cholangiocyte","Endothelial","TGFB2","ACVR1B_TGFbR2",1.54563110340605e-06,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"12","Cholangiocyte","Epithelial 3","TGFB2","ACVR1B_TGFbR2",6.92041043570212e-07,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"13","Cholangiocyte","Epithelial 4","TGFB2","ACVR1B_TGFbR2",1.69117349492884e-06,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"14","Cholangiocyte","Epithelial 6","TGFB2","ACVR1B_TGFbR2",1.19724112217239e-06,0,"TGFB2_ACVR1B_TGFBR2","TGFB2 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"15","Endothelial","Epithelial 1","BMP6","ACVR1_ACVR2A",1.36956469136662e-06,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"16","Endothelial","Epithelial 2","BMP6","ACVR1_ACVR2A",6.90416534078263e-07,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"17","Endothelial","Epithelial 4","BMP6","ACVR1_ACVR2A",1.36162978585465e-06,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
