"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Neutrophils and macrophages","Neutrophils and macrophages","TGFB1","TGFbR1_R2",0.00272788657090844,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Neutrophils and macrophages","Liver epithelial cells 1","TGFB1","ACVR1B_TGFbR2",0.00433369869939703,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"3","Neutrophils and macrophages","Liver epithelial cells 2","TGFB1","ACVR1B_TGFbR2",0.00409696732651649,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"4","Neutrophils and macrophages","Endothelial cells","TGFB1","ACVR1B_TGFbR2",0.00432663264974188,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"5","Neutrophils and macrophages","Liver epithelial cells 3","TGFB1","ACVR1B_TGFbR2",0.00216800640852693,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"6","Neutrophils and macrophages","Liver epithelial cells 6","TGFB1","ACVR1B_TGFbR2",0.00255918532024308,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"7","Endothelial cells","Liver epithelial cells 1","BMP6","ACVR1_BMPR2",0.00171562980123946,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"8","Endothelial cells","Liver epithelial cells 2","BMP6","ACVR1_BMPR2",0.0019629194535477,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"9","Endothelial cells","Liver epithelial cells 3","BMP6","ACVR1_BMPR2",0.0019629194535477,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"10","Endothelial cells","Liver epithelial cells 4","BMP6","ACVR1_BMPR2",0.00166482824143636,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"11","Endothelial cells","Cholangiocyte cells","BMP6","ACVR1_BMPR2",0.00216800640852693,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"12","Endothelial cells","Liver epithelial cells 6","BMP6","ACVR1_BMPR2",0.0019629194535477,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
