"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Neutrophils and macrophages","Neutrophils and macrophages","TGFB1","TGFbR1_R2",1.2540850009088e-05,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Neutrophils and macrophages","Liver epithelial cells 1","TGFB1","ACVR1B_TGFbR2",7.59196051120929e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"3","Neutrophils and macrophages","Liver epithelial cells 2","TGFB1","ACVR1B_TGFbR2",4.71860371484593e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"4","Neutrophils and macrophages","Liver epithelial cells 3","TGFB1","ACVR1B_TGFbR2",1.67289300537467e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"5","Neutrophils and macrophages","Liver epithelial cells 6","TGFB1","ACVR1B_TGFbR2",1.51958236627742e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"6","Neutrophils and macrophages","Endothelial cells","TGFB1","ACVR1B_TGFbR2",3.03965364285569e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"7","Endothelial cells","Liver epithelial cells 1","BMP6","ACVR1_BMPR2",4.58952142099949e-05,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"8","Endothelial cells","Liver epithelial cells 2","BMP6","ACVR1_BMPR2",3.45392340324738e-05,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"9","Endothelial cells","Liver epithelial cells 3","BMP6","ACVR1_BMPR2",2.31400482240563e-05,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"10","Endothelial cells","Liver epithelial cells 4","BMP6","ACVR1_BMPR2",4.67092193098021e-06,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"11","Endothelial cells","Liver epithelial cells 6","BMP6","ACVR1_BMPR2",1.78098931514054e-06,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"12","Endothelial cells","Cholangiocyte cells","BMP6","ACVR1_BMPR2",2.38332968644936e-05,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"13","Endothelial cells","Liver epithelial cells 1","BMP6","BMPR1A_BMPR2",4.58952142099949e-05,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"14","Endothelial cells","Liver epithelial cells 2","BMP6","BMPR1A_BMPR2",3.45392340324738e-05,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"15","Endothelial cells","Liver epithelial cells 3","BMP6","BMPR1A_BMPR2",2.31400482240563e-05,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"16","Endothelial cells","Liver epithelial cells 4","BMP6","BMPR1A_BMPR2",4.67092193098021e-06,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"17","Endothelial cells","Liver epithelial cells 6","BMP6","BMPR1A_BMPR2",1.78098931514054e-06,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"18","Endothelial cells","Stellate cells","BMP6","BMPR1A_BMPR2",3.16866000873897e-05,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"19","Endothelial cells","Cholangiocyte cells","BMP6","BMPR1A_BMPR2",2.99880623753349e-05,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"20","Endothelial cells","Stellate cells","BMP6","BMPR1B_BMPR2",3.16866000873897e-05,0,"BMP6_BMPR1B_BMPR2","BMP6 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"21","Liver epithelial cells 1","Liver epithelial cells 1","NRG1","ERBB3",0.000855558534346301,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"22","Liver epithelial cells 2","Liver epithelial cells 1","NRG1","ERBB3",0.000189861410648169,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"23","Liver epithelial cells 3","Liver epithelial cells 1","NRG1","ERBB3",6.37388818869365e-05,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"24","Liver epithelial cells 4","Liver epithelial cells 1","NRG1","ERBB3",0.000104859265928258,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"25","Liver epithelial cells 5","Liver epithelial cells 1","NRG1","ERBB3",2.64813996174777e-05,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"26","Cholangiocyte cells","Liver epithelial cells 1","NRG1","ERBB3",9.40606710330989e-05,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"27","Liver epithelial cells 1","Liver epithelial cells 4","NRG1","ERBB3",8.97366053587063e-05,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"28","Liver epithelial cells 2","Liver epithelial cells 4","NRG1","ERBB3",1.99139133048327e-05,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"29","Liver epithelial cells 3","Liver epithelial cells 4","NRG1","ERBB3",6.68535308839321e-06,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"30","Liver epithelial cells 4","Liver epithelial cells 4","NRG1","ERBB3",1.09983293802303e-05,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"31","Liver epithelial cells 5","Liver epithelial cells 4","NRG1","ERBB3",2.77754333738891e-06,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"32","Cholangiocyte cells","Liver epithelial cells 4","NRG1","ERBB3",9.86570173450667e-06,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"33","Liver epithelial cells 1","Liver epithelial cells 6","NRG1","ERBB3",2.90078794066516e-05,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"34","Liver epithelial cells 2","Liver epithelial cells 6","NRG1","ERBB3",6.4372882543529e-06,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"35","Liver epithelial cells 3","Liver epithelial cells 6","NRG1","ERBB3",2.16107925415501e-06,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"36","Liver epithelial cells 4","Liver epithelial cells 6","NRG1","ERBB3",3.55527391593491e-06,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"37","Liver epithelial cells 5","Liver epithelial cells 6","NRG1","ERBB3",8.97857032318741e-07,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
