"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Endothelial cells","Neutrophils and macrophages","TGFB1","TGFbR1_R2",2.67109518256437e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"2","Stellate cells","Neutrophils and macrophages","TGFB1","TGFbR1_R2",1.57059023788099e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"3","Neutrophils and macrophages","Neutrophils and macrophages","TGFB1","TGFbR1_R2",7.64399226331623e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"4","Lymphocytes","Neutrophils and macrophages","TGFB1","TGFbR1_R2",2.61742247752336e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"5","Endothelial cells","Lymphocytes","TGFB1","TGFbR1_R2",8.4226108371695e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"6","Stellate cells","Lymphocytes","TGFB1","TGFbR1_R2",4.95242144941614e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"7","Neutrophils and macrophages","Lymphocytes","TGFB1","TGFbR1_R2",2.41107518460677e-06,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"8","Lymphocytes","Lymphocytes","TGFB1","TGFbR1_R2",8.25525047212745e-07,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"9","Cholangiocyte cells","Neutrophils and macrophages","TGFB2","TGFbR1_R2",1.15138805221507e-05,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"10","Cholangiocyte cells","Lymphocytes","TGFB2","TGFbR1_R2",3.63170118794545e-06,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"11","Liver epithelial cells 3","Neutrophils and macrophages","TGFB3","TGFbR1_R2",2.82859437527607e-06,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"12","Endothelial cells","Neutrophils and macrophages","TGFB3","TGFbR1_R2",1.27968042963497e-06,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"13","Liver epithelial cells 3","Lymphocytes","TGFB3","TGFbR1_R2",8.91921326008772e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"14","Endothelial cells","Lymphocytes","TGFB3","TGFbR1_R2",4.03494030225187e-07,0,"TGFB3_TGFBR1_TGFBR2","TGFB3 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"15","Endothelial cells","Liver epithelial cells 1","TGFB1","ACVR1B_TGFbR2",1.23989680257618e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"16","Stellate cells","Liver epithelial cells 1","TGFB1","ACVR1B_TGFbR2",7.29056545142415e-06,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"17","Neutrophils and macrophages","Liver epithelial cells 1","TGFB1","ACVR1B_TGFbR2",3.54739457698268e-05,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
