"","x"
"1","TGFb"
"2","BMP"
"3","BMP10"
"4","GDF"
"5","MSTN"
"6","GDNF"
"7","ACTIVIN"
"8","WNT"
"9","ncWNT"
"10","EGF"
"11","NRG"
"12","FGF"
"13","PDGF"
"14","VEGF"
"15","IGF"
"16","APELIN"
"17","HH"
"18","CCL"
"19","CXCL"
"20","MIF"
"21","CX3C"
"22","IL2"
"23","IL4"
"24","IL6"
"25","IL12"
"26","LIFR"
"27","OSM"
"28","IL10"
"29","IL1"
"30","CSF"
"31","IL16"
"32","EPO"
"33","CSF3"
"34","IFN-II"
"35","TNF"
"36","LT"
"37","LIGHT"
"38","FASLG"
"39","VEGI"
"40","TRAIL"
"41","EDA"
"42","NGF"
"43","RANKL"
"44","TWEAK"
"45","CD70"
"46","CD30"
"47","OX40"
"48","GITRL"
"49","APRIL"
"50","BAFF"
"51","CD40"
"52","SPP1"
"53","VISFATIN"
"54","ANGPTL"
"55","ANGPT"
"56","MK"
"57","PTN"
"58","PERIOSTIN"
"59","AGT"
"60","BRADYKININ"
"61","COMPLEMENT"
"62","EDN"
"63","NPY"
"64","NTS"
"65","OXT"
"66","TAC"
"67","PARs"
"68","VIP"
"69","NPR1"
"70","KIT"
"71","FSH"
"72","LHB"
"73","TSH"
"74","NT"
"75","FLT3"
"76","HGF"
"77","SEMA3"
"78","CALCR"
"79","ANNEXIN"
"80","GAS"
"81","GNRH"
"82","GRN"
"83","GUCA"
"84","GALECTIN"
"85","OSTN"
"86","PROS"
"87","PSAP"
"88","PTH"
"89","CHEMERIN"
"90","SAA"
"91","BTLA"
"92","UCN"
