"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","Epithelial-like","Epithelial 1","BMP6","ACVR1_BMPR2",0.000841502321386482,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"2","Epithelial-like","Cholangiocyte","BMP6","ACVR1_BMPR2",0.00109364503382326,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"3","Epithelial-like","Epithelial-like","BMP6","ACVR1_BMPR2",0.00101548182777976,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"4","Epithelial-like","Epithelial 1","BMP6","BMPR1A_BMPR2",0.000841502321386482,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"5","Epithelial-like","Epithelial 4","BMP6","BMPR1A_BMPR2",0.000915755380942465,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"6","Epithelial-like","Stellate","BMP6","BMPR1A_BMPR2",0.00206853055229338,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"7","Epithelial-like","Cholangiocyte","BMP6","BMPR1A_BMPR2",0.00109364503382326,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"8","Epithelial-like","Epithelial-like","BMP6","BMPR1A_BMPR2",0.00101548182777976,0,"BMP6_BMPR1A_BMPR2","BMP6 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"9","Epithelial-like","Stellate","BMP6","BMPR1B_BMPR2",0.00206853055229338,0,"BMP6_BMPR1B_BMPR2","BMP6 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"10","Epithelial 1","Stellate","PDGFC","PDGFRA",0.00173219291586858,0,"PDGFC_PDGFRA","PDGFC - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
