Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
Bcells,0,0,,1186
CentralHep,0,95.12,CYP2B6|SOX5|CYP3A5|ACSM2A|ACSM2B|CYP3A4|SORBS2|PLG|CFH|CYP2C9|CPS1|SHROOM3|ACSL1|MAT1A|PID1|ALDH1L1|CYP2C8|ABCB4|GPC6|BHMT|C5|A1CF|TPRG1|AOX1|CP|ADRA1A|C3|CYB5A|ECHDC2|CYP4F3|MLXIPL|ASGR1|CUX2|PTGR1|SCP2|ABCC3|AGXT|ADH1B|MGST1,1186
Cholangiocyte,0,20.75,CYP3A5|SORBS2|MAGI1|ABCC3|PKHD1|SLC17A4|SOX6|NFIB|GLIS3|FARP1|PTPRK,1186
cvLSECs,0,5.71,MIR99AHG|TFPI,1186
Erythroid,0,0,,1186
InfMac,0,3.03,VCAN|NEAT1,1186
InterHep,0,84.21,CYP2B6|CYP3A5|ESR1|ACSM2A|ACSM2B|SORBS2|PLG|CFH|ALDOB|GPC6|CP|C3|CYB5A|ECHDC2|ASGR1|AGXT,1186
NKTcell,0,7.69,ID2|ARHGAP15,1186
NonInfMac,0,0,,1186
PortalEndo,0,8.51,PLPP3|TFPI|EPAS1|PLPP1,1186
PortalHep,0,78.95,CYP2B6|CYP3A5|ESR1|ACSM2A|ACSM2B|PLG|CFH|ALDOB|CP|C3|ECHDC2|MLXIPL|ASGR1|AGXT|NEAT1,1186
Stellate,0,28.57,SOX5|NR1H4|GPC6|SORBS1|RBPMS|DMD,1186
Bcells,1,0,,647
CentralHep,1,12.2,CP|GPC6|ASGR1|PTGR1|CYP2C8,647
Cholangiocyte,1,1.89,FARP1,647
cvLSECs,1,2.86,HSP90B1,647
Erythroid,1,7.14,UBB,647
InfMac,1,4.55,SAT1|SERP1|NEAT1,647
InterHep,1,15.79,CP|GPC6|ASGR1,647
NKTcell,1,7.69,ID2|MALAT1,647
NonInfMac,1,4.35,SAT1|CTSB,647
PortalEndo,1,6.38,HSP90B1|EPAS1|TM4SF1,647
PortalHep,1,15.79,CP|ASGR1|NEAT1,647
Stellate,1,9.52,GPC6|SORBS1,647
Bcells,2,2.08,TMSB4X,373
CentralHep,2,0,,373
Cholangiocyte,2,5.66,MAGI1|NFIB|MAML2,373
cvLSECs,2,68.57,LDB2|FLT1|ST6GALNAC3|PLCB1|PTPRB|PREX2|KALRN|ACSM3|EGFL7|HECW2|ST6GAL1|DNASE1L3|PPFIBP1|TACC1|STAB2|LIFR|MYO10|ENG|OIT3|NOSTRIN|RELN|BTNL9|STAB1|MRC1,373
Erythroid,2,0,,373
InfMac,2,6.06,VIM|TMSB4X|HLA-B|PLXDC2,373
InterHep,2,0,,373
NKTcell,2,15.38,FYN|TMSB4X|HLA-B|HLA-A,373
NonInfMac,2,4.35,TMSB4X|PLXDC2,373
PortalEndo,2,65.96,LDB2|FLT1|TCF4|ST6GALNAC3|CALCRL|PLCB1|PTPRB|KALRN|HSPG2|IGFBP7|AKT3|PLPP1|EGFL7|HECW2|BMPR2|RBMS3|ST6GAL1|ZEB1|DNASE1L3|TACC1|LIFR|CRIM1|ASAP1|ENG|HLA-E|TIMP3|PLPP3|NOSTRIN|PRSS23|BTNL9|MEIS2,373
PortalHep,2,0,,373
Stellate,2,33.33,IGFBP7|RBMS3|LIFR|MYO10|CRIM1|GRK5|COL4A2,373
Bcells,3,10.42,RPL8|EEF1A1|RPLP0|RPL6|RPL35,87
CentralHep,3,14.63,SAA1|ORM1|C3|CP|ASGR1|CUX2,87
Cholangiocyte,3,16.98,GAPDH|RPL8|EEF1A1|RPL41|RPS18|RPLP0|SERF2|RPL6|RPL35,87
cvLSECs,3,0,,87
Erythroid,3,0,,87
InfMac,3,10.61,FTL|RPL13|RPS2|RPL39|RPS19|RPL13A|RPS14,87
InterHep,3,26.32,APOA2|MT2A|C3|CP|ASGR1,87
NKTcell,3,0,,87
NonInfMac,3,6.52,GAPDH|RPLP0|RPL6,87
PortalEndo,3,2.13,SERF2,87
PortalHep,3,36.84,SAA1|ORM1|APOC1|FGB|C3|CP|ASGR1,87
Stellate,3,0,,87
Bcells,4,0,,264
CentralHep,4,12.2,CPS1|CYP2C9|SORBS2|MGST1|ASGR1,264
Cholangiocyte,4,1.89,SORBS2,264
cvLSECs,4,0,,264
Erythroid,4,0,,264
InfMac,4,3.03,S100A6|NEAT1,264
InterHep,4,10.53,SORBS2|ASGR1,264
NKTcell,4,3.85,MALAT1,264
NonInfMac,4,0,,264
PortalEndo,4,4.26,TM4SF1|TIMP3,264
PortalHep,4,10.53,ASGR1|NEAT1,264
Stellate,4,0,,264
Bcells,5,0,,303
CentralHep,5,2.44,GPC6,303
Cholangiocyte,5,5.66,MAML2|ANK3|GLIS3,303
cvLSECs,5,2.86,KALRN,303
Erythroid,5,0,,303
InfMac,5,4.55,ZEB2|PLXDC2|VIM,303
InterHep,5,5.26,GPC6,303
NKTcell,5,3.85,CELF2,303
NonInfMac,5,6.52,ZEB2|PLXDC2|CELF2,303
PortalEndo,5,14.89,RBMS3|IGFBP7|TIMP1|AKT3|KALRN|PRSS23|CRIM1,303
PortalHep,5,0,,303
Stellate,5,61.9,RBMS3|CRISPLD2|IGFBP7|COL4A2|CALD1|DMD|ANK3|ADAMTS2|ARHGAP10|GRK5|HGF|GPC6|CRIM1,303
Bcells,6,93.75,RPLP0|FAU|PTMA|RPL4|EEF1A1|RPL5|RPL3|RPS26|RPL6|RPL18|RPL35|RPL14|RPS5|RPL9|RPL27|RPL24|RPL37|RPL15|NACA|RPL36|RPL7A|EEF1B2|RPL29|RPSA|RPS7|RPL18A|RPL8|RPS21|RPS17|RPL10A|RPS25|RPL22|RPS20|RPS23|RPS16|RPS13|RPL31|EEF1D|RPS4X|RPL7|RPS3A|TOMM7|RPL11|RPL30|TMSB4X,327
CentralHep,6,9.76,ORM1|SAA1|C3|ADH1B,327
Cholangiocyte,6,69.81,RPLP0|RPL4|EEF1A1|RPL5|RPL3|RPS26|RPL6|RPS8|RPL18|RPL35|RPL14|RPS5|RPL9|RPL37|COX7C|RPL15|NACA|RPL7A|RPL29|RPS7|SERF2|RPL8|RPL10A|RPS25|RPL22|GAPDH|RPS23|RPS3|RPS27A|RPL41|RPS18|HINT1|RPS4X|RPL7|NDUFA4|RPS3A|RPL11,327
cvLSECs,6,8.57,PPIA|HSP90B1|NDUFA4,327
Erythroid,6,7.14,UBB,327
InfMac,6,53.03,ACTB|PTMA|ACTG1|RPS8|RPL13A|RPLP2|PPIA|RPL28|RPS19|RPS24|RPL10|RPS9|COX7C|RPL19|CST3|RPL18A|RPL13|RPL32|RPS15|RPL34|RPL12|RPS14|FTL|RPL35A|RPL39|SRP14|CYBA|RPS27|TMSB10|RPS2|B2M|H3F3A|PSAP|S100A6|TMSB4X,327
InterHep,6,26.32,APOA2|MT2A|C3|MT1G|ALDOB,327
NKTcell,6,50,ACTG1|RPL4|PPIA|COX7C|COX4I1|EEF1B2|RPS21|RPS3|UQCRB|RPS27|TMSB10|B2M|TMSB4X,327
NonInfMac,6,67.39,RPLP0|ACTG1|RPL4|RPL5|RPL3|RPS26|RPL6|PFN1|PPIA|RPL14|COX7C|COX4I1|NACA|RPL7A|MT-ND5|RPL29|RPSA|RPS7|RPS21|RPS17|RPL10A|RPL22|GAPDH|RPS20|EEF1D|UQCRB|TOMM7|CTSB|TMSB10|RPL30|TMSB4X,327
PortalEndo,6,19.15,RPL4|PFN1|IFITM3|HSP90B1|COX7C|SERF2|UQCRB|RPS3A|TIMP1,327
PortalHep,6,31.58,APOC1|ORM1|SAA1|C3|FGB|ALDOB,327
Stellate,6,0,,327
Bcells,7,0,,330
CentralHep,7,4.88,ABCC3|SHROOM3,330
Cholangiocyte,7,24.53,PKHD1|ANXA4|THSD4|FGFR2|MAML2|ANK3|ABCC3|PTPRK|GLIS3|SOX6|MAGI1|FARP1|SLC17A4,330
cvLSECs,7,5.71,MYO10|TACC1,330
Erythroid,7,0,,330
InfMac,7,0,,330
InterHep,7,0,,330
NKTcell,7,3.85,PARP8,330
NonInfMac,7,0,,330
PortalEndo,7,6.38,TACC1|CRIM1|PTPRG,330
PortalHep,7,0,,330
Stellate,7,19.05,ANK3|MYO10|CRIM1|PTPRG,330
Bcells,8,0,,316
CentralHep,8,2.44,TPRG1,316
Cholangiocyte,8,1.89,MAML2,316
cvLSECs,8,2.86,MRC1,316
Erythroid,8,0,,316
InfMac,8,18.18,SLC8A1|ZEB2|PLXDC2|TBXAS1|AOAH|CD163|SRGN|CD74|PSAP|SAT1|CTSS|SLC11A1,316
InterHep,8,0,,316
NKTcell,8,11.54,PTPRC|CELF2|ARHGAP15,316
NonInfMac,8,30.43,SLC8A1|ZEB2|KCNMA1|FMN1|PLXDC2|TBXAS1|MSR1|CD163|MERTK|CELF2|CTSB|MS4A6A|SAT1|C1QB,316
PortalEndo,8,0,,316
PortalHep,8,0,,316
Stellate,8,0,,316
Bcells,9,0,,110
CentralHep,9,0,,110
Cholangiocyte,9,1.89,ANK3,110
cvLSECs,9,0,,110
Erythroid,9,0,,110
InfMac,9,1.52,AOAH,110
InterHep,9,0,,110
NKTcell,9,19.23,PTPRC|FYN|PARP8|ARHGAP15|CELF2,110
NonInfMac,9,2.17,CELF2,110
PortalEndo,9,0,,110
PortalHep,9,0,,110
Stellate,9,4.76,ANK3,110
Bcells,10,0,,627
CentralHep,10,29.27,CFH|C5|SORBS2|ASGR1|AOX1|SHROOM3|A1CF|CYP2C9|C3|MGST1|ECHDC2|CPS1,627
Cholangiocyte,10,9.43,SORBS2|PTPRK|NFIB|GLIS3|MAGI1,627
cvLSECs,10,8.57,CD36|MIR99AHG|MRC1,627
Erythroid,10,0,,627
InfMac,10,9.09,NEAT1|VCAN|CYBA|RPL10|FTL|RPL13,627
InterHep,10,26.32,CFH|SORBS2|ASGR1|C3|ECHDC2,627
NKTcell,10,3.85,MALAT1,627
NonInfMac,10,0,,627
PortalEndo,10,4.26,ID1|DUSP1,627
PortalHep,10,36.84,CFH|NEAT1|ASGR1|FGB|C3|APOC1|ECHDC2,627
Stellate,10,14.29,NR1H4|SORBS1|RBPMS,627
Bcells,11,2.08,RPL31,391
CentralHep,11,4.88,CPS1|SORBS2,391
Cholangiocyte,11,1.89,SORBS2,391
cvLSECs,11,0,,391
Erythroid,11,7.14,STRADB,391
InfMac,11,3.03,S100A6|NEAT1,391
InterHep,11,5.26,SORBS2,391
NKTcell,11,3.85,MALAT1,391
NonInfMac,11,0,,391
PortalEndo,11,4.26,DUSP1|TM4SF1,391
PortalHep,11,5.26,NEAT1,391
Stellate,11,0,,391
