p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,40.65900597610404,0.58,0.279,0,Epithelial 1,SLC1A1
0,28.523875617948047,0.499,0.147,0,Epithelial 1,GPAM
0,28.069817921544377,0.771,0.152,0,Epithelial 1,LINC02336
0,24.78847242733632,0.765,0.211,0,Epithelial 1,PTP4A1
0,24.47157081151823,0.654,0.198,0,Epithelial 1,LINC02197
0,23.513969716067795,0.644,0.216,0,Epithelial 1,INSIG1
0,22.495271828456755,0.622,0.157,0,Epithelial 1,PLAC4
0,21.533586760824914,0.608,0.191,0,Epithelial 1,LRAT
0,18.526310453556622,0.758,0.179,0,Epithelial 1,AC018467.1
0,18.483819088937473,0.539,0.332,0,Epithelial 1,ABCA1
0,16.76767458928969,0.566,0.273,0,Epithelial 1,PAPSS2
0,15.986988895688967,0.619,0.251,0,Epithelial 1,PROX1
0,15.827800315138816,0.664,0.142,0,Epithelial 1,DRAIC
0,15.266087159945824,0.624,0.134,0,Epithelial 1,AL358232.2
0,15.210972057923122,0.606,0.162,0,Epithelial 1,AC242426.2
0,14.769244702200417,0.079,0.095,0,Epithelial 1,BMP5
0,13.899159956051903,0.399,0.102,0,Epithelial 1,KCNJ16
0,12.772547856955558,0.407,0.249,0,Epithelial 1,ASS1
0,11.991459080056885,0.427,0.084,0,Epithelial 1,LINC02158
0,11.403876532709774,0.642,0.068,0,Epithelial 1,LINC01675
0,11.188341003933495,0.593,0.246,0,Epithelial 1,P4HA1
0,11.09018035493331,0.482,0.205,0,Epithelial 1,AKAP7
0,11.030576098018841,0.593,0.287,0,Epithelial 1,CYP3A5
0,10.849338851608223,0.61,0.287,0,Epithelial 1,TPST1
0,10.784173380466708,0.553,0.379,0,Epithelial 1,LPGAT1
0,10.586590790768607,0.628,0.179,0,Epithelial 1,LINC01146
0,10.557110827753995,0.539,0.157,0,Epithelial 1,G0S2
0,10.525573605771584,0.407,0.158,0,Epithelial 1,DSCAML1
0,10.470127735946644,0.418,0.14,0,Epithelial 1,WDR66
0,9.850085608659832,0.636,0.312,0,Epithelial 1,CP
0,9.749618094355782,0.653,0.171,0,Epithelial 1,PROX1-AS1
0,9.732667070671532,0.7,0.231,0,Epithelial 1,BAAT
0,9.40284001262124,0.704,0.132,0,Epithelial 1,SCART1
0,9.291403321482402,0.587,0.2,0,Epithelial 1,HAL
0,9.227603078929526,0.556,0.067,0,Epithelial 1,CT69
0,9.186359494417728,0.786,0.278,0,Epithelial 1,TNRC6C
0,9.121549104967846,0.57,0.276,0,Epithelial 1,ASL
0,9.1163711488717,0.396,0.119,0,Epithelial 1,ZNF19
0,9.101494148555533,0.297,0.273,0,Epithelial 1,RND3
0,9.011984191877595,0.537,0.177,0,Epithelial 1,ABCB4
0,8.987037943979239,0.821,0.239,0,Epithelial 1,LINC02398
0,8.972425550241343,0.636,0.081,0,Epithelial 1,MIR4713HG
0,8.90315773812857,0.777,0.217,0,Epithelial 1,GLCE
0,8.89513362601565,0.087,0.058,0,Epithelial 1,IGLC3
0,8.793992397885866,0.149,0.098,0,Epithelial 1,SPOCK3
0,8.469810755451618,0.907,0.299,0,Epithelial 1,TMEM163
0,8.42324996016524,0.147,0.215,0,Epithelial 1,SMS
0,8.286858570938698,0.215,0.245,0,Epithelial 1,CNTLN
0,8.189127247359153,0.858,0.258,0,Epithelial 1,PPARGC1A
0,8.079209590136957,0.567,0.255,0,Epithelial 1,CA5A
0,8.016276456542123,0.545,0.31,0,Epithelial 1,ZC3H13
0,7.9351192643156025,0.49,0.166,0,Epithelial 1,DNAH5
0,7.881621346139245,0.558,0.328,0,Epithelial 1,F5
0,7.758042698521933,0.572,0.203,0,Epithelial 1,HPGD
0,7.717466195999218,0.608,0.214,0,Epithelial 1,NBPF12
0,7.65814952621988,0.561,0.183,0,Epithelial 1,FMO5
0,7.561592055644624,0.51,0.317,0,Epithelial 1,C3
0,7.559310058057946,0.575,0.344,0,Epithelial 1,TTC39C
0,7.162486478109074,0.497,0.313,0,Epithelial 1,SETBP1
0,7.081559503440232,0.638,0.217,0,Epithelial 1,AL391117.1
0,6.943306732045528,0.582,0.125,0,Epithelial 1,ACSM2B
0,6.936098021917674,0.169,0.116,0,Epithelial 1,IDO2
0,6.6907360888693646,0.284,0.164,0,Epithelial 1,DPF3
0,6.6089899756494574,0.578,0.24,0,Epithelial 1,ACSL1
0,6.553416016294371,0.818,0.247,0,Epithelial 1,TOX
0,6.308694241673329,0.626,0.101,0,Epithelial 1,AL078590.2
0,6.274929160117832,0.587,0.211,0,Epithelial 1,SLC38A4
0,6.240354396491444,0.103,0.22,0,Epithelial 1,LINC01205
0,6.230336593539697,0.048,0.114,0,Epithelial 1,AC061958.1
0,6.223578012562951,0.107,0.179,0,Epithelial 1,APOL1
0,6.110069205931971,0.787,0.267,0,Epithelial 1,SLC7A2
0,6.065180115042093,0.698,0.304,0,Epithelial 1,SLC39A14
0,6.039401159768708,0.497,0.184,0,Epithelial 1,ZNF483
0,5.887139547244452,0.449,0.093,0,Epithelial 1,AC007221.1
0,5.6791977563717495,0.521,0.122,0,Epithelial 1,ACSM2A
0,5.518749882382302,0.672,0.227,0,Epithelial 1,CNNM2
0,5.498250221651011,0.654,0.132,0,Epithelial 1,KCNB1
0,5.262272798488873,0.275,0.261,0,Epithelial 1,SLC20A1
0,5.253737624255052,0.369,0.161,0,Epithelial 1,SNAP25-AS1
0,5.150831066680098,0.458,0.102,0,Epithelial 1,CYP2B6
0,5.14735228837004,0.627,0.243,0,Epithelial 1,SUGCT
0,4.978605530940399,0.621,0.263,0,Epithelial 1,MAT1A
0,4.708507572329312,0.679,0.212,0,Epithelial 1,CYP2C18
0,4.655947604068125,0.471,0.153,0,Epithelial 1,AP001042.1
0,4.58121023929796,0.62,0.133,0,Epithelial 1,SP140
0,4.576890174569707,0.465,0.237,0,Epithelial 1,TMEM45A
0,4.492983783182609,0.651,0.123,0,Epithelial 1,AKR1C8P
0,4.354315390135433,0.642,0.171,0,Epithelial 1,TACC2
0,4.275517081642178,0.428,0.118,0,Epithelial 1,AC078881.1
0,4.260760653475415,0.693,0.107,0,Epithelial 1,AL359313.1
0,4.0600856311350455,0.412,0.202,0,Epithelial 1,ANKS1B
0,3.9717427485286407,0.523,0.098,0,Epithelial 1,GLDN
0,3.9576535373729627,0.474,0.301,0,Epithelial 1,GLIS3
0,3.8762673483216687,0.371,0.195,0,Epithelial 1,SLC6A6
0,3.8595551681437428,0.597,0.208,0,Epithelial 1,C9
0,3.85186988961766,0.186,0.089,0,Epithelial 1,CYP3A7
0,3.833333978500484,0.223,0.045,0,Epithelial 1,AKR1D1
