"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Lymphocyte 1-FLC","GO:0046034","ATP metabolic process","14/94","273/18800",8.2114580345709e-11,9.75130868961038e-08,7.72705892957104e-08,"481/7381/514/4694/27089/1350/1347/1327/2597/4622/4697/506/1337/1329",14
"2","Lymphocyte 1-FLC","GO:0006119","oxidative phosphorylation","11/94","139/18800",9.8998057762542e-11,9.75130868961038e-08,7.72705892957104e-08,"7381/514/4694/27089/1350/1347/1327/4697/506/1337/1329",11
"3","Lymphocyte 1-FLC","GO:0009060","aerobic respiration","11/94","187/18800",2.36612075269461e-09,1.55375262760279e-06,1.23121300920916e-06,"7381/514/4694/27089/1350/1347/1327/4697/506/1337/1329",11
"4","Lymphocyte 1-FLC","GO:0019646","aerobic electron transport chain","8/94","84/18800",9.21248564747153e-09,4.53714918137973e-06,3.59529374084218e-06,"7381/4694/27089/1350/1327/4697/1337/1329",8
"5","Lymphocyte 1-FLC","GO:0042773","ATP synthesis coupled electron transport","8/94","92/18800",1.90389267730576e-08,6.02895423147598e-06,4.77741871508356e-06,"7381/4694/27089/1350/1327/4697/1337/1329",8
"6","Lymphocyte 1-FLC","GO:0042775","mitochondrial ATP synthesis coupled electron transport","8/94","92/18800",1.90389267730576e-08,6.02895423147598e-06,4.77741871508356e-06,"7381/4694/27089/1350/1327/4697/1337/1329",8
"7","Lymphocyte 1-FLC","GO:0045333","cellular respiration","11/94","231/18800",2.14226800103208e-08,6.02895423147598e-06,4.77741871508356e-06,"7381/514/4694/27089/1350/1347/1327/4697/506/1337/1329",11
"8","Lymphocyte 1-FLC","GO:0022904","respiratory electron transport chain","8/94","113/18800",9.60850434853932e-08,2.36609419582781e-05,1.87492262485313e-05,"7381/4694/27089/1350/1327/4697/1337/1329",8
"9","Lymphocyte 1-FLC","GO:0022900","electron transport chain","9/94","167/18800",1.54659874604454e-07,3.12414056220183e-05,2.47560804367903e-05,"1535/7381/4694/27089/1350/1327/4697/1337/1329",9
"10","Lymphocyte 1-FLC","GO:0006091","generation of precursor metabolites and energy","14/94","494/18800",1.58585815340194e-07,3.12414056220183e-05,2.47560804367903e-05,"1535/7381/514/4694/27089/1350/1347/1327/2597/1345/4697/506/1337/1329",14
"11","Lymphocyte 1-FLC","GO:1902600","proton transmembrane transport","8/94","133/18800",3.39105887385607e-07,5.49018345560227e-05,4.35049001584727e-05,"54997/1327/1349/4697/506/1337/1340/1329",8
"12","Lymphocyte 1-FLC","GO:0034368","protein-lipid complex remodeling","5/94","30/18800",3.62296370166647e-07,5.49018345560227e-05,4.35049001584727e-05,"337/344/5320/183/348",5
"13","Lymphocyte 1-FLC","GO:0034369","plasma lipoprotein particle remodeling","5/94","30/18800",3.62296370166647e-07,5.49018345560227e-05,4.35049001584727e-05,"337/344/5320/183/348",5
"14","Lymphocyte 1-FLC","GO:0034367","protein-containing complex remodeling","5/94","32/18800",5.0793751744091e-07,7.14740649541852e-05,5.66369427342007e-05,"337/344/5320/183/348",5
"15","Lymphocyte 1-FLC","GO:0015980","energy derivation by oxidation of organic compounds","11/94","321/18800",5.93078340305629e-07,7.78909553601392e-05,6.17217669244384e-05,"7381/514/4694/27089/1350/1347/1327/4697/506/1337/1329",11
"16","Lymphocyte 1-FLC","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","4/94","18/18800",1.6996172392812e-06,0.000209265372586498,0.000165824497753554,"1350/1327/1337/1329",4
"17","Lymphocyte 1-FLC","GO:0071827","plasma lipoprotein particle organization","5/94","45/18800",2.92763148458648e-06,0.00033926082497855,0.0002688345196063,"337/344/5320/183/348",5
"18","Lymphocyte 1-FLC","GO:0071825","protein-lipid complex subunit organization","5/94","48/18800",4.05485255091962e-06,0.000443781084739536,0.000351657680293204,"337/344/5320/183/348",5
"19","Lymphocyte 1-FLC","GO:0002181","cytoplasmic translation","7/94","146/18800",8.58761711960558e-06,0.000890400301348578,0.000705564331765932,"6170/6176/6234/6167/6171/6209/6228",7
"20","Lymphocyte 1-FLC","GO:0042445","hormone metabolic process","8/94","230/18800",2.00255185058326e-05,0.00197251357282451,0.00156304441811314,"1363/5122/10720/5950/5045/1586/5947/1734",8
"21","Lymphocyte 1-FLC","GO:0034370","triglyceride-rich lipoprotein particle remodeling","3/94","12/18800",2.57757184819348e-05,0.00230809842770053,0.00182896605304829,"337/344/348",3
"22","Lymphocyte 1-FLC","GO:0034372","very-low-density lipoprotein particle remodeling","3/94","12/18800",2.57757184819348e-05,0.00230809842770053,0.00182896605304829,"337/344/348",3
"23","Lymphocyte 1-FLC","GO:0045742","positive regulation of epidermal growth factor receptor signaling pathway","4/94","36/18800",3.05392992327089e-05,0.00261575736906246,0.0020727588449477,"10551/183/2069/374",4
"24","Lymphocyte 1-FLC","GO:0033700","phospholipid efflux","3/94","13/18800",3.33869888439508e-05,0.0027405153342743,0.00217161861647277,"337/344/348",3
"25","Lymphocyte 1-FLC","GO:1901186","positive regulation of ERBB signaling pathway","4/94","38/18800",3.79778863421784e-05,0.00299265744376366,0.00237141917665055,"10551/183/2069/374",4
"26","Lymphocyte 1-FLC","GO:0001976","nervous system process involved in regulation of systemic arterial blood pressure","3/94","14/18800",4.23385561218425e-05,0.00308914650222332,0.00244787831300945,"183/796/6196",3
