"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Stellate-FLC","GO:0002181","cytoplasmic translation","19/93","146/18800",4.33771848837223e-22,8.0594809513956e-19,6.86729327001245e-19,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"2","Stellate-FLC","GO:0030198","extracellular matrix organization","13/93","307/18800",3.67240143953982e-09,1.91748703176918e-06,1.63384538880565e-06,"1278/1295/10631/23213/151887/2191/1277/1281/861/4060/1306/1545/285590",13
"3","Stellate-FLC","GO:0043062","extracellular structure organization","13/93","308/18800",3.81895181619112e-09,1.91748703176918e-06,1.63384538880565e-06,"1278/1295/10631/23213/151887/2191/1277/1281/861/4060/1306/1545/285590",13
"4","Stellate-FLC","GO:0045229","external encapsulating structure organization","13/93","310/18800",4.12806680682278e-09,1.91748703176918e-06,1.63384538880565e-06,"1278/1295/10631/23213/151887/2191/1277/1281/861/4060/1306/1545/285590",13
"5","Stellate-FLC","GO:0061448","connective tissue development","11/93","260/18800",6.42153319101598e-08,2.38624173378154e-05,2.03326019353432e-05,"4256/5396/23213/1277/1281/861/64641/5159/7076/285590/860",11
"6","Stellate-FLC","GO:0048844","artery morphogenesis","7/93","79/18800",1.25071953969748e-07,3.87306150792987e-05,3.30014418895616e-05,"5396/4854/1281/5159/221395/182/348",7
"7","Stellate-FLC","GO:0060840","artery development","7/93","106/18800",9.43701479316859e-07,0.000250485335510103,0.000213432635322189,"5396/4854/1281/5159/221395/182/348",7
"8","Stellate-FLC","GO:0051216","cartilage development","8/93","195/18800",5.56396650398388e-06,0.00129223122055026,0.00110107968710418,"4256/5396/23213/1277/1281/861/7076/860",8
"9","Stellate-FLC","GO:0030199","collagen fibril organization","5/93","62/18800",1.37647347350658e-05,0.00235370598804761,0.00200553725342678,"1278/1277/1281/4060/1545",5
"10","Stellate-FLC","GO:0034368","protein-lipid complex remodeling","4/93","30/18800",1.39347501983443e-05,0.00235370598804761,0.00200553725342678,"5320/337/344/348",4
"11","Stellate-FLC","GO:0034369","plasma lipoprotein particle remodeling","4/93","30/18800",1.39347501983443e-05,0.00235370598804761,0.00200553725342678,"5320/337/344/348",4
"12","Stellate-FLC","GO:0034367","protein-containing complex remodeling","4/93","32/18800",1.81469121897478e-05,0.00280974690404596,0.00239411894152463,"5320/337/344/348",4
"13","Stellate-FLC","GO:0034370","triglyceride-rich lipoprotein particle remodeling","3/93","12/18800",2.49620679386029e-05,0.00331282301642315,0.00282277820899689,"337/344/348",3
"14","Stellate-FLC","GO:0034372","very-low-density lipoprotein particle remodeling","3/93","12/18800",2.49620679386029e-05,0.00331282301642315,0.00282277820899689,"337/344/348",3
"15","Stellate-FLC","GO:0033700","phospholipid efflux","3/93","13/18800",3.23343663470762e-05,0.00400515017819117,0.00341269382357913,"337/344/348",3
"16","Stellate-FLC","GO:0071827","plasma lipoprotein particle organization","4/93","45/18800",7.15834800053898e-05,0.00831263161562589,0.00708299696895436,"5320/337/344/348",4
