"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Epithelial 1","GO:0006631","fatty acid metabolic process","13/71","395/18800",2.4640549585563e-09,3.59437199578715e-06,2.98741180537947e-06,"57678/3638/9926/570/10891/3248/718/348158/2180/123876/1555/1562/9104",13
"2","Epithelial 1","GO:0006790","sulfur compound metabolic process","12/71","339/18800",4.80210019477241e-09,3.59437199578715e-06,2.98741180537947e-06,"6505/57678/9060/8460/570/26035/50859/6611/348158/2180/123876/4143",12
"3","Epithelial 1","GO:0008202","steroid metabolic process","11/71","323/18800",3.32198260181915e-08,1.65766931830776e-05,1.3777485738071e-05,"3638/19/5629/653/1577/570/2330/8542/1555/1551/6718",11
"4","Epithelial 1","GO:0006805","xenobiotic metabolic process","7/71","108/18800",1.66753879244261e-07,6.24076393071647e-05,5.18692329649254e-05,"1577/2330/348158/2180/1555/1562/1551",7
"5","Epithelial 1","GO:0046394","carboxylic acid biosynthetic process","10/71","316/18800",2.91136960623827e-07,6.78588077522593e-05,5.63998950625254e-05,"3638/5629/445/9926/570/435/348158/123876/6718/9104",10
"6","Epithelial 1","GO:0016053","organic acid biosynthetic process","10/71","318/18800",3.0853894248648e-07,6.78588077522593e-05,5.63998950625254e-05,"3638/5629/445/9926/570/435/348158/123876/6718/9104",10
"7","Epithelial 1","GO:0019432","triglyceride biosynthetic process","5/71","40/18800",3.9531718896248e-07,6.78588077522593e-05,5.63998950625254e-05,"57678/9926/718/2180/9104",5
"8","Epithelial 1","GO:0033865","nucleoside bisphosphate metabolic process","7/71","125/18800",4.53298648979688e-07,6.78588077522593e-05,5.63998950625254e-05,"57678/9060/8460/570/348158/2180/123876",7
"9","Epithelial 1","GO:0033875","ribonucleoside bisphosphate metabolic process","7/71","125/18800",4.53298648979688e-07,6.78588077522593e-05,5.63998950625254e-05,"57678/9060/8460/570/348158/2180/123876",7
"10","Epithelial 1","GO:0034032","purine nucleoside bisphosphate metabolic process","7/71","125/18800",4.53298648979688e-07,6.78588077522593e-05,5.63998950625254e-05,"57678/9060/8460/570/348158/2180/123876",7
"11","Epithelial 1","GO:0006066","alcohol metabolic process","10/71","361/18800",9.81695629489275e-07,0.000115719728628856,9.61788272962123e-05,"3638/9227/19/653/1577/2330/8542/1562/1551/6718",10
"12","Epithelial 1","GO:0046460","neutral lipid biosynthetic process","5/71","48/18800",1.00491414306956e-06,0.000115719728628856,9.61788272962123e-05,"57678/9926/718/2180/9104",5
"13","Epithelial 1","GO:0046463","acylglycerol biosynthetic process","5/71","48/18800",1.00491414306956e-06,0.000115719728628856,9.61788272962123e-05,"57678/9926/718/2180/9104",5
"14","Epithelial 1","GO:0042180","cellular ketone metabolic process","8/71","211/18800",1.27900492434568e-06,0.000136762169410391,0.00011366795643433,"3638/5629/653/9926/10891/169355/1555/9104",8
"15","Epithelial 1","GO:0072330","monocarboxylic acid biosynthetic process","8/71","215/18800",1.47239818830561e-06,0.0001469453391929,0.000122131554987876,"3638/5629/9926/570/348158/123876/6718/9104",8
"16","Epithelial 1","GO:0006641","triglyceride metabolic process","6/71","103/18800",2.50641517247279e-06,0.000234506469574485,0.000194906758806766,"57678/3638/9926/718/2180/9104",6
"17","Epithelial 1","GO:0071466","cellular response to xenobiotic stimulus","7/71","168/18800",3.30162047306519e-06,0.000290736814598741,0.000241641820381614,"1577/2330/348158/2180/1555/1562/1551",7
"18","Epithelial 1","GO:0006639","acylglycerol metabolic process","6/71","131/18800",1.00830306597208e-05,0.000788315137213666,0.000655197055294134,"57678/3638/9926/718/2180/9104",6
"19","Epithelial 1","GO:0006638","neutral lipid metabolic process","6/71","132/18800",1.0531932360904e-05,0.000788315137213666,0.000655197055294134,"57678/3638/9926/718/2180/9104",6
"20","Epithelial 1","GO:0010565","regulation of cellular ketone metabolic process","6/71","132/18800",1.0531932360904e-05,0.000788315137213666,0.000655197055294134,"3638/5629/653/9926/10891/9104",6
"21","Epithelial 1","GO:1901605","alpha-amino acid metabolic process","7/71","203/18800",1.14362653580237e-05,0.000815242344807693,0.000677577225723512,"445/570/3034/435/6611/169355/4143",7
"22","Epithelial 1","GO:0034754","cellular hormone metabolic process","6/71","137/18800",1.30259092272548e-05,0.000886353914236384,0.000736680607972018,"9227/653/1577/1562/1551/6718",6
"23","Epithelial 1","GO:0009410","response to xenobiotic stimulus","9/71","411/18800",2.34868963723253e-05,0.00152869060301613,0.00127054972595371,"6505/445/1577/2330/348158/2180/1555/1562/1551",9
"24","Epithelial 1","GO:0042445","hormone metabolic process","7/71","230/18800",2.5604877511386e-05,0.00153970467412859,0.00127970391647856,"9227/9060/653/1577/1562/1551/6718",7
"25","Epithelial 1","GO:0006637","acyl-CoA metabolic process","5/71","93/18800",2.67416977470563e-05,0.00153970467412859,0.00127970391647856,"57678/570/348158/2180/123876",5
"26","Epithelial 1","GO:0035383","thioester metabolic process","5/71","93/18800",2.67416977470563e-05,0.00153970467412859,0.00127970391647856,"57678/570/348158/2180/123876",5
"27","Epithelial 1","GO:0120254","olefinic compound metabolic process","6/71","157/18800",2.82082780834796e-05,0.00156399230707293,0.00129989024150772,"9227/653/1577/1555/1562/1551",6
"28","Epithelial 1","GO:0019216","regulation of lipid metabolic process","8/71","339/18800",4.07546639649768e-05,0.00210679906125138,0.00175103645213172,"3638/5629/653/9926/10891/2330/718/9104",8
"29","Epithelial 1","GO:0042572","retinol metabolic process","4/71","51/18800",4.08130746668603e-05,0.00210679906125138,0.00175103645213172,"9227/1577/1562/1551",4
"30","Epithelial 1","GO:0034308","primary alcohol metabolic process","5/71","105/18800",4.79746618746064e-05,0.00239393562754286,0.0019896859766942,"9227/653/1577/1562/1551",5
"31","Epithelial 1","GO:0006694","steroid biosynthetic process","6/71","175/18800",5.18124510985308e-05,0.00242385122795314,0.00201454990784419,"3638/5629/653/570/1551/6718",6
"32","Epithelial 1","GO:0046890","regulation of lipid biosynthetic process","6/71","175/18800",5.18124510985308e-05,0.00242385122795314,0.00201454990784419,"3638/5629/653/9926/718/9104",6
"33","Epithelial 1","GO:0009150","purine ribonucleotide metabolic process","8/71","366/18800",6.98301550799618e-05,0.00316774976226372,0.00263283072741674,"57678/9060/8460/570/10891/348158/2180/123876",8
"34","Epithelial 1","GO:0098739","import across plasma membrane","6/71","188/18800",7.71038184065967e-05,0.00339483576925516,0.00282157007295967,"6505/3773/2180/6542/23516/6533",6
"35","Epithelial 1","GO:0009117","nucleotide metabolic process","9/71","487/18800",8.73482813043735e-05,0.00373601077464706,0.00310513288727126,"57678/9060/8460/570/10891/348158/169355/2180/123876",9
"36","Epithelial 1","GO:0009259","ribonucleotide metabolic process","8/71","384/18800",9.75084340640314e-05,0.00375732878236516,0.00312285104999868,"57678/9060/8460/570/10891/348158/2180/123876",8
"37","Epithelial 1","GO:0071577","zinc ion transmembrane transport","3/71","24/18800",9.86888118323903e-05,0.00375732878236516,0.00312285104999868,"6505/81615/23516",3
"38","Epithelial 1","GO:0006753","nucleoside phosphate metabolic process","9/71","495/18800",9.88700607864315e-05,0.00375732878236516,0.00312285104999868,"57678/9060/8460/570/10891/348158/169355/2180/123876",9
