"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Epithelial 4-FLC","R-HSA-397014","Muscle contraction","7/52","205/10891",4.92938874839798e-05,0.00756623347896317,0.00680598992366065,"783/51305/8654/7169/6547/4703/7273",7
"2","Epithelial 4-FLC","R-HSA-418457","cGMP effects","3/52","16/10891",5.50271525742776e-05,0.00756623347896317,0.00680598992366065,"10846/8654/5593",3
"3","Epithelial 4-FLC","R-HSA-3000480","Scavenging by Class A Receptors","3/52","19/10891",9.42577942320984e-05,0.00864029780460902,0.00777213391036601,"1282/1284/286133",3
"4","Epithelial 4-FLC","R-HSA-392154","Nitric oxide stimulates guanylate cyclase","3/52","22/10891",0.000148293038328731,0.0101951463851002,0.00917075368611888,"10846/8654/5593",3
"5","Epithelial 4-FLC","R-HSA-3000157","Laminin interactions","3/52","30/10891",0.00038055757622015,0.0209306666921082,0.018827585349839,"1282/1284/3679",3
"6","Epithelial 4-FLC","R-HSA-3000178","ECM proteoglycans","4/52","76/10891",0.000459974581401377,0.0210821683142298,0.0189638643209339,"1282/1284/3679/1462",4
"7","Epithelial 4-FLC","R-HSA-390522","Striated Muscle Contraction","3/52","36/10891",0.000655878004234865,0.0257666358806554,0.0231776437586757,"7169/4703/7273",3
"8","Epithelial 4-FLC","R-HSA-418346","Platelet homeostasis","4/52","88/10891",0.000801529922171118,0.0275525910746322,0.0247841489092385,"10846/8654/5593/6547",4
"9","Epithelial 4-FLC","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","3/52","42/10891",0.00103348871745875,0.0284209397301156,0.025565247221348,"1282/1284/286133",3
"10","Epithelial 4-FLC","R-HSA-419037","NCAM1 interactions","3/52","42/10891",0.00103348871745875,0.0284209397301156,0.025565247221348,"783/1282/1284",3
"11","Epithelial 4-FLC","R-HSA-9012999","RHO GTPase cycle","8/52","449/10891",0.00119517342550493,0.0298793356376234,0.0268771057410201,"9590/56667/4810/5063/8654/57522/114793/9886",8
"12","Epithelial 4-NML","R-HSA-977606","Regulation of Complement cascade","11/79","47/10891",2.0077273362338e-14,5.03939561394684e-12,4.3535982238333e-12,"715/718/722/729/731/732/735/3075/3080/10878/1369",11
"13","Epithelial 4-NML","R-HSA-166658","Complement cascade","11/79","58/10891",2.46364788563576e-13,3.09187809647288e-11,2.67111297074193e-11,"715/718/722/729/731/732/735/3075/3080/10878/1369",11
"14","Epithelial 4-NML","R-HSA-211981","Xenobiotics","8/79","25/10891",5.21991512313931e-12,4.36732898635989e-10,3.77299128198841e-10,"1548/1549/1555/1562/1557/1558/1576/1577",8
"15","Epithelial 4-NML","R-HSA-9749641","Aspirin ADME","9/79","44/10891",2.01080697184308e-11,1.26178137483153e-09,1.09006904263072e-09,"1244/8714/123876/348158/54988/213/1557/1558/1576",9
"16","Epithelial 4-NML","R-HSA-211897","Cytochrome P450 - arranged by substrate type","9/79","66/10891",9.23847634905143e-10,4.63771512722382e-08,4.00658132190441e-08,"1548/1549/1555/1562/1557/1558/51302/1576/1577",9
"17","Epithelial 4-NML","R-HSA-9748784","Drug ADME","10/79","99/10891",2.08059159856731e-09,8.70380818733991e-08,7.51933104043624e-08,"1244/8714/9429/123876/348158/54988/213/1557/1558/1576",10
"18","Epithelial 4-NML","R-HSA-211945","Phase I - Functionalization of compounds","10/79","106/10891",4.08475502346198e-09,1.46467644412708e-07,1.26535268395965e-07,"127/1548/1549/1555/1562/1557/1558/51302/1576/1577",10
"19","Epithelial 4-NML","R-HSA-211859","Biological oxidations","13/79","222/10891",5.94270583892034e-09,1.86452395696126e-07,1.61078605633893e-07,"123876/348158/54988/127/1548/1549/1555/1562/1557/1558/51302/1576/1577",13
"20","Epithelial 4-NML","R-HSA-211999","CYP2E1 reactions","5/79","11/10891",7.88840828170116e-09,2.19998942078554e-07,1.90059895442157e-07,"1548/1549/1555/1557/1558",5
"21","Epithelial 4-NML","R-HSA-382556","ABC-family proteins mediated transport","7/79","103/10891",9.14337753481478e-06,0.000229498776123851,0.00019826692338651,"23460/10351/10350/5244/1244/8714/5825",7
"22","Epithelial 4-NML","R-HSA-8957275","Post-translational protein phosphorylation","7/79","108/10891",1.24998145439387e-05,0.000285223040957147,0.000246407827373338,"197/213/338/351/718/1000/1356",7
"23","Epithelial 4-NML","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","7/79","125/10891",3.23939354477021e-05,0.000677573149781102,0.000585364096686546,"197/213/338/351/718/1000/1356",7
"24","Epithelial 4-NML","R-HSA-189445","Metabolism of porphyrins","4/79","27/10891",3.96428588143633e-05,0.000765412120185014,0.000661249304919744,"1244/9429/211/213",4
"25","Epithelial 4-NML","R-HSA-189451","Heme biosynthesis","3/79","14/10891",0.00012623800663741,0.00226326711899928,0.00195526536596289,"9429/211/213",3
"26","Epithelial 4-NML","R-HSA-189483","Heme degradation","3/79","15/10891",0.000156973964761634,0.00262669767701133,0.00226923766602782,"1244/9429/213",3
"27","Epithelial 4-NML","R-HSA-1369062","ABC transporters in lipid homeostasis","3/79","18/10891",0.000277135868760209,0.00409182959169486,0.00353498383681753,"23460/10350/5825",3
"28","Epithelial 4-NML","R-HSA-159418","Recycling of bile acids and salts","3/79","18/10891",0.000277135868760209,0.00409182959169486,0.00353498383681753,"8647/8714/213",3
"29","Epithelial 4-NML","R-HSA-194068","Bile acid and bile salt metabolism","4/79","45/10891",0.000304843123104085,0.00425086799439585,0.00367237914382699,"8647/8714/213/51302",4
"30","Epithelial 4-NML","R-HSA-9753281","Paracetamol ADME","3/79","29/10891",0.00117175852866008,0.0154795468786148,0.013372978221827,"1244/8714/9429",3
"31","Epithelial 4-NML","R-HSA-114608","Platelet degranulation ","5/79","129/10891",0.00241379198647027,0.0302930894302019,0.0261705868006777,"1/2/197/213/351",5
"32","Epithelial 4-NML","R-HSA-416482","G alpha (12/13) signalling events","4/79","80/10891",0.00267177124386059,0.0319340277242385,0.0275882143476332,"148/147/55160/26084",4
"33","Epithelial 4-NML","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","5/79","134/10891",0.00284695701693353,0.0324811914204689,0.0280609160520721,"1/2/197/213/351",5
"34","Epithelial 4-NML","R-HSA-418885","DCC mediated attractive signaling","2/79","14/10891",0.00446799146789946,0.0487593851496854,0.0421238554868325,"3983/22885",2
