"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Erythroid-NML","R-HSA-167242","Abortive elongation of HIV-1 transcript in the absence of Tat","1/3","23/10891",0.00632271560647157,0.0230450058238804,0.00346541440960607,"6829",1
"2","Erythroid-NML","R-HSA-167160","RNA Pol II CTD phosphorylation and interaction with CE during HIV infection","1/3","27/10891",0.00741959044808438,0.0230450058238804,0.00346541440960607,"6829",1
"3","Erythroid-NML","R-HSA-77075","RNA Pol II CTD phosphorylation and interaction with CE","1/3","27/10891",0.00741959044808438,0.0230450058238804,0.00346541440960607,"6829",1
"4","Erythroid-NML","R-HSA-72086","mRNA Capping","1/3","29/10891",0.00796772504140097,0.0230450058238804,0.00346541440960607,"6829",1
"5","Erythroid-NML","R-HSA-167238","Pausing and recovery of Tat-mediated HIV elongation","1/3","31/10891",0.00851565779928021,0.0230450058238804,0.00346541440960607,"6829",1
"6","Erythroid-NML","R-HSA-167243","Tat-mediated HIV elongation arrest and recovery","1/3","31/10891",0.00851565779928021,0.0230450058238804,0.00346541440960607,"6829",1
"7","Erythroid-NML","R-HSA-113418","Formation of the Early Elongation Complex","1/3","33/10891",0.00906338875888946,0.0230450058238804,0.00346541440960607,"6829",1
"8","Erythroid-NML","R-HSA-167158","Formation of the HIV-1 Early Elongation Complex","1/3","33/10891",0.00906338875888946,0.0230450058238804,0.00346541440960607,"6829",1
"9","Erythroid-NML","R-HSA-167287","HIV elongation arrest and recovery","1/3","33/10891",0.00906338875888946,0.0230450058238804,0.00346541440960607,"6829",1
"10","Erythroid-NML","R-HSA-167290","Pausing and recovery of HIV elongation","1/3","33/10891",0.00906338875888946,0.0230450058238804,0.00346541440960607,"6829",1
"11","Erythroid-NML","R-HSA-73933","Resolution of Abasic Sites (AP sites)","1/3","39/10891",0.0107053712197654,0.0230450058238804,0.00346541440960607,"11284",1
"12","Erythroid-NML","R-HSA-167169","HIV Transcription Elongation","1/3","43/10891",0.0117990178837271,0.0230450058238804,0.00346541440960607,"6829",1
"13","Erythroid-NML","R-HSA-167200","Formation of HIV-1 elongation complex containing HIV-1 Tat","1/3","43/10891",0.0117990178837271,0.0230450058238804,0.00346541440960607,"6829",1
"14","Erythroid-NML","R-HSA-167246","Tat-mediated elongation of the HIV-1 transcript","1/3","43/10891",0.0117990178837271,0.0230450058238804,0.00346541440960607,"6829",1
"15","Erythroid-NML","R-HSA-167152","Formation of HIV elongation complex in the absence of HIV Tat","1/3","45/10891",0.0123455388342216,0.0230450058238804,0.00346541440960607,"6829",1
"16","Erythroid-NML","R-HSA-112382","Formation of RNA Pol II elongation complex ","1/3","58/10891",0.0158930141821234,0.0261767292411444,0.00393635026182623,"6829",1
"17","Erythroid-NML","R-HSA-75955","RNA Polymerase II Transcription Elongation","1/3","58/10891",0.0158930141821234,0.0261767292411444,0.00393635026182623,"6829",1
"18","Erythroid-NML","R-HSA-6796648","TP53 Regulates Transcription of DNA Repair Genes","1/3","62/10891",0.0169828335641388,0.0264177410997714,0.00397259264658217,"6829",1
"19","Erythroid-NML","R-HSA-167172","Transcription of the HIV genome","1/3","70/10891",0.0191600579593258,0.0282358748874276,0.00424599622367332,"6829",1
"20","Erythroid-NML","R-HSA-6807505","RNA polymerase II transcribes snRNA genes","1/3","74/10891",0.0202474635671702,0.0283464489940383,0.00426262390887794,"6829",1
"21","Erythroid-NML","R-HSA-674695","RNA Polymerase II Pre-transcription Events","1/3","81/10891",0.0221484889426607,0.0295313185902143,0.00444079978800216,"6829",1
"22","Erythroid-NML","R-HSA-73884","Base Excision Repair","1/3","92/10891",0.025130843635871,0.0319847100820177,0.00480973083940116,"11284",1
"23","Erythroid-NML","R-HSA-162599","Late Phase of HIV Life Cycle","1/3","136/10891",0.0369996231806862,0.0450430195243136,0.00677338639463362,"6829",1
"24","Erythroid-NML","R-HSA-162587","HIV Life Cycle","1/3","149/10891",0.040487779430875,0.0472357426693542,0.00710311919839912,"6829",1
