"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Endothelial-FLC","GO:0002181","cytoplasmic translation","21/95","146/18800",4.20604176288316e-25,8.24804789701389e-22,6.78722318157883e-22,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"2","Endothelial-FLC","GO:0043542","endothelial cell migration","10/95","279/18800",1.46884044483632e-06,0.000775662481585233,0.000638283681403238,"1012/161198/2191/10769/5797/28984/6678/6781/7114/7424",10
"3","Endothelial-FLC","GO:0010631","epithelial cell migration","11/95","358/18800",1.91704307837428e-06,0.000775662481585233,0.000638283681403238,"1012/161198/2191/3673/10769/5797/28984/6678/6781/7114/7424",11
"4","Endothelial-FLC","GO:0090132","epithelium migration","11/95","361/18800",2.0781732060011e-06,0.000775662481585233,0.000638283681403238,"1012/161198/2191/3673/10769/5797/28984/6678/6781/7114/7424",11
"5","Endothelial-FLC","GO:0031589","cell-substrate adhesion","11/95","364/18800",2.25108588857887e-06,0.000775662481585233,0.000638283681403238,"395/947/1012/10085/2244/2266/3232/3673/3655/3912/2243",11
"6","Endothelial-FLC","GO:0090130","tissue migration","11/95","366/18800",2.37326613437603e-06,0.000775662481585233,0.000638283681403238,"1012/161198/2191/3673/10769/5797/28984/6678/6781/7114/7424",11
"7","Endothelial-FLC","GO:0007160","cell-matrix adhesion","9/95","235/18800",2.95398699134379e-06,0.000827538355717883,0.000680971738004517,"395/947/1012/2244/2266/3232/3673/3655/2243",9
"8","Endothelial-FLC","GO:0030195","negative regulation of blood coagulation","5/95","48/18800",4.27196942441517e-06,0.00103246532598233,0.000849603770756547,"947/2191/2244/2266/2243",5
"9","Endothelial-FLC","GO:1900047","negative regulation of hemostasis","5/95","49/18800",4.73849461185158e-06,0.00103246532598233,0.000849603770756547,"947/2191/2244/2266/2243",5
"10","Endothelial-FLC","GO:0042730","fibrinolysis","4/95","24/18800",6.01630930316256e-06,0.00113764810750254,0.000936157464667001,"2191/2244/2266/2243",4
"11","Endothelial-FLC","GO:0050819","negative regulation of coagulation","5/95","52/18800",6.38150391765829e-06,0.00113764810750254,0.000936157464667001,"947/2191/2244/2266/2243",5
"12","Endothelial-FLC","GO:0042255","ribosome assembly","5/95","62/18800",1.52684343898848e-05,0.00236506576270819,0.00194618525147302,"6134/6208/6234/6128/6209",5
"13","Endothelial-FLC","GO:0007596","blood coagulation","8/95","221/18800",1.62346352699349e-05,0.00236506576270819,0.00194618525147302,"947/953/2191/2244/2266/3673/5265/2243",8
"14","Endothelial-FLC","GO:0050817","coagulation","8/95","226/18800",1.90756530943828e-05,0.00236506576270819,0.00194618525147302,"947/953/2191/2244/2266/3673/5265/2243",8
"15","Endothelial-FLC","GO:0007599","hemostasis","8/95","227/18800",1.96912683100918e-05,0.00236506576270819,0.00194618525147302,"947/953/2191/2244/2266/3673/5265/2243",8
"16","Endothelial-FLC","GO:0042989","sequestering of actin monomers","3/95","11/18800",2.00283930444206e-05,0.00236506576270819,0.00194618525147302,"2934/9168/7114",3
"17","Endothelial-FLC","GO:0030193","regulation of blood coagulation","5/95","66/18800",2.07536605849978e-05,0.00236506576270819,0.00194618525147302,"947/2191/2244/2266/2243",5
"18","Endothelial-FLC","GO:0140694","non-membrane-bounded organelle assembly","10/95","379/18800",2.17089157209319e-05,0.00236506576270819,0.00194618525147302,"2934/10769/6134/6208/6228/6234/285590/29767/6128/6209",10
