"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Epithelial 2-FLC","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","6/92","18/18800",2.06090374822217e-10,4.22485268385545e-07,3.59898875610588e-07,"1327/9377/1329/1337/1350/54205",6
"2","Epithelial 2-FLC","GO:0046034","ATP metabolic process","13/92","273/18800",7.7140161796574e-10,7.90686658414884e-07,6.7355541273956e-07,"481/506/514/518/521/400916/1327/9377/1329/1337/1350/54205/54541",13
"3","Epithelial 2-FLC","GO:0006119","oxidative phosphorylation","10/92","139/18800",1.51619361586875e-09,1.03606563751031e-06,8.82584283763598e-07,"506/514/521/400916/1327/9377/1329/1337/1350/54205",10
"4","Epithelial 2-FLC","GO:0009060","aerobic respiration","10/92","187/18800",2.65198880208988e-08,1.35914426107107e-05,1.15780247964924e-05,"506/514/521/400916/1327/9377/1329/1337/1350/54205",10
"5","Epithelial 2-FLC","GO:0045333","cellular respiration","10/92","231/18800",1.93042505947105e-07,7.9147427438313e-05,6.74226352349994e-05,"506/514/521/400916/1327/9377/1329/1337/1350/54205",10
"6","Epithelial 2-FLC","GO:0006091","generation of precursor metabolites and energy","13/92","494/18800",8.18772171727233e-07,0.000279747158673471,0.000238305795244821,"506/514/521/400916/1327/9377/1329/1337/1345/1350/1535/54205/54541",13
"7","Epithelial 2-FLC","GO:0019646","aerobic electron transport chain","6/92","84/18800",3.48313124052835e-06,0.000980976753643997,0.000835656192192756,"1327/9377/1329/1337/1350/54205",6
"8","Epithelial 2-FLC","GO:0015980","energy derivation by oxidation of organic compounds","10/92","321/18800",3.82820196543999e-06,0.000980976753643997,0.000835656192192756,"506/514/521/400916/1327/9377/1329/1337/1350/54205",10
"9","Epithelial 2-FLC","GO:0042773","ATP synthesis coupled electron transport","6/92","92/18800",5.92173888616459e-06,0.00121395647166374,0.00103412261180495,"1327/9377/1329/1337/1350/54205",6
"10","Epithelial 2-FLC","GO:0042775","mitochondrial ATP synthesis coupled electron transport","6/92","92/18800",5.92173888616459e-06,0.00121395647166374,0.00103412261180495,"1327/9377/1329/1337/1350/54205",6
"11","Epithelial 2-FLC","GO:0015986","proton motive force-driven ATP synthesis","4/92","26/18800",7.39264148433974e-06,0.00137771954935422,0.00117362605000188,"506/514/518/521",4
"12","Epithelial 2-FLC","GO:0022900","electron transport chain","7/92","167/18800",1.78837145690694e-05,0.00304755811032291,0.0025960969987295,"1327/9377/1329/1337/1350/1535/54205",7
"13","Epithelial 2-FLC","GO:0022904","respiratory electron transport chain","6/92","113/18800",1.93259782605843e-05,0.00304755811032291,0.0025960969987295,"1327/9377/1329/1337/1350/54205",6
"14","Epithelial 2-FLC","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","3/92","12/18800",2.41655320403446e-05,0.00353852433447903,0.00301433215450614,"1282/1284/1287",3
"15","Epithelial 2-FLC","GO:0006898","receptor-mediated endocytosis","8/92","246/18800",2.77035483291936e-05,0.0037861516049898,0.00322527625811454,"22848/57007/344/348/567/1601/9829/1759",8
"16","Epithelial 2-FLC","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","7/92","190/18800",4.09284097526623e-05,0.00524395249955986,0.00446712051182019,"374/654/100133941/960/1272/1946/2069",7
"17","Epithelial 2-FLC","GO:1902600","proton transmembrane transport","6/92","133/18800",4.85002105170487e-05,0.00584855479764411,0.00498215784815999,"506/1327/9377/1329/1337/1349",6
"18","Epithelial 2-FLC","GO:0038065","collagen-activated signaling pathway","3/92","17/18800",7.33794519307391e-05,0.00791725665568501,0.00674440502787236,"1282/1284/1287",3
"19","Epithelial 2-FLC","GO:2000369","regulation of clathrin-dependent endocytosis","3/92","17/18800",7.33794519307391e-05,0.00791725665568501,0.00674440502787236,"22848/1601/9829",3
"20","Epithelial 2-FLC","GO:0042311","vasodilation","4/92","48/18800",8.86211903769371e-05,0.0086511162034629,0.00736955162081898,"348/624/796/1373",4
"21","Epithelial 2-FLC","GO:0043114","regulation of vascular permeability","4/92","48/18800",8.86211903769371e-05,0.0086511162034629,0.00736955162081898,"9590/348/624/654",4
"22","Epithelial 2-FLC","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","3/92","19/18800",0.000103826501454981,0.00967474218103231,0.00824153903893844,"506/514/521",3
"23","Epithelial 2-FLC","GO:0099558","maintenance of synapse structure","3/92","21/18800",0.000141499923758798,0.0126119497263277,0.0107436326551875,"10882/400916/1488",3
"24","Epithelial 2-FLC","GO:0030166","proteoglycan biosynthetic process","4/92","56/18800",0.000162361459142351,0.0138683746350758,0.0118139324875948,"50515/64377/55790/92126",4
"25","Epithelial 2-FLC","GO:0006754","ATP biosynthetic process","4/92","57/18800",0.000173965096489041,0.0142651379121013,0.012151919792645,"506/514/518/521",4
"26","Epithelial 2-FLC","GO:0048259","regulation of receptor-mediated endocytosis","5/92","110/18800",0.000205365860741318,0.0161923082507577,0.0137936017396699,"22848/344/567/1601/9829",5
"27","Epithelial 2-FLC","GO:0006790","sulfur compound metabolic process","8/92","339/18800",0.00025706073172712,0.0195175740755776,0.0166262672099529,"10157/50515/64377/84191/1373/55790/92126/79993",8
"28","Epithelial 2-FLC","GO:0042446","hormone biosynthetic process","4/92","65/18800",0.000289412311525208,0.0201143549292693,0.0171346417600297,"654/64377/1601/1734",4
"29","Epithelial 2-FLC","GO:0043954","cellular component maintenance","4/92","65/18800",0.000289412311525208,0.0201143549292693,0.0171346417600297,"348/10882/400916/1488",4
"30","Epithelial 2-FLC","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","7/92","261/18800",0.000294356413599064,0.0201143549292693,0.0171346417600297,"374/654/100133941/960/1272/1946/2069",7
"31","Epithelial 2-FLC","GO:0003018","vascular process in circulatory system","7/92","263/18800",0.000308266645206894,0.0203853749249721,0.017365513222351,"4363/9590/348/624/654/796/1373",7
"32","Epithelial 2-FLC","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","4/92","68/18800",0.000344253972684336,0.0220537701250903,0.0187867546277406,"506/514/518/521",4
"33","Epithelial 2-FLC","GO:0009145","purine nucleoside triphosphate biosynthetic process","4/92","69/18800",0.000364080373563338,0.0226171141152983,0.019266645605792,"506/514/518/521",4
"34","Epithelial 2-FLC","GO:0006874","cellular calcium ion homeostasis","9/92","456/18800",0.000393274968861597,0.0237121672401846,0.020199479050817,"57007/348/481/624/775/796/811/100133941/1535",9
"35","Epithelial 2-FLC","GO:0031589","cell-substrate adhesion","8/92","364/18800",0.000413682146737493,0.0238252682889285,0.0202958254640988,"56999/10551/811/960/1601/1613/1896/1946",8
"36","Epithelial 2-FLC","GO:0030204","chondroitin sulfate metabolic process","3/92","30/18800",0.000418394955317769,0.0238252682889285,0.0202958254640988,"50515/55790/92126",3
"37","Epithelial 2-FLC","GO:0055074","calcium ion homeostasis","9/92","468/18800",0.000474629987544985,0.025659730598786,0.0218585330235615,"57007/348/481/624/775/796/811/100133941/1535",9
"38","Epithelial 2-FLC","GO:0009201","ribonucleoside triphosphate biosynthetic process","4/92","74/18800",0.000475643786709205,0.025659730598786,0.0218585330235615,"506/514/518/521",4
"39","Epithelial 2-FLC","GO:0030100","regulation of endocytosis","6/92","208/18800",0.000552032715549849,0.0284395032234001,0.0242265139140543,"22848/344/348/567/1601/9829",6
"40","Epithelial 2-FLC","GO:0045940","positive regulation of steroid metabolic process","3/92","33/18800",0.000556321238105741,0.0284395032234001,0.0242265139140543,"348/654/1601",3
"41","Epithelial 2-FLC","GO:0050678","regulation of epithelial cell proliferation","8/92","382/18800",0.000568790064468001,0.0284395032234001,0.0242265139140543,"348/374/567/654/135228/1535/1601/2069",8
"42","Epithelial 2-FLC","GO:0006029","proteoglycan metabolic process","4/92","80/18800",0.000639358611025717,0.0312067893476838,0.0265838580373851,"50515/64377/55790/92126",4
"43","Epithelial 2-FLC","GO:0050654","chondroitin sulfate proteoglycan metabolic process","3/92","35/18800",0.00066265844825303,0.0315918562539235,0.0269118816561022,"50515/55790/92126",3
"44","Epithelial 2-FLC","GO:0072503","cellular divalent inorganic cation homeostasis","9/92","494/18800",0.000699023531744233,0.0319719851564341,0.0272356987802435,"57007/348/481/624/775/796/811/100133941/1535",9
"45","Epithelial 2-FLC","GO:0009205","purine ribonucleoside triphosphate metabolic process","4/92","82/18800",0.00070182406440953,0.0319719851564341,0.0272356987802435,"506/514/518/521",4
"46","Epithelial 2-FLC","GO:0045742","positive regulation of epidermal growth factor receptor signaling pathway","3/92","36/18800",0.000720349360162593,0.032102525833333,0.0273469013388957,"10551/374/2069",3
"47","Epithelial 2-FLC","GO:0009142","nucleoside triphosphate biosynthetic process","4/92","85/18800",0.000803450789176634,0.0343140441210854,0.0292308083167552,"506/514/518/521",4
"48","Epithelial 2-FLC","GO:0046889","positive regulation of lipid biosynthetic process","4/92","85/18800",0.000803450789176634,0.0343140441210854,0.0292308083167552,"344/348/654/1601",4
"49","Epithelial 2-FLC","GO:1901186","positive regulation of ERBB signaling pathway","3/92","38/18800",0.000845108022801015,0.0353565601375935,0.030118887429149,"10551/374/2069",3
"50","Epithelial 2-FLC","GO:0009144","purine nucleoside triphosphate metabolic process","4/92","87/18800",0.000876712656882515,0.0359452189321831,0.0306203431109072,"506/514/518/521",4
"51","Epithelial 2-FLC","GO:1903510","mucopolysaccharide metabolic process","4/92","88/18800",0.000915054767260601,0.036775055258531,0.0313272486130439,"960/50515/55790/92126",4
"52","Epithelial 2-FLC","GO:0042445","hormone metabolic process","6/92","230/18800",0.000932830669972493,0.036775055258531,0.0313272486130439,"25825/654/64377/1363/1601/1734",6
"53","Epithelial 2-FLC","GO:0009199","ribonucleoside triphosphate metabolic process","4/92","89/18800",0.000954563446688691,0.0369217936926758,0.0314522494152242,"506/514/518/521",4
"54","Epithelial 2-FLC","GO:0034331","cell junction maintenance","3/92","40/18800",0.000982798638016684,0.0373099482950778,0.0317829033229957,"10882/400916/1488",3
"55","Epithelial 2-FLC","GO:0050808","synapse organization","8/92","419/18800",0.00103586933375878,0.0382447362604976,0.0325792130712018,"348/10882/400916/1282/1287/1488/92737/1946",8
"56","Epithelial 2-FLC","GO:0031960","response to corticosteroid","5/92","157/18800",0.00104473425882335,0.0382447362604976,0.0325792130712018,"374/654/1373/1535/54541",5
