"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 4-NML","GO:0009259","ribonucleotide metabolic process","16/93","384/18800",6.12015174997522e-11,8.92530482960601e-08,7.78366867893635e-08,"123876/348158/2203/1807/5166/2180/9414/229/5207/1806/55022/6822/57678/51733/134526/5142",16
"2","Liver epithelial cells 4-NML","GO:0019693","ribose phosphate metabolic process","16/93","394/18800",8.95216131354665e-11,8.92530482960601e-08,7.78366867893635e-08,"123876/348158/2203/1807/5166/2180/9414/229/5207/1806/55022/6822/57678/51733/134526/5142",16
"3","Liver epithelial cells 4-NML","GO:0009117","nucleotide metabolic process","17/93","487/18800",2.27000367941147e-10,1.45362472373624e-07,1.26769151856214e-07,"123876/348158/2203/1807/5166/2180/9414/229/10135/5207/1806/55022/6822/57678/51733/134526/5142",17
"4","Liver epithelial cells 4-NML","GO:0006753","nucleoside phosphate metabolic process","17/93","495/18800",2.91599743979185e-10,1.45362472373624e-07,1.26769151856214e-07,"123876/348158/2203/1807/5166/2180/9414/229/10135/5207/1806/55022/6822/57678/51733/134526/5142",17
"5","Liver epithelial cells 4-NML","GO:0071466","cellular response to xenobiotic stimulus","11/93","168/18800",6.76102677653332e-10,2.69629747848149e-07,2.35141394417538e-07,"8647/1555/348158/2203/1557/2180/1562/1576/1548/6822/5142",11
"6","Liver epithelial cells 4-NML","GO:0006805","xenobiotic metabolic process","9/93","108/18800",3.12769261673856e-09,1.03943651296278e-06,9.06482140851246e-07,"8647/1555/348158/1557/2180/1562/1576/1548/6822",9
"7","Liver epithelial cells 4-NML","GO:0072521","purine-containing compound metabolic process","14/93","416/18800",1.64237239953171e-08,4.67841509238034e-06,4.07999880304721e-06,"123876/348158/2203/5166/2180/9414/229/5207/1806/55022/6822/57678/134526/5142",14
"8","Liver epithelial cells 4-NML","GO:0009150","purine ribonucleotide metabolic process","13/93","366/18800",2.97323040691075e-08,7.41077678922503e-06,6.46286398975862e-06,"123876/348158/2203/5166/2180/9414/229/5207/55022/6822/57678/134526/5142",13
"9","Liver epithelial cells 4-NML","GO:0006163","purine nucleotide metabolic process","13/93","394/18800",7.03868574502745e-08,1.44547974684328e-05,1.26058836603763e-05,"123876/348158/2203/5166/2180/9414/229/5207/55022/6822/57678/134526/5142",13
"10","Liver epithelial cells 4-NML","GO:0006631","fatty acid metabolic process","13/93","395/18800",7.24914617273458e-08,1.44547974684328e-05,1.26058836603763e-05,"8647/123876/1555/348158/1557/5166/2180/1562/1576/1548/718/57678/134526",13
"11","Liver epithelial cells 4-NML","GO:0042178","xenobiotic catabolic process","5/93","25/18800",1.30554398126915e-07,2.36659518059154e-05,2.06388388235085e-05,"1555/1557/2180/1576/1548",5
"12","Liver epithelial cells 4-NML","GO:0009410","response to xenobiotic stimulus","12/93","411/18800",8.56624106903915e-07,0.000142342372430534,0.00012413535303555,"5139/8647/1555/348158/2203/1557/2180/1562/1576/1548/6822/5142",12
"13","Liver epithelial cells 4-NML","GO:0006957","complement activation, alternative pathway","4/93","18/18800",1.6282650024772e-06,0.000249750801149195,0.000217805164703833,"735/731/718/732",4
"14","Liver epithelial cells 4-NML","GO:0019373","epoxygenase P450 pathway","4/93","19/18800",2.05466888722614e-06,0.000292643554366352,0.000255211503887037,"1555/1557/1562/1548",4
"15","Liver epithelial cells 4-NML","GO:0033865","nucleoside bisphosphate metabolic process","7/93","125/18800",2.8616794550823e-06,0.000335658166672595,0.000292724115157645,"123876/348158/5166/2180/6822/57678/134526",7
"16","Liver epithelial cells 4-NML","GO:0033875","ribonucleoside bisphosphate metabolic process","7/93","125/18800",2.8616794550823e-06,0.000335658166672595,0.000292724115157645,"123876/348158/5166/2180/6822/57678/134526",7
"17","Liver epithelial cells 4-NML","GO:0034032","purine nucleoside bisphosphate metabolic process","7/93","125/18800",2.8616794550823e-06,0.000335658166672595,0.000292724115157645,"123876/348158/5166/2180/6822/57678/134526",7
"18","Liver epithelial cells 4-NML","GO:0008202","steroid metabolic process","10/93","323/18800",4.46393089680472e-06,0.000494504344901589,0.000431252271434,"8647/1555/2494/1557/3949/1576/1548/2099/6822/185",10
"19","Liver epithelial cells 4-NML","GO:0006637","acyl-CoA metabolic process","6/93","93/18800",6.71359127020926e-06,0.000669345049639863,0.000583729093599247,"123876/348158/5166/2180/57678/134526",6
"20","Liver epithelial cells 4-NML","GO:0035383","thioester metabolic process","6/93","93/18800",6.71359127020926e-06,0.000669345049639863,0.000583729093599247,"123876/348158/5166/2180/57678/134526",6
"21","Liver epithelial cells 4-NML","GO:0001676","long-chain fatty acid metabolic process","6/93","111/18800",1.85704899295035e-05,0.00176331223425857,0.00153776688539046,"1555/1557/2180/1562/1576/1548",6
"22","Liver epithelial cells 4-NML","GO:0006000","fructose metabolic process","3/93","13/18800",3.23343663470762e-05,0.00280324897809,0.00244468527255698,"2203/229/5207",3
"23","Liver epithelial cells 4-NML","GO:0009176","pyrimidine deoxyribonucleoside monophosphate metabolic process","3/93","13/18800",3.23343663470762e-05,0.00280324897809,0.00244468527255698,"1807/1806/51733",3
"24","Liver epithelial cells 4-NML","GO:0009158","ribonucleoside monophosphate catabolic process","3/93","14/18800",4.10053439740713e-05,0.00327058623537193,0.00285224539979645,"1807/1806/51733",3
"25","Liver epithelial cells 4-NML","GO:0009159","deoxyribonucleoside monophosphate catabolic process","3/93","14/18800",4.10053439740713e-05,0.00327058623537193,0.00285224539979645,"1807/1806/51733",3
"26","Liver epithelial cells 4-NML","GO:0019432","triglyceride biosynthetic process","4/93","40/18800",4.47449757123482e-05,0.00343159544501624,0.00299265991404045,"2180/3949/718/57678",4
"27","Liver epithelial cells 4-NML","GO:0009173","pyrimidine ribonucleoside monophosphate metabolic process","3/93","15/18800",5.10730201158799e-05,0.00363712864682373,0.00317190335456517,"1807/1806/51733",3
"28","Liver epithelial cells 4-NML","GO:0046049","UMP metabolic process","3/93","15/18800",5.10730201158799e-05,0.00363712864682373,0.00317190335456517,"1807/1806/51733",3
"29","Liver epithelial cells 4-NML","GO:0009261","ribonucleotide catabolic process","4/93","46/18800",7.81053977582618e-05,0.00537041941827497,0.00468348882383479,"1807/1806/51733/5142",4
"30","Liver epithelial cells 4-NML","GO:0009125","nucleoside monophosphate catabolic process","3/93","18/18800",9.06140179286408e-05,0.00575962469658558,0.00502291083712156,"1807/1806/51733",3
"31","Liver epithelial cells 4-NML","GO:0046460","neutral lipid biosynthetic process","4/93","48/18800",9.24312890124065e-05,0.00575962469658558,0.00502291083712156,"2180/3949/718/57678",4
"32","Liver epithelial cells 4-NML","GO:0046463","acylglycerol biosynthetic process","4/93","48/18800",9.24312890124065e-05,0.00575962469658558,0.00502291083712156,"2180/3949/718/57678",4
"33","Liver epithelial cells 4-NML","GO:0009223","pyrimidine deoxyribonucleotide catabolic process","3/93","19/18800",0.000107218895873906,0.00647862055674451,0.00564993990378606,"1807/1806/51733",3
