"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Epithelial-like-FLC","GO:0043114","regulation of vascular permeability","5/85","48/18800",2.46501962595115e-06,0.00524802678364999,0.00455639417175812,"5139/9590/348/624/7122",5
"2","Epithelial-like-FLC","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","3/85","12/18800",1.90543672970918e-05,0.0175215011098451,0.0152123586308808,"1284/1287/1282",3
"3","Epithelial-like-FLC","GO:0009214","cyclic nucleotide catabolic process","3/85","13/18800",2.46897620148123e-05,0.0175215011098451,0.0152123586308808,"10846/27115/5144",3
"4","Epithelial-like-FLC","GO:0019935","cyclic-nucleotide-mediated signaling","5/85","83/18800",3.69259620297759e-05,0.0196538432903482,0.017063681401128,"5139/10846/348/27115/5144",5
"5","Epithelial-like-FLC","GO:0038065","collagen-activated signaling pathway","3/85","17/18800",5.79399880826079e-05,0.0205590391046454,0.0178495822935192,"1284/1287/1282",3
"6","Epithelial-like-FLC","GO:0055119","relaxation of cardiac muscle","3/85","17/18800",5.79399880826079e-05,0.0205590391046454,0.0178495822935192,"2934/481/5144",3
"7","Epithelial-like-FLC","GO:0043116","negative regulation of vascular permeability","3/85","18/18800",6.93010698528001e-05,0.0210774253880874,0.0182996509265439,"5139/9590/7122",3
"8","Epithelial-like-FLC","GO:0050808","synapse organization","9/85","419/18800",0.000114823173534883,0.0305370708447753,0.0265126184289265,"5063/348/158038/783/4983/1946/22871/1287/1282",9
"9","Epithelial-like-FLC","GO:0046058","cAMP metabolic process","3/85","22/18800",0.000129090482669318,0.0305370708447753,0.0265126184289265,"10846/27115/5144",3
"10","Epithelial-like-FLC","GO:0003018","vascular process in circulatory system","7/85","263/18800",0.000188679911494789,0.0401699531572407,0.0348759920615632,"5139/1373/9590/348/624/3953/7122",7
"11","Epithelial-like-NML","GO:0006953","acute-phase response","5/93","48/18800",3.84649573774351e-06,0.00841613267418281,0.00719092255813945,"6288/6289/3929/197/5345",5
"12","Epithelial-like-NML","GO:0002526","acute inflammatory response","6/93","113/18800",2.0558515539107e-05,0.0224910159997831,0.0192168018933969,"2131/6288/6289/3929/197/5345",6
