"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Erythroid-NML","GO:0019321","pentose metabolic process","1/4","12/18800",0.00255095133185945,0.0325725049728672,0.00927761751549159,"9942",1
"2","Erythroid-NML","GO:0006287","base-excision repair, gap-filling","1/4","14/18800",0.00297563492134123,0.0325725049728672,0.00927761751549159,"11284",1
"3","Erythroid-NML","GO:0006266","DNA ligation","1/4","16/18800",0.00340018288333033,0.0325725049728672,0.00927761751549159,"11284",1
"4","Erythroid-NML","GO:2001034","positive regulation of double-strand break repair via nonhomologous end joining","1/4","16/18800",0.00340018288333033,0.0325725049728672,0.00927761751549159,"11284",1
"5","Erythroid-NML","GO:1904355","positive regulation of telomere capping","1/4","17/18800",0.00361240601304003,0.0325725049728672,0.00927761751549159,"11284",1
"6","Erythroid-NML","GO:1900363","regulation of mRNA polyadenylation","1/4","18/18800",0.00382459524670609,0.0325725049728672,0.00927761751549159,"6829",1
"7","Erythroid-NML","GO:0032785","negative regulation of DNA-templated transcription, elongation","1/4","19/18800",0.00403675058793762,0.0325725049728672,0.00927761751549159,"6829",1
"8","Erythroid-NML","GO:0006397","mRNA processing","2/4","500/18800",0.00408760398542513,0.0325725049728672,0.00927761751549159,"6829/51759",2
"9","Erythroid-NML","GO:0006063","uronic acid metabolic process","1/4","22/18800",0.00467301329311798,0.0325725049728672,0.00927761751549159,"9942",1
"10","Erythroid-NML","GO:0019585","glucuronate metabolic process","1/4","22/18800",0.00467301329311798,0.0325725049728672,0.00927761751549159,"9942",1
"11","Erythroid-NML","GO:0046835","carbohydrate phosphorylation","1/4","25/18800",0.00530897109631057,0.0325725049728672,0.00927761751549159,"9942",1
"12","Erythroid-NML","GO:1904353","regulation of telomere capping","1/4","26/18800",0.00552088929154981,0.0325725049728672,0.00927761751549159,"11284",1
"13","Erythroid-NML","GO:0031440","regulation of mRNA 3'-end processing","1/4","28/18800",0.00594462409493812,0.0325725049728672,0.00927761751549159,"6829",1
"14","Erythroid-NML","GO:0050686","negative regulation of mRNA processing","1/4","29/18800",0.00615644071030252,0.0325725049728672,0.00927761751549159,"6829",1
"15","Erythroid-NML","GO:2001032","regulation of double-strand break repair via nonhomologous end joining","1/4","29/18800",0.00615644071030252,0.0325725049728672,0.00927761751549159,"11284",1
"16","Erythroid-NML","GO:0032786","positive regulation of DNA-templated transcription, elongation","1/4","30/18800",0.00636822347292354,0.0325725049728672,0.00927761751549159,"6829",1
"17","Erythroid-NML","GO:0032212","positive regulation of telomere maintenance via telomerase","1/4","34/18800",0.00721501606811292,0.0325725049728672,0.00927761751549159,"11284",1
"18","Erythroid-NML","GO:0051973","positive regulation of telomerase activity","1/4","34/18800",0.00721501606811292,0.0325725049728672,0.00927761751549159,"11284",1
"19","Erythroid-NML","GO:0006471","protein ADP-ribosylation","1/4","35/18800",0.00742662962112006,0.0325725049728672,0.00927761751549159,"11284",1
"20","Erythroid-NML","GO:1904358","positive regulation of telomere maintenance via telomere lengthening","1/4","37/18800",0.00784975523742903,0.0325725049728672,0.00927761751549159,"11284",1
"21","Erythroid-NML","GO:0046365","monosaccharide catabolic process","1/4","39/18800",0.00827274555817015,0.0325725049728672,0.00927761751549159,"9942",1
"22","Erythroid-NML","GO:0016233","telomere capping","1/4","40/18800",0.00848418999171663,0.0325725049728672,0.00927761751549159,"11284",1
"23","Erythroid-NML","GO:0006284","base-excision repair","1/4","43/18800",0.00911832042832217,0.0325725049728672,0.00927761751549159,"11284",1
"24","Erythroid-NML","GO:0006378","mRNA polyadenylation","1/4","45/18800",0.00954090503541094,0.0325725049728672,0.00927761751549159,"6829",1
"25","Erythroid-NML","GO:0043631","RNA polyadenylation","1/4","46/18800",0.00975214664457391,0.0325725049728672,0.00927761751549159,"6829",1
"26","Erythroid-NML","GO:0051972","regulation of telomerase activity","1/4","47/18800",0.0099633544622888,0.0325725049728672,0.00927761751549159,"11284",1
"27","Erythroid-NML","GO:0032206","positive regulation of telomere maintenance","1/4","52/18800",0.011018886805261,0.0338718019079504,0.00964769589947812,"11284",1
"28","Erythroid-NML","GO:0032210","regulation of telomere maintenance via telomerase","1/4","53/18800",0.011229891949958,0.0338718019079504,0.00964769589947812,"11284",1
"29","Erythroid-NML","GO:0032784","regulation of DNA-templated transcription elongation","1/4","57/18800",0.0120735749025125,0.0338718019079504,0.00964769589947812,"6829",1
"30","Erythroid-NML","GO:0006289","nucleotide-excision repair","1/4","58/18800",0.0122844112521037,0.0338718019079504,0.00964769589947812,"11284",1
"31","Erythroid-NML","GO:1904356","regulation of telomere maintenance via telomere lengthening","1/4","61/18800",0.0129167178259925,0.0338718019079504,0.00964769589947812,"11284",1
"32","Erythroid-NML","GO:0006368","transcription elongation by RNA polymerase II promoter","1/4","63/18800",0.0133380868488604,0.0338718019079504,0.00964769589947812,"6829",1
"33","Erythroid-NML","GO:0031124","mRNA 3'-end processing","1/4","63/18800",0.0133380868488604,0.0338718019079504,0.00964769589947812,"6829",1
"34","Erythroid-NML","GO:2000781","positive regulation of double-strand break repair","1/4","64/18800",0.0135487207631801,0.0338718019079504,0.00964769589947812,"11284",1
"35","Erythroid-NML","GO:0006303","double-strand break repair via nonhomologous end joining","1/4","66/18800",0.0139698874155931,0.033926869437869,0.00966338076868096,"11284",1
"36","Erythroid-NML","GO:0007004","telomere maintenance via telomerase","1/4","69/18800",0.0146013845076498,0.0344754911986176,0.00981964455192823,"11284",1
"37","Erythroid-NML","GO:0016239","positive regulation of macroautophagy","1/4","73/18800",0.0154429087266642,0.0345433484675384,0.00983897231892733,"6829",1
"38","Erythroid-NML","GO:2000573","positive regulation of DNA biosynthetic process","1/4","73/18800",0.0154429087266642,0.0345433484675384,0.00983897231892733,"11284",1
"39","Erythroid-NML","GO:0006278","RNA-templated DNA biosynthetic process","1/4","75/18800",0.0158634686565018,0.0345742265590424,0.00984776731712662,"11284",1
"40","Erythroid-NML","GO:0032204","regulation of telomere maintenance","1/4","80/18800",0.0169142790212965,0.0346564025282607,0.00987117347554174,"11284",1
"41","Erythroid-NML","GO:0006354","DNA-templated transcription elongation","1/4","81/18800",0.0171243400727876,0.0346564025282607,0.00987117347554174,"6829",1
"42","Erythroid-NML","GO:0010833","telomere maintenance via telomere lengthening","1/4","81/18800",0.0171243400727876,0.0346564025282607,0.00987117347554174,"11284",1
"43","Erythroid-NML","GO:2001252","positive regulation of chromosome organization","1/4","89/18800",0.0188036168314276,0.0371699402481709,0.0105871037239372,"11284",1
"44","Erythroid-NML","GO:0045739","positive regulation of DNA repair","1/4","94/18800",0.0198520714973456,0.0374983572727639,0.0106806466535427,"11284",1
"45","Erythroid-NML","GO:1903312","negative regulation of mRNA metabolic process","1/4","94/18800",0.0198520714973456,0.0374983572727639,0.0106806466535427,"6829",1
"46","Erythroid-NML","GO:0046939","nucleotide phosphorylation","1/4","100/18800",0.0211091077195047,0.0390059599164761,0.0111100566944762,"11284",1
"47","Erythroid-NML","GO:2000779","regulation of double-strand break repair","1/4","110/18800",0.0232014807037044,0.0419601246769123,0.0119514906200493,"11284",1
"48","Erythroid-NML","GO:0031123","RNA 3'-end processing","1/4","117/18800",0.0246641446880616,0.0435091526213568,0.0123926998178478,"6829",1
"49","Erythroid-NML","GO:2000278","regulation of DNA biosynthetic process","1/4","119/18800",0.0250817468052528,0.0435091526213568,0.0123926998178478,"11284",1
"50","Erythroid-NML","GO:0072329","monocarboxylic acid catabolic process","1/4","124/18800",0.0261251654057718,0.0444127811898121,0.0126500800912158,"9942",1
"51","Erythroid-NML","GO:2001022","positive regulation of response to DNA damage stimulus","1/4","129/18800",0.0271677462331343,0.0452795770552239,0.012896969316039,"11284",1
"52","Erythroid-NML","GO:0000723","telomere maintenance","1/4","132/18800",0.0277928927850422,0.0454306901293958,0.0129400108108496,"11284",1
"53","Erythroid-NML","GO:0010508","positive regulation of autophagy","1/4","136/18800",0.0286259527865719,0.0459095469218606,0.0130764034576197,"6829",1
"54","Erythroid-NML","GO:0050684","regulation of mRNA processing","1/4","139/18800",0.0292503963625047,0.0460422905706093,0.0131142127941054,"6829",1
"55","Erythroid-NML","GO:0006282","regulation of DNA repair","1/4","152/18800",0.0319528402280426,0.0484998467747075,0.0138141978429507,"11284",1
"56","Erythroid-NML","GO:0016052","carbohydrate catabolic process","1/4","152/18800",0.0319528402280426,0.0484998467747075,0.0138141978429507,"9942",1
"57","Erythroid-NML","GO:0016241","regulation of macroautophagy","1/4","158/18800",0.0331982171363028,0.0489565751915818,0.0139442876706673,"6829",1
"58","Erythroid-NML","GO:0006261","DNA-templated DNA replication","1/4","159/18800",0.0334056630719028,0.0489565751915818,0.0139442876706673,"11284",1
"59","Erythroid-NML","GO:0032200","telomere organization","1/4","162/18800",0.034027800580449,0.0490231025311553,0.0139632366342609,"11284",1
