"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Lymphocyte 2-FLC","GO:0002181","cytoplasmic translation","19/70","146/18800",1.1113124952782e-24,1.9114574918785e-21,1.43768742810201e-21,"6176/6137/6170/6234/6222/6128/6171/6223/6187/6158/6164/6206/6156/6168/6229/6228/6167/6208/6134",19
"2","Lymphocyte 2-FLC","GO:0003018","vascular process in circulatory system","10/70","263/18800",4.59086903481757e-08,1.90115827751438e-05,1.42994095658824e-05,"9590/183/2243/2244/2266/5139/1373/348/3672/1401",10
"3","Lymphocyte 2-FLC","GO:0035296","regulation of tube diameter","8/70","141/18800",5.23062322605781e-08,1.90115827751438e-05,1.42994095658824e-05,"183/2243/2244/2266/1373/348/3672/1401",8
"4","Lymphocyte 2-FLC","GO:0097746","blood vessel diameter maintenance","8/70","141/18800",5.23062322605781e-08,1.90115827751438e-05,1.42994095658824e-05,"183/2243/2244/2266/1373/348/3672/1401",8
"5","Lymphocyte 2-FLC","GO:0035150","regulation of tube size","8/70","142/18800",5.52662289975112e-08,1.90115827751438e-05,1.42994095658824e-05,"183/2243/2244/2266/1373/348/3672/1401",8
"6","Lymphocyte 2-FLC","GO:0034368","protein-lipid complex remodeling","5/70","30/18800",8.20404505101905e-08,2.01585106967897e-05,1.51620622070713e-05,"183/344/5320/348/341",5
"7","Lymphocyte 2-FLC","GO:0034369","plasma lipoprotein particle remodeling","5/70","30/18800",8.20404505101905e-08,2.01585106967897e-05,1.51620622070713e-05,"183/344/5320/348/341",5
"8","Lymphocyte 2-FLC","GO:0034367","protein-containing complex remodeling","5/70","32/18800",1.15265185034774e-07,2.47820147824765e-05,1.86395937378602e-05,"183/344/5320/348/341",5
"9","Lymphocyte 2-FLC","GO:0019730","antimicrobial humoral response","7/70","122/18800",3.48183267497579e-07,6.65416911217595e-05,5.00487995034531e-05,"6170/2597/6223/6156/2243/2244/3105",7
"10","Lymphocyte 2-FLC","GO:0071827","plasma lipoprotein particle organization","5/70","45/18800",6.73599657761487e-07,0.000115859141134976,8.71425241461966e-05,"183/344/5320/348/341",5
"11","Lymphocyte 2-FLC","GO:0030195","negative regulation of blood coagulation","5/70","48/18800",9.35928768921649e-07,0.000134149790212103,0.000100899689210939,"2243/2244/2266/7448/348",5
"12","Lymphocyte 2-FLC","GO:0071825","protein-lipid complex subunit organization","5/70","48/18800",9.35928768921649e-07,0.000134149790212103,0.000100899689210939,"183/344/5320/348/341",5
