"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Cholangiocyte-FLC","R-HSA-446107","Type I hemidesmosome assembly","4/74","11/10891",6.25110113701709e-07,0.000191283694792723,0.000156606533748428,"3655/5339/3691/3914",4
"2","Cholangiocyte-FLC","R-HSA-1474244","Extracellular matrix organization","11/74","300/10891",5.14188126917061e-06,0.000786707834183104,0.000644088285296108,"960/3655/5339/388743/3691/2243/2266/824/3673/3914/2244",11
"3","Cholangiocyte-FLC","R-HSA-977068","Termination of O-glycan biosynthesis","4/74","24/10891",1.88256612954108e-05,0.00175318096394685,0.00143535283597988,"56667/727897/4588/6482",4
"4","Cholangiocyte-FLC","R-HSA-216083","Integrin cell surface interactions","6/74","85/10891",2.29173982215275e-05,0.00175318096394685,0.00143535283597988,"960/3655/2243/2266/3673/2244",6
"5","Cholangiocyte-FLC","R-HSA-3000157","Laminin interactions","4/74","30/10891",4.70777166410378e-05,0.00288115625843151,0.002358841381172,"3655/3691/3673/3914",4
"6","Cholangiocyte-FLC","R-HSA-6802952","Signaling by BRAF and RAF1 fusions","5/74","67/10891",8.78841233799586e-05,0.00448209029237789,0.00366954760779476,"2243/2266/4000/2244/57670",5
"7","Cholangiocyte-FLC","R-HSA-354194","GRB2:SOS provides linkage to MAPK signaling for Integrins ","3/74","15/10891",0.000129211233146363,0.00458707381443163,0.00375549902935923,"2243/2266/2244",3
"8","Cholangiocyte-FLC","R-HSA-372708","p130Cas linkage to MAPK signaling for integrins","3/74","15/10891",0.000129211233146363,0.00458707381443163,0.00375549902935923,"2243/2266/2244",3
"9","Cholangiocyte-FLC","R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","4/74","39/10891",0.000134913935718577,0.00458707381443163,0.00375549902935923,"2243/2266/2152/2244",4
"10","Cholangiocyte-FLC","R-HSA-5083625","Defective GALNT3 causes HFTC","3/74","17/10891",0.000191228696767384,0.0048763317675683,0.00399231840619627,"56667/727897/4588",3
"11","Cholangiocyte-FLC","R-HSA-5083636","Defective GALNT12 causes CRCS1","3/74","17/10891",0.000191228696767384,0.0048763317675683,0.00399231840619627,"56667/727897/4588",3
"12","Cholangiocyte-FLC","R-HSA-5602498","MyD88 deficiency (TLR2/4)","3/74","17/10891",0.000191228696767384,0.0048763317675683,0.00399231840619627,"2243/2266/2244",3
"13","Cholangiocyte-FLC","R-HSA-5083632","Defective C1GALT1C1 causes TNPS","3/74","18/10891",0.000228356187390721,0.00499121381011147,0.00408637387962342,"56667/727897/4588",3
"14","Cholangiocyte-FLC","R-HSA-5603041","IRAK4 deficiency (TLR2/4)","3/74","18/10891",0.000228356187390721,0.00499121381011147,0.00408637387962342,"2243/2266/2244",3
"15","Cholangiocyte-FLC","R-HSA-6802957","Oncogenic MAPK signaling","5/74","84/10891",0.00025687671712705,0.00524028502939181,0.00429029183692897,"2243/2266/4000/2244/57670",5
"16","Cholangiocyte-FLC","R-HSA-5686938","Regulation of TLR by endogenous ligand","3/74","21/10891",0.000366786233016144,0.0067132849053699,0.00549625664767126,"2243/2266/2244",3
"17","Cholangiocyte-FLC","R-HSA-446728","Cell junction organization","5/74","91/10891",0.00037296027252055,0.0067132849053699,0.00549625664767126,"3655/5339/3691/1009/3914",5
"18","Cholangiocyte-FLC","R-HSA-140875","Common Pathway of Fibrin Clot Formation","3/74","22/10891",0.000422632422757784,0.00718475118688233,0.00588225243370483,"2243/2266/2244",3
"19","Cholangiocyte-FLC","R-HSA-3000171","Non-integrin membrane-ECM interactions","4/74","59/10891",0.000673822725986945,0.0104225385076855,0.0085330724624326,"3655/3691/3673/3914",4
"20","Cholangiocyte-FLC","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","4/74","61/10891",0.00076475322693816,0.0104225385076855,0.0085330724624326,"3655/5339/3691/3914",4
"21","Cholangiocyte-FLC","R-HSA-3000170","Syndecan interactions","3/74","27/10891",0.000783393417244337,0.0104225385076855,0.0085330724624326,"3655/3691/3673",3
"22","Cholangiocyte-FLC","R-HSA-354192","Integrin signaling","3/74","27/10891",0.000783393417244337,0.0104225385076855,0.0085330724624326,"2243/2266/2244",3
"23","Cholangiocyte-FLC","R-HSA-5621480","Dectin-2 family","3/74","27/10891",0.000783393417244337,0.0104225385076855,0.0085330724624326,"56667/727897/4588",3
"24","Cholangiocyte-FLC","R-HSA-913709","O-linked glycosylation of mucins","4/74","63/10891",0.000864037163807625,0.0110164738385472,0.00901933530641293,"56667/727897/4588/6482",4
"25","Cholangiocyte-FLC","R-HSA-5173105","O-linked glycosylation","5/74","111/10891",0.000925344857804606,0.0113262210595284,0.0092729295224209,"56667/727897/4588/79875/6482",5
"26","Cholangiocyte-FLC","R-HSA-3906995","Diseases associated with O-glycosylation of proteins","4/74","68/10891",0.00115149879694983,0.0129028866579731,0.0105637668544809,"56667/727897/4588/79875",4
"27","Cholangiocyte-FLC","R-HSA-5260271","Diseases of Immune System","3/74","31/10891",0.00118065629550081,0.0129028866579731,0.0105637668544809,"2243/2266/2244",3
"28","Cholangiocyte-FLC","R-HSA-5602358","Diseases associated with the TLR signaling cascade","3/74","31/10891",0.00118065629550081,0.0129028866579731,0.0105637668544809,"2243/2266/2244",3
"29","Cholangiocyte-FLC","R-HSA-1500931","Cell-Cell communication","5/74","129/10891",0.00180819206870424,0.0186693708558386,0.015284865028172,"3655/5339/3691/1009/3914",5
"30","Cholangiocyte-FLC","R-HSA-6802948","Signaling by high-kinase activity BRAF mutants","3/74","36/10891",0.00183033047606261,0.0186693708558386,0.015284865028172,"2243/2266/2244",3
"31","Cholangiocyte-FLC","R-HSA-76009","Platelet Aggregation (Plug Formation)","3/74","39/10891",0.00230886942066686,0.0227907755717439,0.0186591145031821,"2243/2266/2244",3
"32","Cholangiocyte-FLC","R-HSA-5674135","MAP2K and MAPK activation","3/74","40/10891",0.0024839828441476,0.0237530859471615,0.0194469709508924,"2243/2266/2244",3
"33","Cholangiocyte-FLC","R-HSA-9656223","Signaling by RAF1 mutants","3/74","43/10891",0.00305786519717832,0.028354750010199,0.0232144152130284,"2243/2266/2244",3
"34","Cholangiocyte-FLC","R-HSA-1474290","Collagen formation","4/74","90/10891",0.00322952964655432,0.0290657668189889,0.0237965342377687,"3655/5339/3691/3914",4
"35","Cholangiocyte-FLC","R-HSA-6802946","Signaling by moderate kinase activity BRAF mutants","3/74","47/10891",0.00394059260097743,0.0317321404183972,0.0259795301671088,"2243/2266/2244",3
"36","Cholangiocyte-FLC","R-HSA-6802949","Signaling by RAS mutants","3/74","47/10891",0.00394059260097743,0.0317321404183972,0.0259795301671088,"2243/2266/2244",3
"37","Cholangiocyte-FLC","R-HSA-6802955","Paradoxical activation of RAF signaling by kinase inactive BRAF","3/74","47/10891",0.00394059260097743,0.0317321404183972,0.0259795301671088,"2243/2266/2244",3
