"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Endothelial-FLC","R-HSA-156902","Peptide chain elongation","22/78","89/10891",7.18977774598874e-29,2.15693332379662e-26,1.58931929121856e-26,"1915/6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",22
"2","Endothelial-FLC","R-HSA-156842","Eukaryotic Translation Elongation","22/78","93/10891",2.11800390025843e-28,3.17700585038764e-26,2.340951679233e-26,"1915/6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",22
"3","Endothelial-FLC","R-HSA-192823","Viral mRNA Translation","21/78","89/10891",4.39072609837109e-27,4.39072609837109e-25,3.23527186195765e-25,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"4","Endothelial-FLC","R-HSA-2408557","Selenocysteine synthesis","21/78","93/10891",1.2212051942783e-26,7.32723116566982e-25,5.39901243786197e-25,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"5","Endothelial-FLC","R-HSA-72764","Eukaryotic Translation Termination","21/78","93/10891",1.2212051942783e-26,7.32723116566982e-25,5.39901243786197e-25,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"6","Endothelial-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","21/78","95/10891",1.99849146225665e-26,9.99245731128324e-25,7.36286328199818e-25,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"7","Endothelial-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","21/78","101/10891",8.17705431699805e-26,3.06639536887427e-24,2.25944921917051e-24,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"8","Endothelial-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","21/78","101/10891",8.17705431699805e-26,3.06639536887427e-24,2.25944921917051e-24,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"9","Endothelial-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","21/78","111/10891",7.00434984721268e-25,2.33478328240423e-23,1.72036662913996e-23,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"10","Endothelial-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","21/78","112/10891",8.57728545651519e-25,2.33925966995869e-23,1.72366501996956e-23,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"11","Endothelial-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","21/78","112/10891",8.57728545651519e-25,2.33925966995869e-23,1.72366501996956e-23,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"12","Endothelial-FLC","R-HSA-927802","Nonsense-Mediated Decay (NMD)","21/78","115/10891",1.55613602598285e-24,3.5910831368835e-23,2.64606125875627e-23,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"13","Endothelial-FLC","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","21/78","115/10891",1.55613602598285e-24,3.5910831368835e-23,2.64606125875627e-23,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"14","Endothelial-FLC","R-HSA-2408522","Selenoamino acid metabolism","21/78","118/10891",2.77472849721994e-24,5.94584677975701e-23,4.38115025876832e-23,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"15","Endothelial-FLC","R-HSA-72613","Eukaryotic Translation Initiation","21/78","119/10891",3.35232093650181e-24,6.28560175594089e-23,4.63149603069329e-23,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"16","Endothelial-FLC","R-HSA-72737","Cap-dependent Translation Initiation","21/78","119/10891",3.35232093650181e-24,6.28560175594089e-23,4.63149603069329e-23,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"17","Endothelial-FLC","R-HSA-168273","Influenza Viral RNA Transcription and Replication","21/78","135/10891",5.53009026960938e-23,9.75898282872244e-22,7.19082945274285e-22,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
"18","Endothelial-FLC","R-HSA-168255","Influenza Infection","21/78","156/10891",1.30524152603538e-21,2.06090767268744e-20,1.51856354829601e-20,"6134/6137/6167/6170/6171/6176/6206/6208/6222/6187/6228/6234/6164/6143/6154/6132/6168/6128/6229/6156/6209",21
