"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Epithelial 1-FLC","R-HSA-8963888","Chylomicron assembly","3/70","10/10891",2.95461410959589e-05,0.00434328274110596,0.00377879594016738,"337/344/348",3
"2","Epithelial 1-FLC","R-HSA-8963901","Chylomicron remodeling","3/70","10/10891",2.95461410959589e-05,0.00434328274110596,0.00377879594016738,"337/344/348",3
"3","Epithelial 1-FLC","R-HSA-8963899","Plasma lipoprotein remodeling","4/70","33/10891",5.56308674946705e-05,0.00545182501447771,0.00474326343901927,"51129/337/344/348",4
"4","Epithelial 1-FLC","R-HSA-419037","NCAM1 interactions","4/70","42/10891",0.000145682299230113,0.00961300517781528,0.0083636242685611,"775/783/1282/1284",4
"5","Epithelial 1-FLC","R-HSA-3000480","Scavenging by Class A Receptors","3/70","19/10891",0.000228881075662269,0.00961300517781528,0.0083636242685611,"348/1282/1284",3
"6","Epithelial 1-FLC","R-HSA-8963889","Assembly of active LPL and LIPC lipase complexes","3/70","19/10891",0.000228881075662269,0.00961300517781528,0.0083636242685611,"51129/337/344",3
"7","Epithelial 1-FLC","R-HSA-8963898","Plasma lipoprotein assembly","3/70","19/10891",0.000228881075662269,0.00961300517781528,0.0083636242685611,"337/344/348",3
"8","Epithelial 1-FLC","R-HSA-375165","NCAM signaling for neurite out-growth","4/70","63/10891",0.000700499933908139,0.0257433725711241,0.0223975636762734,"775/783/1282/1284",4
"9","Epithelial 1-FLC","R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","4/70","74/10891",0.00128326744882368,0.0419200699949067,0.0364718117034097,"51129/337/344/348",4
"10","Epithelial 1-NML","R-HSA-977606","Regulation of Complement cascade","7/77","47/10891",3.35311546049061e-08,1.02605333091013e-05,8.54162043619713e-06,"715/718/722/725/729/731/732",7
"11","Epithelial 1-NML","R-HSA-166658","Complement cascade","7/77","58/10891",1.50662687892373e-07,2.3051391247533e-05,1.9189668668397e-05,"715/718/722/725/729/731/732",7
"12","Epithelial 1-NML","R-HSA-8980692","RHOA GTPase cycle","7/77","147/10891",7.72483152087294e-05,0.00651154625948292,0.00542068866458503,"5825/116984/9411/9743/143872/55160/613",7
"13","Epithelial 1-NML","R-HSA-382556","ABC-family proteins mediated transport","6/77","103/10891",8.51182517579467e-05,0.00651154625948292,0.00542068866458503,"23460/10351/10350/5244/1244/5825",6
"14","Epithelial 1-NML","R-HSA-9013148","CDC42 GTPase cycle","7/77","155/10891",0.000107826919258804,0.0065990074586388,0.00549349778118538,"116984/9411/9743/143872/26084/10458/613",7
"15","Epithelial 1-NML","R-HSA-1369062","ABC transporters in lipid homeostasis","3/77","18/10891",0.000256888142527829,0.0131012952689193,0.0109064790336376,"23460/10350/5825",3
"16","Epithelial 1-NML","R-HSA-9013423","RAC3 GTPase cycle","5/77","94/10891",0.000520798256144929,0.0227663237686212,0.018952357592041,"116984/9743/143872/10458/613",5
"17","Epithelial 1-NML","R-HSA-193368","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol","3/77","24/10891",0.000618032856523414,0.0236397567620206,0.0196794672735087,"8647/1645/1109",3
"18","Epithelial 1-NML","R-HSA-189445","Metabolism of porphyrins","3/77","27/10891",0.000879647857310093,0.0299080271485432,0.0248976352595371,"1244/9429/211",3
"19","Epithelial 1-NML","R-HSA-192105","Synthesis of bile acids and bile salts","3/77","34/10891",0.00173681766968811,0.0493272067337039,0.0410635845529974,"8647/1645/1109",3
"20","Epithelial 1-NML","R-HSA-9013106","RHOC GTPase cycle","4/77","74/10891",0.00182754660932043,0.0493272067337039,0.0410635845529974,"5825/9743/55160/613",4
"21","Epithelial 1-NML","R-HSA-9013149","RAC1 GTPase cycle","6/77","185/10891",0.00193440026406682,0.0493272067337039,0.0410635845529974,"116984/9411/9743/143872/10458/613",6
