"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Lymphocyte 2-FLC","R-HSA-156902","Peptide chain elongation","20/65","89/10891",3.83987121196027e-27,1.01756587116947e-24,6.83092878759248e-25,"6176/6137/6170/6234/1915/6222/6128/6171/6223/6187/6158/6164/6206/6156/6168/6229/6228/6167/6208/6134",20
"2","Lymphocyte 2-FLC","R-HSA-156842","Eukaryotic Translation Elongation","20/65","93/10891",1.0138160998769e-26,1.3433063323369e-24,9.01762741469455e-25,"6176/6137/6170/6234/1915/6222/6128/6171/6223/6187/6158/6164/6206/6156/6168/6229/6228/6167/6208/6134",20
"3","Lymphocyte 2-FLC","R-HSA-192823","Viral mRNA Translation","19/65","89/10891",2.56873584984956e-25,2.26905000070044e-23,1.52321529341956e-23,"6176/6137/6170/6234/6222/6128/6171/6223/6187/6158/6164/6206/6156/6168/6229/6228/6167/6208/6134",19
"4","Lymphocyte 2-FLC","R-HSA-2408557","Selenocysteine synthesis","19/65","93/10891",6.41347030627708e-25,3.39913926232685e-23,2.28184522475963e-23,"6176/6137/6170/6234/6222/6128/6171/6223/6187/6158/6164/6206/6156/6168/6229/6228/6167/6208/6134",19
"5","Lymphocyte 2-FLC","R-HSA-72764","Eukaryotic Translation Termination","19/65","93/10891",6.41347030627708e-25,3.39913926232685e-23,2.28184522475963e-23,"6176/6137/6170/6234/6222/6128/6171/6223/6187/6158/6164/6206/6156/6168/6229/6228/6167/6208/6134",19
"6","Lymphocyte 2-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","19/65","95/10891",9.96669265779281e-25,4.40195592385849e-23,2.95503694590699e-23,"6176/6137/6170/6234/6222/6128/6171/6223/6187/6158/6164/6206/6156/6168/6229/6228/6167/6208/6134",19
"7","Lymphocyte 2-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","19/65","101/10891",3.52059642499712e-24,1.1661975657803e-22,7.8286946819015e-23,"6176/6137/6170/6234/6222/6128/6171/6223/6187/6158/6164/6206/6156/6168/6229/6228/6167/6208/6134",19
"8","Lymphocyte 2-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","19/65","101/10891",3.52059642499712e-24,1.1661975657803e-22,7.8286946819015e-23,"6176/6137/6170/6234/6222/6128/6171/6223/6187/6158/6164/6206/6156/6168/6229/6228/6167/6208/6134",19
"9","Lymphocyte 2-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","19/65","111/10891",2.41648380499419e-23,6.98249198599381e-22,4.68735311075652e-22,"6176/6137/6170/6234/6222/6128/6171/6223/6187/6158/6164/6206/6156/6168/6229/6228/6167/6208/6134",19
"10","Lymphocyte 2-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","19/65","112/10891",2.89839289984649e-23,6.98249198599381e-22,4.68735311075652e-22,"6176/6137/6170/6234/6222/6128/6171/6223/6187/6158/6164/6206/6156/6168/6229/6228/6167/6208/6134",19
"11","Lymphocyte 2-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","19/65","112/10891",2.89839289984649e-23,6.98249198599381e-22,4.68735311075652e-22,"6176/6137/6170/6234/6222/6128/6171/6223/6187/6158/6164/6206/6156/6168/6229/6228/6167/6208/6134",19
