"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Macrophages-FLC","R-HSA-156902","Peptide chain elongation","17/79","89/10891",3.46246073498054e-20,1.14261204254358e-17,8.23701185374319e-18,"6176/6170/6222/6171/1915/6137/6187/6168/6208/6234/6167/6154/6134/6217/6206/23521/6128",17
"2","Macrophages-FLC","R-HSA-156842","Eukaryotic Translation Elongation","17/79","93/10891",7.7104849279121e-20,1.2722300131055e-17,9.17141891425334e-18,"6176/6170/6222/6171/1915/6137/6187/6168/6208/6234/6167/6154/6134/6217/6206/23521/6128",17
"3","Macrophages-FLC","R-HSA-192823","Viral mRNA Translation","16/79","89/10891",1.37754145515617e-18,1.51529560067179e-16,1.09236620654489e-16,"6176/6170/6222/6171/6137/6187/6168/6208/6234/6167/6154/6134/6217/6206/23521/6128",16
"4","Macrophages-FLC","R-HSA-2408557","Selenocysteine synthesis","16/79","93/10891",2.90747842954355e-18,1.91893576349874e-16,1.38334763174072e-16,"6176/6170/6222/6171/6137/6187/6168/6208/6234/6167/6154/6134/6217/6206/23521/6128",16
"5","Macrophages-FLC","R-HSA-72764","Eukaryotic Translation Termination","16/79","93/10891",2.90747842954355e-18,1.91893576349874e-16,1.38334763174072e-16,"6176/6170/6222/6171/6137/6187/6168/6208/6234/6167/6154/6134/6217/6206/23521/6128",16
"6","Macrophages-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","16/79","95/10891",4.16747043140834e-18,2.29210873727458e-16,1.65236546929523e-16,"6176/6170/6222/6171/6137/6187/6168/6208/6234/6167/6154/6134/6217/6206/23521/6128",16
"7","Macrophages-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","16/79","101/10891",1.16844401711158e-17,4.81983157058527e-16,3.47458352456865e-16,"6176/6170/6222/6171/6137/6187/6168/6208/6234/6167/6154/6134/6217/6206/23521/6128",16
"8","Macrophages-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","16/79","101/10891",1.16844401711158e-17,4.81983157058527e-16,3.47458352456865e-16,"6176/6170/6222/6171/6137/6187/6168/6208/6234/6167/6154/6134/6217/6206/23521/6128",16
"9","Macrophages-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","16/79","111/10891",5.64077853297691e-17,1.96343902350252e-15,1.41542972667167e-15,"6176/6170/6222/6171/6137/6187/6168/6208/6234/6167/6154/6134/6217/6206/23521/6128",16
"10","Macrophages-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","16/79","112/10891",6.54479674500838e-17,1.96343902350252e-15,1.41542972667167e-15,"6176/6170/6222/6171/6137/6187/6168/6208/6234/6167/6154/6134/6217/6206/23521/6128",16
