"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Stellate-FLC","R-HSA-156902","Peptide chain elongation","20/71","89/10891",2.94416031863914e-26,9.45075462283164e-24,7.25193173222693e-24,"6176/6170/6187/6222/1915/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",20
"2","Stellate-FLC","R-HSA-156842","Eukaryotic Translation Elongation","20/71","93/10891",7.75679910130749e-26,1.24496625575985e-23,9.55311047213659e-24,"6176/6170/6187/6222/1915/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",20
"3","Stellate-FLC","R-HSA-192823","Viral mRNA Translation","19/71","89/10891",1.74152741409459e-24,1.86343433308122e-22,1.42988566630925e-22,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"4","Stellate-FLC","R-HSA-2408557","Selenocysteine synthesis","19/71","93/10891",4.33895304927904e-24,2.78560785763714e-22,2.13750529164483e-22,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"5","Stellate-FLC","R-HSA-72764","Eukaryotic Translation Termination","19/71","93/10891",4.33895304927904e-24,2.78560785763714e-22,2.13750529164483e-22,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"6","Stellate-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","19/71","95/10891",6.73570929782631e-24,3.60360447433707e-22,2.76518592226554e-22,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"7","Stellate-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","19/71","101/10891",2.37175253359796e-23,9.51665704106181e-22,7.3025012218674e-22,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"8","Stellate-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","19/71","101/10891",2.37175253359796e-23,9.51665704106181e-22,7.3025012218674e-22,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"9","Stellate-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","19/71","111/10891",1.61933704784949e-22,5.66490861551039e-21,4.34690479104585e-21,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"10","Stellate-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","19/71","112/10891",1.94124594300979e-22,5.66490861551039e-21,4.34690479104585e-21,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"11","Stellate-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","19/71","112/10891",1.94124594300979e-22,5.66490861551039e-21,4.34690479104585e-21,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"12","Stellate-FLC","R-HSA-927802","Nonsense-Mediated Decay (NMD)","19/71","115/10891",3.30874119344352e-22,8.17004556227207e-21,6.26919384020877e-21,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"13","Stellate-FLC","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","19/71","115/10891",3.30874119344352e-22,8.17004556227207e-21,6.26919384020877e-21,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"14","Stellate-FLC","R-HSA-2408522","Selenoamino acid metabolism","19/71","118/10891",5.55364453977887e-22,1.27337135519216e-20,9.77107385194178e-21,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"15","Stellate-FLC","R-HSA-72613","Eukaryotic Translation Initiation","19/71","119/10891",6.57858079274844e-22,1.31982777154516e-20,1.0127552009889e-20,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"16","Stellate-FLC","R-HSA-72737","Cap-dependent Translation Initiation","19/71","119/10891",6.57858079274844e-22,1.31982777154516e-20,1.0127552009889e-20,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"17","Stellate-FLC","R-HSA-168273","Influenza Viral RNA Transcription and Replication","19/71","135/10891",8.11424605259401e-21,1.53216057816628e-19,1.17568642495789e-19,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"18","Stellate-FLC","R-HSA-168255","Influenza Infection","19/71","156/10891",1.38476505004921e-19,2.33952411087261e-18,1.79520787651809e-18,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"19","Stellate-FLC","R-HSA-9711097","Cellular response to starvation","19/71","156/10891",1.38476505004921e-19,2.33952411087261e-18,1.79520787651809e-18,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"20","Stellate-FLC","R-HSA-9010553","Regulation of expression of SLITs and ROBOs","19/71","171/10891",8.20636514843911e-19,1.31712160632448e-17,1.01067865512355e-17,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"21","Stellate-FLC","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","19/71","184/10891",3.35537435175618e-18,5.12892936625588e-17,3.93562705920274e-17,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"22","Stellate-FLC","R-HSA-376176","Signaling by ROBO receptors","20/71","218/10891",4.07274683859648e-18,5.94250788722487e-17,4.55991751306975e-17,"6176/6170/6187/6222/5063/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",20
"23","Stellate-FLC","R-HSA-8868773","rRNA processing in the nucleus and cytosol","19/71","194/10891",9.2187309104127e-18,1.28661418358369e-16,9.872691226712e-17,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"24","Stellate-FLC","R-HSA-72312","rRNA processing","19/71","204/10891",2.39539437060233e-17,3.20383997068061e-16,2.45843106456555e-16,"6176/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",19
"25","Stellate-FLC","R-HSA-72766","Translation","20/71","291/10891",1.18647750160147e-15,1.52343711205628e-14,1.16899256999892e-14,"6176/6170/6187/6222/1915/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/6229/6128",20
"26","Stellate-FLC","R-HSA-71291","Metabolism of amino acids and derivatives","21/71","374/10891",1.16405523700287e-14,1.43716050414585e-13,1.10278917189746e-13,"6176/3242/6170/6187/6222/6137/6234/6228/6171/6156/6208/6134/6132/25873/6164/6167/6158/6161/4942/6229/6128",21
"27","Stellate-FLC","R-HSA-3000480","Scavenging by Class A Receptors","6/71","19/10891",1.57050501857344e-09,1.8671559665262e-08,1.43274142045296e-08,"1278/1277/1281/2512/2495/348",6
"28","Stellate-FLC","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","7/71","42/10891",8.32179147854364e-09,9.54033951647324e-08,7.32067370668876e-08,"1278/1277/6678/1281/2512/2495/348",7
"29","Stellate-FLC","R-HSA-3000178","ECM proteoglycans","8/71","76/10891",2.88410066686096e-08,3.19240108297369e-07,2.44965356096358e-07,"1278/1462/1277/6678/3910/1281/1293/4060",8
"30","Stellate-FLC","R-HSA-8948216","Collagen chain trimerization","6/71","44/10891",3.5944162165922e-07,3.84602535175365e-06,2.95120489362307e-06,"1278/1295/1277/1281/1293/1306",6
"31","Stellate-FLC","R-HSA-1474244","Extracellular matrix organization","12/71","300/10891",4.58399334241328e-07,4.74665117069246e-06,3.64229012606013e-06,"1278/1295/1462/8038/1277/6678/3910/1281/1293/4060/1306/7076",12
"32","Stellate-FLC","R-HSA-9754678","SARS-CoV-2 modulates host translation machinery","6/71","50/10891",7.84638012477395e-07,7.87090006266387e-06,6.039647859201e-06,"6187/6222/6234/6228/6208/6229",6
"33","Stellate-FLC","R-HSA-72695","Formation of the ternary complex, and subsequently, the 43S complex","6/71","51/10891",8.84710774906827e-07,8.6058229922755e-06,6.60358281748637e-06,"6187/6222/6234/6228/6208/6229",6
"34","Stellate-FLC","R-HSA-72649","Translation initiation complex formation","6/71","58/10891",1.91828696974515e-06,1.75934319225198e-05,1.35001248397102e-05,"6187/6222/6234/6228/6208/6229",6
"35","Stellate-FLC","R-HSA-72702","Ribosomal scanning and start codon recognition","6/71","58/10891",1.91828696974515e-06,1.75934319225198e-05,1.35001248397102e-05,"6187/6222/6234/6228/6208/6229",6
"36","Stellate-FLC","R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","6/71","59/10891",2.12453860723222e-06,1.8943802581154e-05,1.45363167863257e-05,"6187/6222/6234/6228/6208/6229",6
"37","Stellate-FLC","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","6/71","61/10891",2.59142897346621e-06,2.2482397310342e-05,1.72516182017381e-05,"1278/1295/1277/1281/1293/1306",6
"38","Stellate-FLC","R-HSA-1442490","Collagen degradation","6/71","64/10891",3.44577006831322e-06,2.91076892612775e-05,2.23354624926674e-05,"1278/1295/1277/1281/1293/1306",6
"39","Stellate-FLC","R-HSA-1650814","Collagen biosynthesis and modifying enzymes","6/71","67/10891",4.51660010662e-06,3.7175093185257e-05,2.85258954102316e-05,"1278/1295/1277/1281/1293/1306",6
