"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Endothelial cells-FLC","GO:0002181","cytoplasmic translation","22/137","146/18800",5.39574828561449e-23,1.20271229286347e-19,1.12458753742281e-19,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224",22
"2","Endothelial cells-FLC","GO:0031589","cell-substrate adhesion","16/137","364/18800",9.91892120330709e-09,1.10546376810858e-05,1.03365599908148e-05,"26033/3655/7074/10580/1012/1896/2244/59277/3680/3232/340485/10551/5796/87/948/7448",16
"3","Endothelial cells-FLC","GO:0007160","cell-matrix adhesion","13/137","235/18800",1.7743092798435e-08,1.31831179492372e-05,1.23267802599654e-05,"3655/7074/10580/1012/1896/2244/3680/3232/340485/5796/87/948/7448",13
"4","Endothelial cells-FLC","GO:0071346","cellular response to interferon-gamma","7/137","118/18800",2.51750019951116e-05,0.0140287698617759,0.0131175010395581,"1612/7431/4360/2934/54625/23521/55647",7
"5","Endothelial cells-FLC","GO:0034341","response to interferon-gamma","7/137","140/18800",7.51036997307647e-05,0.0286236075874446,0.0267642997913344,"1612/7431/4360/2934/54625/23521/55647",7
"6","Endothelial cells-FLC","GO:0019932","second-messenger-mediated signaling","10/137","303/18800",7.70487418235385e-05,0.0286236075874446,0.0267642997913344,"79772/1012/358/6546/55607/27115/10846/5139/948/9722",10
"7","Endothelial cells-FLC","GO:0022600","digestive system process","6/137","104/18800",0.000113401200804625,0.0361101823705013,0.0337645680591214,"5950/358/3949/7357/2035/948",6
"8","Endothelial cells-FLC","GO:0019934","cGMP-mediated signaling","4/137","36/18800",0.000132649143727652,0.0369593676711172,0.0345585927079937,"358/10846/5139/948",4
"9","Endothelial cells-NML","GO:0007596","blood coagulation","11/141","221/18800",8.91549896147373e-07,0.0010228029172702,0.000833221598508446,"953/3673/947/2266/5265/9060/114897/3690/9002/2243/634",11
"10","Endothelial cells-NML","GO:0050817","coagulation","11/141","226/18800",1.11090826966227e-06,0.0010228029172702,0.000833221598508446,"953/3673/947/2266/5265/9060/114897/3690/9002/2243/634",11
"11","Endothelial cells-NML","GO:0007599","hemostasis","11/141","227/18800",1.16007892317981e-06,0.0010228029172702,0.000833221598508446,"953/3673/947/2266/5265/9060/114897/3690/9002/2243/634",11
"12","Endothelial cells-NML","GO:0010632","regulation of epithelial cell migration","12/141","290/18800",1.96335679717158e-06,0.00103377735169848,0.000842161870033546,"6781/168667/6678/7114/7424/3673/10769/28984/3690/5581/5797/634",12
"13","Endothelial cells-NML","GO:0009410","response to xenobiotic stimulus","14/141","411/18800",2.65561403522762e-06,0.00103377735169848,0.000842161870033546,"7424/3673/2626/1577/1393/1576/6095/375611/116285/1555/8647/5797/3784/1557",14
"14","Endothelial cells-NML","GO:0010631","epithelial cell migration","13/141","358/18800",3.07076769299998e-06,0.00103377735169848,0.000842161870033546,"6781/168667/6678/7114/7424/3673/10769/161198/28984/3690/5581/5797/634",13
"15","Endothelial cells-NML","GO:0001667","ameboidal-type cell migration","15/141","480/18800",3.30347629964364e-06,0.00103377735169848,0.000842161870033546,"6781/168667/6678/7114/7424/9590/3673/9124/10769/161198/28984/3690/5581/5797/634",15
"16","Endothelial cells-NML","GO:0090132","epithelium migration","13/141","361/18800",3.3640684032587e-06,0.00103377735169848,0.000842161870033546,"6781/168667/6678/7114/7424/3673/10769/161198/28984/3690/5581/5797/634",13
"17","Endothelial cells-NML","GO:0031589","cell-substrate adhesion","13/141","364/18800",3.68196126176222e-06,0.00103377735169848,0.000842161870033546,"3912/10395/10085/3673/947/395/2266/10894/6480/3690/5581/2243/81792",13
"18","Endothelial cells-NML","GO:0090130","tissue migration","13/141","366/18800",3.90842098940825e-06,0.00103377735169848,0.000842161870033546,"6781/168667/6678/7114/7424/3673/10769/161198/28984/3690/5581/5797/634",13
"19","Endothelial cells-NML","GO:0071466","cellular response to xenobiotic stimulus","9/141","168/18800",5.00370203248293e-06,0.00120316289781067,0.000980151010573451,"1577/1393/1576/6095/116285/1555/8647/3784/1557",9
"20","Endothelial cells-NML","GO:0043542","endothelial cell migration","11/141","279/18800",8.44097403753628e-06,0.00173956870700574,0.00141713148671406,"6781/168667/6678/7114/7424/10769/161198/28984/3690/5797/634",11
"21","Endothelial cells-NML","GO:0002693","positive regulation of cellular extravasation","4/141","18/18800",8.54986510059531e-06,0.00173956870700574,0.00141713148671406,"83483/3554/9750/10894",4
"22","Endothelial cells-NML","GO:0010594","regulation of endothelial cell migration","10/141","230/18800",9.42487049363555e-06,0.00178062731826186,0.00145057969176481,"6781/168667/6678/7114/7424/10769/28984/3690/5797/634",10
"23","Endothelial cells-NML","GO:0006805","xenobiotic metabolic process","7/141","108/18800",1.70535506235897e-05,0.00300710942662632,0.00244972758782373,"1577/1576/6095/116285/1555/8647/1557",7
