"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells-FLC","GO:0002181","cytoplasmic translation","14/137","146/18800",3.22652793649276e-12,7.62751204186888e-09,6.9455259264502e-09,"6170/6176/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",14
"2","Liver epithelial cells-FLC","GO:0055119","relaxation of cardiac muscle","4/137","17/18800",5.96717914255136e-06,0.0070532057464957,0.00642256912974607,"5142/5144/481/2934",4
"3","Liver epithelial cells-NML","GO:0042178","xenobiotic catabolic process","7/138","25/18800",4.24083471931805e-10,1.04791025914349e-06,9.16913106682028e-07,"1576/1555/2180/1577/1548/1558/1557",7
"4","Liver epithelial cells-NML","GO:0006805","xenobiotic metabolic process","10/138","108/18800",6.86920564272415e-09,8.48690357158569e-06,7.4259728369239e-06,"8647/1576/1555/348158/2180/1577/6822/1548/1558/1557",10
"5","Liver epithelial cells-NML","GO:0071466","cellular response to xenobiotic stimulus","11/138","168/18800",4.5151293280961e-08,3.71896152324182e-05,3.25406162803838e-05,"8647/1576/1555/348158/2180/1577/6822/1548/2203/1558/1557",11
"6","Liver epithelial cells-NML","GO:0009117","nucleotide metabolic process","17/138","487/18800",1.08195676198674e-07,6.27279665011317e-05,5.4886469655722e-05,"123876/9414/348158/51733/2180/1806/55022/5207/79071/6822/1807/57678/6470/10135/2203/3479/134526",17
"7","Liver epithelial cells-NML","GO:0006753","nucleoside phosphate metabolic process","17/138","495/18800",1.36466057352584e-07,6.27279665011317e-05,5.4886469655722e-05,"123876/9414/348158/51733/2180/1806/55022/5207/79071/6822/1807/57678/6470/10135/2203/3479/134526",17
"8","Liver epithelial cells-NML","GO:0009259","ribonucleotide metabolic process","15/138","384/18800",1.52313961556775e-07,6.27279665011317e-05,5.4886469655722e-05,"123876/9414/348158/51733/2180/1806/55022/5207/79071/6822/1807/57678/2203/3479/134526",15
"9","Liver epithelial cells-NML","GO:0019693","ribose phosphate metabolic process","15/138","394/18800",2.12003683754663e-07,7.48373003653959e-05,6.5482040064974e-05,"123876/9414/348158/51733/2180/1806/55022/5207/79071/6822/1807/57678/2203/3479/134526",15
"10","Liver epithelial cells-NML","GO:0008202","steroid metabolic process","13/138","323/18800",7.68711635552132e-07,0.000237435806431165,0.000207754434134747,"8647/1576/1555/2494/2099/1577/6822/1548/3949/9420/185/1558/1557",13
"11","Liver epithelial cells-NML","GO:0009176","pyrimidine deoxyribonucleoside monophosphate metabolic process","4/138","13/18800",1.88776071609192e-06,0.00051829519216257,0.000453504153316117,"51733/1806/1807/6470",4
"12","Liver epithelial cells-NML","GO:0051056","regulation of small GTPase mediated signal transduction","12/138","299/18800",2.14818324470235e-06,0.000530816079765951,0.000464459829959856,"148/26053/55160/84952/3084/55103/9922/2203/3479/90627/143872/7074",12
"13","Liver epithelial cells-NML","GO:0072521","purine-containing compound metabolic process","14/138","416/18800",2.36511610484625e-06,0.000531291081370461,0.000464875452569779,"123876/9414/348158/2180/1806/55022/5207/79071/6822/57678/6470/2203/3479/134526",14
"14","Liver epithelial cells-NML","GO:0007265","Ras protein signal transduction","12/138","347/18800",9.8141234883264e-06,0.00176593310026749,0.00154517735753666,"148/26053/3084/9423/55103/9922/2203/3479/90627/143872/185/7074",12
"15","Liver epithelial cells-NML","GO:0019373","epoxygenase P450 pathway","4/138","19/18800",9.88904472818005e-06,0.00176593310026749,0.00154517735753666,"1555/1548/1558/1557",4
"16","Liver epithelial cells-NML","GO:0046578","regulation of Ras protein signal transduction","9/138","187/18800",1.0005286687068e-05,0.00176593310026749,0.00154517735753666,"148/26053/3084/55103/9922/2203/3479/90627/143872",9
"17","Liver epithelial cells-NML","GO:0009410","response to xenobiotic stimulus","13/138","411/18800",1.07443949326712e-05,0.00176995999190869,0.00154870085555835,"8647/1576/148/1555/348158/2180/1577/6822/1548/2203/1558/1557/22941",13
"18","Liver epithelial cells-NML","GO:0009150","purine ribonucleotide metabolic process","12/138","366/18800",1.6699905423406e-05,0.00251858538367071,0.00220374209378672,"123876/9414/348158/2180/55022/5207/79071/6822/57678/2203/3479/134526",12
"19","Liver epithelial cells-NML","GO:0001676","long-chain fatty acid metabolic process","7/138","111/18800",1.77355379808689e-05,0.00251858538367071,0.00220374209378672,"1576/1555/2180/79071/1548/1558/1557",7
"20","Liver epithelial cells-NML","GO:0009129","pyrimidine nucleoside monophosphate metabolic process","4/138","22/18800",1.8346635736978e-05,0.00251858538367071,0.00220374209378672,"51733/1806/1807/6470",4
"21","Liver epithelial cells-NML","GO:0046394","carboxylic acid biosynthetic process","11/138","316/18800",2.19858424973096e-05,0.00285931667425537,0.0025018792514944,"8647/1576/123876/348158/51733/1806/79071/6470/9420/1558/256987",11
