"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Stellate cells-FLC","GO:0002181","cytoplasmic translation","17/140","146/18800",7.26263334395975e-16,1.74448452921913e-12,1.54426519524197e-12,"6222/6228/6171/6209/6156/6208/6134/6132/25873/6218/6158/6232/6159/6229/6129/6154/6205",17
"2","Stellate cells-FLC","GO:0030198","extracellular matrix organization","13/140","307/18800",5.11519786868257e-07,0.000239205453459642,0.000211751179275374,"10631/1278/23213/9719/83872/1281/170691/1286/1545/25903/140766/2620/1290",13
"3","Stellate cells-FLC","GO:0043062","extracellular structure organization","13/140","308/18800",5.30696507468127e-07,0.000239205453459642,0.000211751179275374,"10631/1278/23213/9719/83872/1281/170691/1286/1545/25903/140766/2620/1290",13
"4","Stellate cells-FLC","GO:0045229","external encapsulating structure organization","13/140","310/18800",5.70989818340509e-07,0.000239205453459642,0.000211751179275374,"10631/1278/23213/9719/83872/1281/170691/1286/1545/25903/140766/2620/1290",13
"5","Stellate cells-FLC","GO:0061448","connective tissue development","12/140","260/18800",5.77852099803947e-07,0.000239205453459642,0.000211751179275374,"5396/9971/653/23213/55553/1281/5745/6653/2690/5159/7076/860",12
"6","Stellate cells-FLC","GO:0097267","omega-hydroxylase P450 pathway","4/140","10/18800",5.97515703895858e-07,0.000239205453459642,0.000211751179275374,"1557/1545/1559/1558",4
"7","Stellate cells-FLC","GO:0019373","epoxygenase P450 pathway","4/140","19/18800",1.04681152063439e-05,0.00359205896080542,0.00317978837846836,"1557/1545/1559/1558",4
"8","Stellate cells-FLC","GO:0051216","cartilage development","9/140","195/18800",1.5713068971866e-05,0.00471784895880277,0.00417636833199596,"5396/653/23213/55553/1281/5745/2690/7076/860",9
"9","Stellate cells-FLC","GO:0042178","xenobiotic catabolic process","4/140","25/18800",3.29990526793865e-05,0.00880708050398737,0.00779626741665037,"1577/1557/1559/1558",4
"10","Stellate cells-FLC","GO:1903027","regulation of opsonization","3/140","10/18800",4.66822458541677e-05,0.0112130754541711,0.00992611964478093,"10584/5322/722",3
