"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Endothelial cells-FLC","R-HSA-156902","Peptide chain elongation","23/97","89/10891",3.17931225539312e-28,1.26536627764646e-25,1.08431281131302e-25,"6176/6222/6137/6187/6170/6171/1915/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224",23
"2","Endothelial cells-FLC","R-HSA-156842","Eukaryotic Translation Elongation","23/97","93/10891",9.86109138528409e-28,1.96235718567153e-25,1.68157558359581e-25,"6176/6222/6137/6187/6170/6171/1915/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224",23
"3","Endothelial cells-FLC","R-HSA-192823","Viral mRNA Translation","22/97","89/10891",1.56336755302251e-26,2.07406762034319e-24,1.77730206027822e-24,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224",22
"4","Endothelial cells-FLC","R-HSA-2408557","Selenocysteine synthesis","22/97","93/10891",4.57443631270471e-26,3.64125130491295e-24,3.12024708487647e-24,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224",22
"5","Endothelial cells-FLC","R-HSA-72764","Eukaryotic Translation Termination","22/97","93/10891",4.57443631270471e-26,3.64125130491295e-24,3.12024708487647e-24,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224",22
"6","Endothelial cells-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","22/97","95/10891",7.66920734522691e-26,5.08724087233385e-24,4.35933891202372e-24,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224",22
"7","Endothelial cells-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","23/97","112/10891",1.07769821874838e-25,6.1274841580265e-24,5.25074019360113e-24,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6727/6175/11224",23
"8","Endothelial cells-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","22/97","101/10891",3.35971335458254e-25,1.48573990569317e-23,1.27315453436812e-23,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224",22
"9","Endothelial cells-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","22/97","101/10891",3.35971335458254e-25,1.48573990569317e-23,1.27315453436812e-23,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224",22
"10","Endothelial cells-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","22/97","111/10891",3.18581096500089e-24,1.26795276407036e-22,1.08652921332662e-22,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224",22
"11","Endothelial cells-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","22/97","112/10891",3.93822102220958e-24,1.42491996985401e-22,1.22103694851283e-22,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224",22
"12","Endothelial cells-FLC","R-HSA-927802","Nonsense-Mediated Decay (NMD)","22/97","115/10891",7.34482498328996e-24,2.24864641796108e-22,1.92690145310603e-22,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224",22
