"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells-FLC","R-HSA-156902","Peptide chain elongation","15/104","89/10891",3.77495526730665e-15,5.50629065293772e-13,4.87608027745529e-13,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"2","Liver epithelial cells-FLC","R-HSA-192823","Viral mRNA Translation","15/104","89/10891",3.77495526730665e-15,5.50629065293772e-13,4.87608027745529e-13,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"3","Liver epithelial cells-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","16/104","112/10891",6.53156339100609e-15,5.50629065293772e-13,4.87608027745529e-13,"6170/6176/51065/6234/6167/6727/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",16
"4","Liver epithelial cells-FLC","R-HSA-156842","Eukaryotic Translation Elongation","15/104","93/10891",7.4915519087588e-15,5.50629065293772e-13,4.87608027745529e-13,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"5","Liver epithelial cells-FLC","R-HSA-2408557","Selenocysteine synthesis","15/104","93/10891",7.4915519087588e-15,5.50629065293772e-13,4.87608027745529e-13,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"6","Liver epithelial cells-FLC","R-HSA-72764","Eukaryotic Translation Termination","15/104","93/10891",7.4915519087588e-15,5.50629065293772e-13,4.87608027745529e-13,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"7","Liver epithelial cells-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","15/104","95/10891",1.042288213931e-14,6.56641574776528e-13,5.81487108824661e-13,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"8","Liver epithelial cells-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","15/104","101/10891",2.68213364662582e-14,1.31424548684665e-12,1.16382641274641e-12,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"9","Liver epithelial cells-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","15/104","101/10891",2.68213364662582e-14,1.31424548684665e-12,1.16382641274641e-12,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"10","Liver epithelial cells-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","15/104","111/10891",1.13426161943388e-13,5.00209374170342e-12,4.42959011378916e-12,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"11","Liver epithelial cells-FLC","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","15/104","112/10891",1.29956254503035e-13,5.21006438507621e-12,4.61375793498812e-12,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"12","Liver epithelial cells-FLC","R-HSA-927802","Nonsense-Mediated Decay (NMD)","15/104","115/10891",1.93878188482245e-13,6.57694470159001e-12,5.82419497383911e-12,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"13","Liver epithelial cells-FLC","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","15/104","115/10891",1.93878188482245e-13,6.57694470159001e-12,5.82419497383911e-12,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"14","Liver epithelial cells-FLC","R-HSA-2408522","Selenoamino acid metabolism","15/104","118/10891",2.85894846073266e-13,8.9469489202737e-12,7.92294557685056e-12,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"15","Liver epithelial cells-FLC","R-HSA-72613","Eukaryotic Translation Initiation","15/104","119/10891",3.24605856517867e-13,8.9469489202737e-12,7.92294557685056e-12,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"16","Liver epithelial cells-FLC","R-HSA-72737","Cap-dependent Translation Initiation","15/104","119/10891",3.24605856517867e-13,8.9469489202737e-12,7.92294557685056e-12,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218",15
"17","Liver epithelial cells-FLC","R-HSA-168255","Influenza Infection","16/104","156/10891",1.29746341234227e-12,3.36577273437025e-11,2.98055062525686e-11,"6170/6176/51065/6234/6167/6156/6168/6222/6217/6171/6208/6164/6129/6224/6218/811",16
