"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Stellate cells-FLC","R-HSA-156902","Peptide chain elongation","17/95","89/10891",1.00447149034252e-18,1.75276315945556e-16,1.37673622463248e-16,"6222/6228/6171/6209/6156/6208/6134/6132/25873/6218/6158/6232/6159/6229/6129/6154/6205",17
"2","Stellate cells-FLC","R-HSA-192823","Viral mRNA Translation","17/95","89/10891",1.00447149034252e-18,1.75276315945556e-16,1.37673622463248e-16,"6222/6228/6171/6209/6156/6208/6134/6132/25873/6218/6158/6232/6159/6229/6129/6154/6205",17
"3","Stellate cells-FLC","R-HSA-156842","Eukaryotic Translation Elongation","17/95","93/10891",2.22431873027356e-18,1.75276315945556e-16,1.37673622463248e-16,"6222/6228/6171/6209/6156/6208/6134/6132/25873/6218/6158/6232/6159/6229/6129/6154/6205",17
"4","Stellate cells-FLC","R-HSA-2408557","Selenocysteine synthesis","17/95","93/10891",2.22431873027356e-18,1.75276315945556e-16,1.37673622463248e-16,"6222/6228/6171/6209/6156/6208/6134/6132/25873/6218/6158/6232/6159/6229/6129/6154/6205",17
"5","Stellate cells-FLC","R-HSA-72764","Eukaryotic Translation Termination","17/95","93/10891",2.22431873027356e-18,1.75276315945556e-16,1.37673622463248e-16,"6222/6228/6171/6209/6156/6208/6134/6132/25873/6218/6158/6232/6159/6229/6129/6154/6205",17
"6","Stellate cells-FLC","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","17/95","95/10891",3.262338874496e-18,2.14226919425237e-16,1.68268005105583e-16,"6222/6228/6171/6209/6156/6208/6134/6132/25873/6218/6158/6232/6159/6229/6129/6154/6205",17
"7","Stellate cells-FLC","R-HSA-72689","Formation of a pool of free 40S subunits","17/95","101/10891",9.76280203472233e-18,4.80818000210075e-16,3.77666289237943e-16,"6222/6228/6171/6209/6156/6208/6134/6132/25873/6218/6158/6232/6159/6229/6129/6154/6205",17
"8","Stellate cells-FLC","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","17/95","101/10891",9.76280203472233e-18,4.80818000210075e-16,3.77666289237943e-16,"6222/6228/6171/6209/6156/6208/6134/6132/25873/6218/6158/6232/6159/6229/6129/6154/6205",17
"9","Stellate cells-FLC","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","17/95","111/10891",5.19762188967175e-17,2.1798781640191e-15,1.71222062575906e-15,"6222/6228/6171/6209/6156/6208/6134/6132/25873/6218/6158/6232/6159/6229/6129/6154/6205",17
"10","Stellate cells-FLC","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","17/95","112/10891",6.08595426502794e-17,2.1798781640191e-15,1.71222062575906e-15,"6222/6228/6171/6209/6156/6208/6134/6132/25873/6218/6158/6232/6159/6229/6129/6154/6205",17
