"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Cholangiocyte-FLC","GO:0034116","positive regulation of heterotypic cell-cell adhesion","4/91","15/18800",6.73106459931869e-07,0.00102764706270612,0.000880671810868915,"960/2243/2266/2244",4
"2","Cholangiocyte-FLC","GO:0042060","wound healing","12/91","429/18800",1.0588945533947e-06,0.00102764706270612,0.000880671810868915,"960/5339/301/4217/2243/308/2266/558/2152/3673/2244/2069",12
"3","Cholangiocyte-FLC","GO:0031589","cell-substrate adhesion","11/91","364/18800",1.46180236515807e-06,0.00102764706270612,0.000880671810868915,"960/25890/3655/3691/2243/2266/558/10551/3673/3914/2244",11
"4","Cholangiocyte-FLC","GO:0031639","plasminogen activation","4/91","25/18800",6.01115851759018e-06,0.00253550666271954,0.00217287561572681,"2243/2266/302/2244",4
"5","Cholangiocyte-FLC","GO:0034114","regulation of heterotypic cell-cell adhesion","4/91","25/18800",6.01115851759018e-06,0.00253550666271954,0.00217287561572681,"960/2243/2266/2244",4
"6","Cholangiocyte-FLC","GO:0034113","heterotypic cell-cell adhesion","5/91","61/18800",1.14242455437521e-05,0.00401562230862885,0.00344130343835479,"960/4897/2243/2266/2244",5
"7","Cholangiocyte-FLC","GO:0043589","skin morphogenesis","3/91","11/18800",1.76011584648594e-05,0.00530297760034122,0.00454453971190431,"3655/3691/3673",3
"8","Cholangiocyte-FLC","GO:0050818","regulation of coagulation","5/91","71/18800",2.40689167999004e-05,0.00634516819137374,0.00543767501913539,"2243/308/2266/2152/2244",5
"9","Cholangiocyte-FLC","GO:0072378","blood coagulation, fibrin clot formation","3/91","15/18800",4.78596634698678e-05,0.00985529060348416,0.00844577573116833,"2243/2266/2244",3
"10","Cholangiocyte-FLC","GO:0045785","positive regulation of cell adhesion","10/91","446/18800",5.9040588949962e-05,0.00985529060348416,0.00844577573116833,"960/25890/301/84433/2243/2266/10551/3673/1604/2244",10
"11","Cholangiocyte-FLC","GO:0051146","striated muscle cell differentiation","8/91","281/18800",6.55626427045964e-05,0.00985529060348416,0.00844577573116833,"8538/5339/3880/688/824/2274/5997/4000",8
"12","Cholangiocyte-FLC","GO:0072376","protein activation cascade","3/91","17/18800",7.10263361461772e-05,0.00985529060348416,0.00844577573116833,"2243/2266/2244",3
"13","Cholangiocyte-FLC","GO:0043588","skin development","8/91","296/18800",9.41886252374459e-05,0.00985529060348416,0.00844577573116833,"3655/5339/301/3691/1009/3673/23254/2069",8
"14","Cholangiocyte-FLC","GO:0030072","peptide hormone secretion","7/91","220/18800",9.61314158423545e-05,0.00985529060348416,0.00844577573116833,"301/55107/2243/133308/2266/6804/2244",7
"15","Cholangiocyte-FLC","GO:0050878","regulation of body fluid levels","9/91","382/18800",9.70352914745653e-05,0.00985529060348416,0.00844577573116833,"5339/2243/308/2266/558/10551/2152/3673/2244",9
"16","Cholangiocyte-FLC","GO:0007596","blood coagulation","7/91","221/18800",9.88893763968826e-05,0.00985529060348416,0.00844577573116833,"2243/308/2266/558/2152/3673/2244",7
"17","Cholangiocyte-FLC","GO:2001236","regulation of extrinsic apoptotic signaling pathway","6/91","153/18800",9.93155245049796e-05,0.00985529060348416,0.00844577573116833,"3655/658/2243/2266/4000/2244",6
"18","Cholangiocyte-FLC","GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors","4/91","50/18800",9.97777704926839e-05,0.00985529060348416,0.00844577573116833,"658/2243/2266/2244",4
"19","Cholangiocyte-FLC","GO:0042692","muscle cell differentiation","9/91","387/18800",0.000107088364502879,0.00985529060348416,0.00844577573116833,"8538/5339/3880/688/824/2274/5997/4000/2069",9
"20","Cholangiocyte-FLC","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","5/91","97/18800",0.000107928790734322,0.00985529060348416,0.00844577573116833,"3655/2243/2266/4000/2244",5
"21","Cholangiocyte-FLC","GO:0002790","peptide secretion","7/91","225/18800",0.000110574056692738,0.00985529060348416,0.00844577573116833,"301/55107/2243/133308/2266/6804/2244",7
"22","Cholangiocyte-FLC","GO:0050817","coagulation","7/91","226/18800",0.000113664174861062,0.00985529060348416,0.00844577573116833,"2243/308/2266/558/2152/3673/2244",7
"23","Cholangiocyte-FLC","GO:0050819","negative regulation of coagulation","4/91","52/18800",0.000116429509945404,0.00985529060348416,0.00844577573116833,"2243/308/2266/2244",4
"24","Cholangiocyte-FLC","GO:1904036","negative regulation of epithelial cell apoptotic process","4/91","52/18800",0.000116429509945404,0.00985529060348416,0.00844577573116833,"3480/2243/2266/2244",4
"25","Cholangiocyte-FLC","GO:0007599","hemostasis","7/91","227/18800",0.000116824212938409,0.00985529060348416,0.00844577573116833,"2243/308/2266/558/2152/3673/2244",7
"26","Cholangiocyte-FLC","GO:0046883","regulation of hormone secretion","7/91","231/18800",0.000130187622124956,0.0105602190408282,0.00904988450156073,"301/55107/2243/133308/2266/6804/2244",7
"27","Cholangiocyte-FLC","GO:0007160","cell-matrix adhesion","7/91","235/18800",0.000144767557394131,0.0113079547608971,0.00969067820841022,"960/3655/3691/2243/2266/3673/2244",7
"28","Cholangiocyte-FLC","GO:1903034","regulation of response to wounding","6/91","166/18800",0.000155287712835579,0.0116964923703656,0.0100236467270184,"3480/301/2243/2266/2152/2244",6
"29","Cholangiocyte-FLC","GO:0034446","substrate adhesion-dependent cell spreading","5/91","109/18800",0.000186944837647878,0.0135954021585992,0.0116509722773651,"2243/2266/558/3914/2244",5
"30","Cholangiocyte-FLC","GO:0042730","fibrinolysis","3/91","24/18800",0.000206282953171177,0.0140547857447625,0.0120446543004952,"2243/2266/2244",3
"31","Cholangiocyte-FLC","GO:0015833","peptide transport","7/91","249/18800",0.000206590022801155,0.0140547857447625,0.0120446543004952,"301/55107/2243/133308/2266/6804/2244",7
"32","Cholangiocyte-FLC","GO:0090276","regulation of peptide hormone secretion","6/91","177/18800",0.000219983759186584,0.0144983046288908,0.0124247406093212,"55107/2243/133308/2266/6804/2244",6
"33","Cholangiocyte-FLC","GO:0002791","regulation of peptide secretion","6/91","180/18800",0.00024087278346862,0.0150945632741104,0.0129357216648686,"55107/2243/133308/2266/6804/2244",6
"34","Cholangiocyte-FLC","GO:0031638","zymogen activation","4/91","64/18800",0.000261427142142057,0.0150945632741104,0.0129357216648686,"2243/2266/302/2244",4
"35","Cholangiocyte-FLC","GO:0048469","cell maturation","6/91","183/18800",0.000263293968395635,0.0150945632741104,0.0129357216648686,"5139/4897/2266/558/51341/2069",6
"36","Cholangiocyte-FLC","GO:0090087","regulation of peptide transport","6/91","183/18800",0.000263293968395635,0.0150945632741104,0.0129357216648686,"55107/2243/133308/2266/6804/2244",6
"37","Cholangiocyte-FLC","GO:1904019","epithelial cell apoptotic process","5/91","118/18800",0.00027057824813896,0.0150945632741104,0.0129357216648686,"3480/4217/2243/2266/2244",5
"38","Cholangiocyte-FLC","GO:0072577","endothelial cell apoptotic process","4/91","65/18800",0.0002775455138652,0.0150945632741104,0.0129357216648686,"4217/2243/2266/2244",4
"39","Cholangiocyte-FLC","GO:0007565","female pregnancy","6/91","185/18800",0.000279131326548272,0.0150945632741104,0.0129357216648686,"5069/3691/824/5997/3673/8061",6
"40","Cholangiocyte-FLC","GO:0003018","vascular process in circulatory system","7/91","263/18800",0.000288199468332183,0.0151418656953093,0.0129762588399821,"5139/5339/2243/2266/5997/2244/57419",7
