"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 4-FLC","GO:0019432","triglyceride biosynthetic process","4/90","40/18800",3.93385411170896e-05,0.0334687629165585,0.0310346514072317,"3949/392636/84803/9663",4
"2","Liver epithelial cells 4-FLC","GO:0046460","neutral lipid biosynthetic process","4/90","48/18800",8.13454751165215e-05,0.0334687629165585,0.0310346514072317,"3949/392636/84803/9663",4
"3","Liver epithelial cells 4-FLC","GO:0046463","acylglycerol biosynthetic process","4/90","48/18800",8.13454751165215e-05,0.0334687629165585,0.0310346514072317,"3949/392636/84803/9663",4
"4","Liver epithelial cells 4-FLC","GO:0043116","negative regulation of vascular permeability","3/90","18/18800",8.21823521585231e-05,0.0334687629165585,0.0310346514072317,"5139/9590/23576",3
"5","Liver epithelial cells 4-NML","GO:0009259","ribonucleotide metabolic process","16/92","384/18800",5.16226027292739e-11,7.86459546040709e-08,6.65621760489482e-08,"10846/123876/348158/2203/1807/5166/2180/9414/229/1806/55022/6822/57678/51733/134526/5142",16
"6","Liver epithelial cells 4-NML","GO:0019693","ribose phosphate metabolic process","16/92","394/18800",7.55484674390691e-11,7.86459546040709e-08,6.65621760489482e-08,"10846/123876/348158/2203/1807/5166/2180/9414/229/1806/55022/6822/57678/51733/134526/5142",16
"7","Liver epithelial cells 4-NML","GO:0009117","nucleotide metabolic process","17/92","487/18800",1.89984681294282e-10,1.27079984740679e-07,1.07554423608826e-07,"10846/123876/348158/2203/1807/5166/2180/9414/229/10135/1806/55022/6822/57678/51733/134526/5142",17
"8","Liver epithelial cells 4-NML","GO:0006753","nucleoside phosphate metabolic process","17/92","495/18800",2.44149826591121e-10,1.27079984740679e-07,1.07554423608826e-07,"10846/123876/348158/2203/1807/5166/2180/9414/229/10135/1806/55022/6822/57678/51733/134526/5142",17
"9","Liver epithelial cells 4-NML","GO:0071466","cellular response to xenobiotic stimulus","10/92","168/18800",9.52498871608097e-09,3.96620530137612e-06,3.35680654962517e-06,"8647/1555/348158/2203/2180/1562/1576/1548/6822/5142",10
"10","Liver epithelial cells 4-NML","GO:0072521","purine-containing compound metabolic process","14/92","416/18800",1.42345127024071e-08,4.93937590773526e-06,4.18045162523324e-06,"10846/123876/348158/2203/5166/2180/9414/229/1806/55022/6822/57678/134526/5142",14
"11","Liver epithelial cells 4-NML","GO:0009150","purine ribonucleotide metabolic process","13/92","366/18800",2.60285080482501e-08,7.74162196520811e-06,6.55213871770988e-06,"10846/123876/348158/2203/5166/2180/9414/229/55022/6822/57678/134526/5142",13
"12","Liver epithelial cells 4-NML","GO:0006805","xenobiotic metabolic process","8/92","108/18800",5.69462486845092e-08,1.32316411365574e-05,1.11986284759579e-05,"8647/1555/348158/2180/1562/1576/1548/6822",8
"13","Liver epithelial cells 4-NML","GO:0006163","purine nucleotide metabolic process","13/92","394/18800",6.17044013031927e-08,1.32316411365574e-05,1.11986284759579e-05,"10846/123876/348158/2203/5166/2180/9414/229/55022/6822/57678/134526/5142",13
"14","Liver epithelial cells 4-NML","GO:0006631","fatty acid metabolic process","13/92","395/18800",6.35525510881718e-08,1.32316411365574e-05,1.11986284759579e-05,"8647/123876/1555/348158/5166/2180/1562/1576/1548/718/57678/134526/3638",13
"15","Liver epithelial cells 4-NML","GO:0033865","nucleoside bisphosphate metabolic process","7/92","125/18800",2.66084741549019e-06,0.000426144947619275,0.000360668710407334,"123876/348158/5166/2180/6822/57678/134526",7
