"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Neutrophils and macrophages-FLC","GO:0002181","cytoplasmic translation","20/94","146/18800",1.3821044417812e-23,2.36616280432942e-20,1.98150131548e-20,"6176/6222/6171/6137/6208/6156/6234/6217/6206/6209/25873/6164/6233/6129/6142/6122/6159/6132/6232/6229",20
"2","Neutrophils and macrophages-FLC","GO:0034116","positive regulation of heterotypic cell-cell adhesion","4/94","15/18800",7.66930023638386e-07,0.000656492100234458,0.000549767732734464,"2244/2266/960/2243",4
"3","Neutrophils and macrophages-FLC","GO:0042274","ribosomal small subunit biogenesis","6/94","74/18800",1.8733754146835e-06,0.000914385433448052,0.000765735956933256,"6208/6234/6217/6209/6232/6229",6
"4","Neutrophils and macrophages-FLC","GO:0000028","ribosomal small subunit assembly","4/94","19/18800",2.14461530470553e-06,0.000914385433448052,0.000765735956933256,"6208/6234/6209/6232",4
"5","Neutrophils and macrophages-FLC","GO:0051004","regulation of lipoprotein lipase activity","4/94","20/18800",2.6705182051637e-06,0.000914385433448052,0.000765735956933256,"9734/344/341/337",4
"6","Neutrophils and macrophages-FLC","GO:0034114","regulation of heterotypic cell-cell adhesion","4/94","25/18800",6.84031188128358e-06,0.00195176899012625,0.00163447452321197,"2244/2266/960/2243",4
"7","Neutrophils and macrophages-FLC","GO:0042255","ribosome assembly","5/94","62/18800",1.45013867446342e-05,0.00276544503009413,0.00231587317448856,"6208/6234/6209/6122/6232",5
"8","Neutrophils and macrophages-FLC","GO:0034368","protein-lipid complex remodeling","4/94","30/18800",1.45379703684855e-05,0.00276544503009413,0.00231587317448856,"344/5320/341/337",4
"9","Neutrophils and macrophages-FLC","GO:0034369","plasma lipoprotein particle remodeling","4/94","30/18800",1.45379703684855e-05,0.00276544503009413,0.00231587317448856,"344/5320/341/337",4
"10","Neutrophils and macrophages-FLC","GO:0034367","protein-containing complex remodeling","4/94","32/18800",1.89308666196281e-05,0.00324096436528034,0.00271408845641406,"344/5320/341/337",4
"11","Neutrophils and macrophages-FLC","GO:0007160","cell-matrix adhesion","8/94","235/18800",2.33678429769127e-05,0.00363688610695223,0.003045646137278,"2244/2266/960/87/2243/5747/6614/7448",8
"12","Neutrophils and macrophages-FLC","GO:0033700","phospholipid efflux","3/94","13/18800",3.33869888439508e-05,0.00464415295841496,0.00388916399985316,"344/341/337",3
"13","Neutrophils and macrophages-FLC","GO:0032371","regulation of sterol transport","4/94","38/18800",3.79778863421784e-05,0.00464415295841496,0.00388916399985316,"344/341/337/5244",4
"14","Neutrophils and macrophages-FLC","GO:0032374","regulation of cholesterol transport","4/94","38/18800",3.79778863421784e-05,0.00464415295841496,0.00388916399985316,"344/341/337/5244",4
"15","Neutrophils and macrophages-FLC","GO:0050714","positive regulation of protein secretion","6/94","128/18800",4.41784385871358e-05,0.00504223245741176,0.00422252865653887,"5950/2244/6934/2266/5122/2243",6
"16","Neutrophils and macrophages-FLC","GO:0010763","positive regulation of fibroblast migration","3/94","15/18800",5.27314626463935e-05,0.00531036847356621,0.00444707443494662,"5063/6546/5747",3
"17","Neutrophils and macrophages-FLC","GO:0072378","blood coagulation, fibrin clot formation","3/94","15/18800",5.27314626463935e-05,0.00531036847356621,0.00444707443494662,"2244/2266/2243",3
"18","Neutrophils and macrophages-FLC","GO:0042310","vasoconstriction","5/94","82/18800",5.65181124119099e-05,0.00537550046939943,0.00450161807631703,"2244/2266/6546/2243/490",5
"19","Neutrophils and macrophages-FLC","GO:0071827","plasma lipoprotein particle organization","4/94","45/18800",7.46348510507589e-05,0.00669714322200906,0.00560840449359096,"344/5320/341/337",4
"20","Neutrophils and macrophages-FLC","GO:0072376","protein activation cascade","3/94","17/18800",7.82376544627226e-05,0.00669714322200906,0.00560840449359096,"2244/2266/2243",3
"21","Neutrophils and macrophages-FLC","GO:0090277","positive regulation of peptide hormone secretion","5/94","91/18800",9.29799170046413e-05,0.00715784299139886,0.00599420939146904,"5950/2244/6934/2266/2243",5
"22","Neutrophils and macrophages-FLC","GO:0030195","negative regulation of blood coagulation","4/94","48/18800",9.6359130632917e-05,0.00715784299139886,0.00599420939146904,"2244/2266/2243/7448",4
"23","Neutrophils and macrophages-FLC","GO:0071825","protein-lipid complex subunit organization","4/94","48/18800",9.6359130632917e-05,0.00715784299139886,0.00599420939146904,"344/5320/341/337",4
"24","Neutrophils and macrophages-FLC","GO:0002793","positive regulation of peptide secretion","5/94","93/18800",0.000103096826084377,0.00715784299139886,0.00599420939146904,"5950/2244/6934/2266/2243",5
"25","Neutrophils and macrophages-FLC","GO:1900047","negative regulation of hemostasis","4/94","49/18800",0.000104524576393091,0.00715784299139886,0.00599420939146904,"2244/2266/2243/7448",4
"26","Neutrophils and macrophages-FLC","GO:0010769","regulation of cell morphogenesis involved in differentiation","5/94","96/18800",0.000119832885907338,0.00755001559077106,0.00632262741922663,"2244/5063/2266/2243/5747",5
"27","Neutrophils and macrophages-FLC","GO:0050819","negative regulation of coagulation","4/94","52/18800",0.000132035945609007,0.00755001559077106,0.00632262741922663,"2244/2266/2243/7448",4
"28","Neutrophils and macrophages-FLC","GO:1904036","negative regulation of epithelial cell apoptotic process","4/94","52/18800",0.000132035945609007,0.00755001559077106,0.00632262741922663,"2244/6934/2266/2243",4
"29","Neutrophils and macrophages-FLC","GO:0042632","cholesterol homeostasis","5/94","98/18800",0.000132096613594112,0.00755001559077106,0.00632262741922663,"9734/344/2494/100133941/337",5
"30","Neutrophils and macrophages-FLC","GO:0055092","sterol homeostasis","5/94","99/18800",0.000138577762025448,0.00755001559077106,0.00632262741922663,"9734/344/2494/100133941/337",5
"31","Neutrophils and macrophages-FLC","GO:0006364","rRNA processing","7/94","226/18800",0.000139438148005758,0.00755001559077106,0.00632262741922663,"6208/6234/6217/6209/6129/6232/6229",7
