"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 5-FLC","GO:0008202","steroid metabolic process","11/93","323/18800",5.65308220480123e-07,0.00106876260431853,0.000870725877875361,"1576/337/8647/1548/570/1555/183/10720/2494/1586/1558",11
"2","Liver epithelial cells 5-FLC","GO:0046034","ATP metabolic process","10/93","273/18800",9.90053362036616e-07,0.00106876260431853,0.000870725877875361,"283120/481/514/4694/27089/1347/1327/2597/4622/4697",10
"3","Liver epithelial cells 5-FLC","GO:0046394","carboxylic acid biosynthetic process","10/93","316/18800",3.6768044632194e-06,0.00209871470317672,0.00170983265596075,"4942/1576/337/344/8647/570/8942/1806/1558/123876",10
"4","Liver epithelial cells 5-FLC","GO:0016053","organic acid biosynthetic process","10/93","318/18800",3.88830885257382e-06,0.00209871470317672,0.00170983265596075,"4942/1576/337/344/8647/570/8942/1806/1558/123876",10
"5","Liver epithelial cells 5-FLC","GO:0042178","xenobiotic catabolic process","4/93","25/18800",6.55509718104288e-06,0.00273629765238319,0.00222927445802507,"1576/1548/1555/1558",4
"6","Liver epithelial cells 5-FLC","GO:0061098","positive regulation of protein tyrosine kinase activity","5/93","55/18800",7.60434734335301e-06,0.00273629765238319,0.00222927445802507,"100133941/183/148/2069/3084",5
"7","Liver epithelial cells 5-FLC","GO:0042180","cellular ketone metabolic process","8/93","211/18800",9.91422435873138e-06,0.0028310207628312,0.00230644581784497,"337/344/8647/8942/1555/2168/1586/5581",8
"8","Liver epithelial cells 5-FLC","GO:0050996","positive regulation of lipid catabolic process","4/93","28/18800",1.04901186209586e-05,0.0028310207628312,0.00230644581784497,"337/344/2168/5581",4
"9","Liver epithelial cells 5-FLC","GO:0050994","regulation of lipid catabolic process","5/93","61/18800",1.27040507657442e-05,0.00304756062258241,0.00248286185141036,"337/344/8647/2168/5581",5
"10","Liver epithelial cells 5-FLC","GO:0006805","xenobiotic metabolic process","6/93","108/18800",1.58817843107506e-05,0.00342887723269104,0.00279352227192254,"1576/8647/1548/1555/10720/1558",6
"11","Liver epithelial cells 5-FLC","GO:0042445","hormone metabolic process","8/93","230/18800",1.85140449871701e-05,0.00363380210248184,0.00296047551900108,"5122/1576/7276/10720/2690/1586/1558/1734",8
"12","Liver epithelial cells 5-FLC","GO:0055088","lipid homeostasis","7/93","173/18800",2.41018016905511e-05,0.00395121451386337,0.0032190728907953,"337/344/8647/100133941/2494/5244/123876",7
"13","Liver epithelial cells 5-FLC","GO:0070254","mucus secretion","3/93","12/18800",2.49620679386029e-05,0.00395121451386337,0.0032190728907953,"1535/10551/5581",3
"14","Liver epithelial cells 5-FLC","GO:0006631","fatty acid metabolic process","10/93","395/18800",2.56215855461266e-05,0.00395121451386337,0.0032190728907953,"1576/337/344/8647/1548/570/1555/2168/1558/123876",10
"15","Liver epithelial cells 5-FLC","GO:0045777","positive regulation of blood pressure","4/93","36/18800",2.92795847224985e-05,0.00421430822772494,0.00343341656640666,"1535/183/5144/148",4
"16","Liver epithelial cells 5-FLC","GO:0009410","response to xenobiotic stimulus","10/93","411/18800",3.58872658692366e-05,0.00484253793823011,0.00394523824128252,"5122/1576/1535/8647/1548/1555/5139/10720/148/1558",10
"17","Liver epithelial cells 5-FLC","GO:0010763","positive regulation of fibroblast migration","3/93","15/18800",5.10730201158799e-05,0.00648627355471675,0.00528439731353779,"5063/9590/5581",3
"18","Liver epithelial cells 5-FLC","GO:0006119","oxidative phosphorylation","6/93","139/18800",6.59250571600881e-05,0.00790734435603501,0.0064421503224858,"514/4694/27089/1347/1327/4697",6
"19","Liver epithelial cells 5-FLC","GO:0061097","regulation of protein tyrosine kinase activity","5/93","90/18800",8.38387990241345e-05,0.00938169206748261,0.00764330827857119,"100133941/183/148/2069/3084",5
"20","Liver epithelial cells 5-FLC","GO:0043116","negative regulation of vascular permeability","3/93","18/18800",9.06140179286408e-05,0.00938169206748261,0.00764330827857119,"9590/5139/7122",3
"21","Liver epithelial cells 5-FLC","GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal","4/93","48/18800",9.24312890124065e-05,0.00938169206748261,0.00764330827857119,"1535/183/5144/148",4
"22","Liver epithelial cells 5-FLC","GO:0072330","monocarboxylic acid biosynthetic process","7/93","215/18800",9.55985296362286e-05,0.00938169206748261,0.00764330827857119,"1576/337/344/8647/570/1558/123876",7
"23","Liver epithelial cells 5-FLC","GO:0019373","epoxygenase P450 pathway","3/93","19/18800",0.000107218895873906,0.0100645911387723,0.00819966933662688,"1548/1555/1558",3
"24","Liver epithelial cells 5-FLC","GO:0042632","cholesterol homeostasis","5/93","98/18800",0.000125584474875858,0.0109404727271499,0.00891325415132123,"337/344/8647/100133941/2494",5
"25","Liver epithelial cells 5-FLC","GO:0120254","olefinic compound metabolic process","6/93","157/18800",0.000129114980022201,0.0109404727271499,0.00891325415132123,"1576/7276/1548/1555/1586/1558",6
"26","Liver epithelial cells 5-FLC","GO:0055092","sterol homeostasis","5/93","99/18800",0.000131751871656274,0.0109404727271499,0.00891325415132123,"337/344/8647/100133941/2494",5
"27","Liver epithelial cells 5-FLC","GO:0061318","renal filtration cell differentiation","3/93","22/18800",0.000168576541590432,0.0126565589631186,0.0103113576106732,"2131/100133941/10409",3
"28","Liver epithelial cells 5-FLC","GO:0072112","glomerular visceral epithelial cell differentiation","3/93","22/18800",0.000168576541590432,0.0126565589631186,0.0103113576106732,"2131/100133941/10409",3
"29","Liver epithelial cells 5-FLC","GO:0010817","regulation of hormone levels","10/93","496/18800",0.000170004729009004,0.0126565589631186,0.0103113576106732,"5122/1576/7276/183/10720/2690/1586/1558/1734/5581",10
"30","Liver epithelial cells 5-FLC","GO:0071466","cellular response to xenobiotic stimulus","6/93","168/18800",0.000186787660641477,0.0134424853108316,0.010951655471295,"1576/8647/1548/1555/10720/1558",6
"31","Liver epithelial cells 5-FLC","GO:0072311","glomerular epithelial cell differentiation","3/93","23/18800",0.000193169505234489,0.0134533213484278,0.0109604836416581,"2131/100133941/10409",3
"32","Liver epithelial cells 5-FLC","GO:0072010","glomerular epithelium development","3/93","26/18800",0.000280560170844614,0.0189290440266726,0.0154215804434655,"2131/100133941/10409",3
"33","Liver epithelial cells 5-FLC","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","7/93","261/18800",0.000314603083393129,0.0195474765209929,0.0159254202806266,"100133941/183/2690/148/2069/3084/5581",7
"34","Liver epithelial cells 5-FLC","GO:0003018","vascular process in circulatory system","7/93","263/18800",0.000329440100654188,0.0195474765209929,0.0159254202806266,"9590/5139/2131/183/148/7122/6580",7
"35","Liver epithelial cells 5-FLC","GO:0009060","aerobic respiration","6/93","187/18800",0.000332662264900522,0.0195474765209929,0.0159254202806266,"514/4694/27089/1347/1327/4697",6
"36","Liver epithelial cells 5-FLC","GO:0014072","response to isoquinoline alkaloid","3/93","28/18800",0.000350983413034987,0.0195474765209929,0.0159254202806266,"5122/2690/5581",3
"37","Liver epithelial cells 5-FLC","GO:0043278","response to morphine","3/93","28/18800",0.000350983413034987,0.0195474765209929,0.0159254202806266,"5122/2690/5581",3
"38","Liver epithelial cells 5-FLC","GO:1904062","regulation of cation transmembrane transport","8/93","352/18800",0.000356262428490939,0.0195474765209929,0.0159254202806266,"1535/183/481/5144/967/2259/5581/4697",8
"39","Liver epithelial cells 5-FLC","GO:0060193","positive regulation of lipase activity","4/93","68/18800",0.000358752504335913,0.0195474765209929,0.0159254202806266,"337/344/183/148",4
"40","Liver epithelial cells 5-FLC","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","6/93","190/18800",0.000362157971671939,0.0195474765209929,0.0159254202806266,"100133941/183/2690/148/2069/3084",6
"41","Liver epithelial cells 5-FLC","GO:0034368","protein-lipid complex remodeling","3/93","30/18800",0.000431876962155084,0.022200532411734,0.0180868772872467,"337/344/183",3
