"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Cholangiocyte cells-FLC","GO:0006814","sodium ion transport","13/179","249/18800",8.02123103011745e-07,0.00227000838152324,0.00199095397568599,"288/6558/133308/154043/57419/3775/483/6337/6533/54716/5270/151258/6446",13
"2","Cholangiocyte cells-FLC","GO:0035725","sodium ion transmembrane transport","10/179","177/18800",7.76527012478716e-06,0.00808869447992156,0.00709434315925425,"288/6558/133308/154043/57419/3775/483/6337/6533/54716",10
"3","Cholangiocyte cells-FLC","GO:0003018","vascular process in circulatory system","12/179","263/18800",8.57458778790272e-06,0.00808869447992156,0.00709434315925425,"6558/5139/5339/2243/2244/57419/654/6533/54716/9590/8140/6505",12
"4","Cholangiocyte cells-FLC","GO:0071260","cellular response to mechanical stimulus","6/179","70/18800",5.42125692643903e-05,0.0304126578823087,0.0266739993626498,"3480/5339/63895/3673/654/1535",6
"5","Cholangiocyte cells-FLC","GO:0060348","bone development","10/179","225/18800",6.11517939381566e-05,0.0304126578823087,0.0266739993626498,"658/133308/5915/302/29887/23213/11214/654/64131/5608",10
"6","Cholangiocyte cells-FLC","GO:0042060","wound healing","14/179","429/18800",6.49448109137317e-05,0.0304126578823087,0.0266739993626498,"960/6558/5339/4217/2243/308/2152/3673/2244/2069/4638/135228/5270/966",14
"7","Cholangiocyte cells-FLC","GO:0098739","import across plasma membrane","9/179","188/18800",8.13535783378086e-05,0.0304126578823087,0.0266739993626498,"6558/3773/483/6337/6533/54716/8140/51703/6505",9
"8","Cholangiocyte cells-FLC","GO:0031639","plasminogen activation","4/179","25/18800",8.59721777591765e-05,0.0304126578823087,0.0266739993626498,"2243/302/2244/5270",4
"9","Cholangiocyte cells-FLC","GO:2001236","regulation of extrinsic apoptotic signaling pathway","8/179","153/18800",0.000110500777309417,0.0333206797906892,0.0292245352227804,"3655/658/2243/4000/2244/4170/117584/2260",8
"10","Cholangiocyte cells-FLC","GO:0031960","response to corticosteroid","8/179","157/18800",0.000132176109840519,0.0333206797906892,0.0292245352227804,"3480/5069/8061/654/1535/374/5066/6446",8
"11","Cholangiocyte cells-FLC","GO:0009612","response to mechanical stimulus","9/179","201/18800",0.0001353641893216,0.0333206797906892,0.0292245352227804,"3480/5339/63895/3673/8061/654/1535/5270/5727",9
"12","Cholangiocyte cells-FLC","GO:0009410","response to xenobiotic stimulus","13/179","411/18800",0.000161964236295159,0.0333206797906892,0.0292245352227804,"5139/22941/7804/3673/8061/1535/27233/6505/5066/5142/5727/5608/4862",13
"13","Cholangiocyte cells-FLC","GO:0010232","vascular transport","6/179","87/18800",0.000182719195186098,0.0333206797906892,0.0292245352227804,"6558/57419/6533/54716/8140/6505",6
"14","Cholangiocyte cells-FLC","GO:0150104","transport across blood-brain barrier","6/179","87/18800",0.000182719195186098,0.0333206797906892,0.0292245352227804,"6558/57419/6533/54716/8140/6505",6
"15","Cholangiocyte cells-FLC","GO:1903034","regulation of response to wounding","8/179","166/18800",0.000193970972224331,0.0333206797906892,0.0292245352227804,"6558/3480/2243/2152/2244/4638/135228/5270",8
"16","Cholangiocyte cells-FLC","GO:0050808","synapse organization","13/179","419/18800",0.000195565636888217,0.0333206797906892,0.0292245352227804,"10160/288/23316/3480/22941/27445/8828/7804/23768/83992/92737/6505/221935",13
"17","Cholangiocyte cells-FLC","GO:0034329","cell junction assembly","13/179","420/18800",0.000200159560580112,0.0333206797906892,0.0292245352227804,"10160/23316/22941/3655/5339/27445/1009/3673/23768/92737/79977/221935/395",13
"18","Cholangiocyte cells-FLC","GO:0051385","response to mineralocorticoid","4/179","32/18800",0.000232011423264541,0.0364773515465918,0.0319931541554262,"3480/8061/1535/6446",4
"19","Cholangiocyte cells-FLC","GO:0097191","extrinsic apoptotic signaling pathway","9/179","221/18800",0.000274903567311297,0.0405354911059268,0.0355524225507813,"3655/658/2243/4000/2244/4170/3875/117584/2260",9
"20","Cholangiocyte cells-FLC","GO:0061041","regulation of wound healing","7/179","133/18800",0.00028646990180867,0.0405354911059268,0.0355524225507813,"6558/2243/2152/2244/4638/135228/5270",7
"21","Cholangiocyte cells-FLC","GO:0050878","regulation of body fluid levels","12/179","382/18800",0.000308283374087772,0.041544854698495,0.0364377040651111,"5339/2243/308/10551/2152/3673/2244/6337/1535/5066/5270/966",12
"22","Cholangiocyte cells-FLC","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","6/179","97/18800",0.000330619280997748,0.0422322587455818,0.0370406048436235,"3655/2243/4000/2244/4170/117584",6
"23","Cholangiocyte cells-FLC","GO:0034116","positive regulation of heterotypic cell-cell adhesion","3/179","15/18800",0.000354988607550716,0.0422322587455818,0.0370406048436235,"960/2243/2244",3
"24","Cholangiocyte cells-FLC","GO:0031638","zymogen activation","5/179","64/18800",0.000358153431057937,0.0422322587455818,0.0370406048436235,"2243/302/2244/5646/5270",5
"25","Cholangiocyte cells-NML","GO:0031589","cell-substrate adhesion","15/176","364/18800",1.79248474472454e-06,0.00257542530257635,0.00215123654184514,"5314/3175/25890/3691/596/2266/558/3914/9748/4088/158326/9448/91663/3694/3911",15
"26","Cholangiocyte cells-NML","GO:0034329","cell junction assembly","16/176","420/18800",2.22588037981514e-06,0.00257542530257635,0.00215123654184514,"5583/1501/5789/1000/2258/9076/22829/3691/4897/596/6092/9748/145581/4088/9448/9071",16
"27","Cholangiocyte cells-NML","GO:0042060","wound healing","16/176","429/18800",2.92302660526168e-06,0.00257542530257635,0.00215123654184514,"2263/9076/301/83478/2266/558/7980/5329/50506/4088/2247/1361/2004/3694/3091/5345",16
"28","Cholangiocyte cells-NML","GO:0002064","epithelial cell development","11/176","203/18800",3.43619119756685e-06,0.00257542530257635,0.00215123654184514,"5314/3175/1000/9076/688/7430/7431/6781/1306/91663/3091",11
"29","Cholangiocyte cells-NML","GO:0022612","gland morphogenesis","8/176","123/18800",2.0750529582108e-05,0.0100668651492062,0.00840878908393724,"2263/596/3371/10718/2252/1361/2267/3911",8
"30","Cholangiocyte cells-NML","GO:0032623","interleukin-2 production","6/176","63/18800",2.69904861040602e-05,0.0100668651492062,0.00840878908393724,"9455/301/84433/7430/79679/89795",6
"31","Cholangiocyte cells-NML","GO:0032663","regulation of interleukin-2 production","6/176","63/18800",2.69904861040602e-05,0.0100668651492062,0.00840878908393724,"9455/301/84433/7430/79679/89795",6
"32","Cholangiocyte cells-NML","GO:0001655","urogenital system development","13/176","352/18800",2.84603538253979e-05,0.0100668651492062,0.00840878908393724,"2263/5314/80114/7704/301/596/25976/6092/4088/3371/2247/120892/3911",13
"33","Cholangiocyte cells-NML","GO:0071634","regulation of transforming growth factor beta production","5/176","39/18800",3.02207426093583e-05,0.0100668651492062,0.00840878908393724,"3696/4088/3694/3091/5345",5
"34","Cholangiocyte cells-NML","GO:0061041","regulation of wound healing","8/176","133/18800",3.64708489403972e-05,0.0109339605123311,0.00913306838202156,"9076/301/2266/50506/4088/2247/1361/5345",8
"35","Cholangiocyte cells-NML","GO:0001823","mesonephros development","7/176","99/18800",4.03548763463517e-05,0.010998538116942,0.00918700964860963,"2263/7704/596/6092/4088/2247/3911",7
"36","Cholangiocyte cells-NML","GO:0071604","transforming growth factor beta production","5/176","43/18800",4.90201087545075e-05,0.0122468571705011,0.0102297226953485,"3696/4088/3694/3091/5345",5
"37","Cholangiocyte cells-NML","GO:0048732","gland development","14/176","431/18800",5.67992130157224e-05,0.013098772355472,0.0109413220861865,"2263/3175/9076/301/596/4088/3371/10718/2247/2252/1361/2267/3091/3911",14
"38","Cholangiocyte cells-NML","GO:0007160","cell-matrix adhesion","10/176","235/18800",7.62855657918674e-05,0.0163360090174299,0.0136453654901393,"5314/3175/3691/596/2266/9748/4088/158326/9448/3694",10
"39","Cholangiocyte cells-NML","GO:0033688","regulation of osteoblast proliferation","4/176","28/18800",0.000127505346692109,0.0245863817095233,0.0205368498602423,"4330/2263/596/4088",4
"40","Cholangiocyte cells-NML","GO:0001822","kidney development","11/176","303/18800",0.000138022478430202,0.0245863817095233,0.0205368498602423,"2263/5314/80114/7704/596/25976/6092/4088/2247/120892/3911",11
"41","Cholangiocyte cells-NML","GO:0030198","extracellular matrix organization","11/176","307/18800",0.000154773051741145,0.0245863817095233,0.0205368498602423,"25890/79875/3914/9507/4088/2620/256764/1361/1306/5806/5345",11
"42","Cholangiocyte cells-NML","GO:0043062","extracellular structure organization","11/176","308/18800",0.000159220930222054,0.0245863817095233,0.0205368498602423,"25890/79875/3914/9507/4088/2620/256764/1361/1306/5806/5345",11
"43","Cholangiocyte cells-NML","GO:0045229","external encapsulating structure organization","11/176","310/18800",0.000168443527436783,0.0245863817095233,0.0205368498602423,"25890/79875/3914/9507/4088/2620/256764/1361/1306/5806/5345",11
"44","Cholangiocyte cells-NML","GO:1903034","regulation of response to wounding","8/176","166/18800",0.000172782235881886,0.0245863817095233,0.0205368498602423,"9076/301/2266/50506/4088/2247/1361/5345",8
"45","Cholangiocyte cells-NML","GO:0072001","renal system development","11/176","312/18800",0.000178116230562863,0.0245863817095233,0.0205368498602423,"2263/5314/80114/7704/596/25976/6092/4088/2247/120892/3911",11
"46","Cholangiocyte cells-NML","GO:0060828","regulation of canonical Wnt signaling pathway","10/176","261/18800",0.000180420412811712,0.0245863817095233,0.0205368498602423,"2263/1501/80114/1000/65268/4088/2247/120892/3484/51704",10
"47","Cholangiocyte cells-NML","GO:0050714","positive regulation of protein secretion","7/176","128/18800",0.00020421853269714,0.0248253584826183,0.0207364656543481,"55107/114/2266/51768/7430/3091/8736",7
"48","Cholangiocyte cells-NML","GO:0090303","positive regulation of wound healing","5/176","58/18800",0.0002083638625742,0.0248253584826183,0.0207364656543481,"9076/301/50506/1361/5345",5
"49","Cholangiocyte cells-NML","GO:0010810","regulation of cell-substrate adhesion","9/176","217/18800",0.000211736861452241,0.0248253584826183,0.0207364656543481,"5314/3175/25890/596/2266/9748/4088/9448/91663",9
"50","Cholangiocyte cells-NML","GO:0033689","negative regulation of osteoblast proliferation","3/176","13/18800",0.000215296637941319,0.0248253584826183,0.0207364656543481,"4330/596/4088",3
"51","Cholangiocyte cells-NML","GO:0048608","reproductive structure development","13/176","433/18800",0.000227852398152047,0.0252715319545185,0.0211091515465747,"2263/3696/56977/301/596/558/25976/6092/2620/3371/6781/3091/5806",13
"52","Cholangiocyte cells-NML","GO:0061458","reproductive system development","13/176","436/18800",0.00024359193755523,0.0252715319545185,0.0211091515465747,"2263/3696/56977/301/596/558/25976/6092/2620/3371/6781/3091/5806",13
"53","Cholangiocyte cells-NML","GO:0033687","osteoblast proliferation","4/176","33/18800",0.000245695576464147,0.0252715319545185,0.0211091515465747,"4330/2263/596/4088",4
"54","Cholangiocyte cells-NML","GO:0001657","ureteric bud development","6/176","94/18800",0.000254658519472828,0.0252715319545185,0.0211091515465747,"2263/596/6092/4088/2247/3911",6
"55","Cholangiocyte cells-NML","GO:0072163","mesonephric epithelium development","6/176","95/18800",0.000269742836072246,0.0252715319545185,0.0211091515465747,"2263/596/6092/4088/2247/3911",6
"56","Cholangiocyte cells-NML","GO:0072164","mesonephric tubule development","6/176","95/18800",0.000269742836072246,0.0252715319545185,0.0211091515465747,"2263/596/6092/4088/2247/3911",6
"57","Cholangiocyte cells-NML","GO:0045785","positive regulation of cell adhesion","13/176","446/18800",0.000302970921721113,0.0273201567799461,0.0228203549662904,"7704/25890/301/84433/4651/2266/1604/5329/4088/9448/91663/79679/5345",13
"58","Cholangiocyte cells-NML","GO:0010737","protein kinase A signaling","4/176","35/18800",0.000309835000172838,0.0273201567799461,0.0228203549662904,"9465/7430/120892/8736",4
"59","Cholangiocyte cells-NML","GO:0001885","endothelial cell development","5/176","64/18800",0.000331389943758102,0.027999876349039,0.0233881204432302,"9076/7430/6781/1306/91663",5
"60","Cholangiocyte cells-NML","GO:0030111","regulation of Wnt signaling pathway","11/176","336/18800",0.000336222664631556,0.027999876349039,0.0233881204432302,"2263/51473/1501/80114/1000/65268/4088/2247/120892/3484/51704",11
"61","Cholangiocyte cells-NML","GO:0007565","female pregnancy","8/176","185/18800",0.000360285252053825,0.0291928428556045,0.0243845978559331,"56977/3691/29974/596/824/5997/6781/3490",8
"62","Cholangiocyte cells-NML","GO:0046718","viral entry into host cell","7/176","146/18800",0.000455151673027496,0.0359090714667482,0.0299946213333078,"9076/4684/558/1604/3949/3694/5806",7
"63","Cholangiocyte cells-NML","GO:0090263","positive regulation of canonical Wnt signaling pathway","6/176","109/18800",0.000564379086939574,0.0429169567406738,0.0358482637850016,"2263/65268/4088/2247/120892/51704",6
"64","Cholangiocyte cells-NML","GO:1903036","positive regulation of response to wounding","5/176","72/18800",0.000572607828427936,0.0429169567406738,0.0358482637850016,"9076/301/50506/1361/5345",5
"65","Cholangiocyte cells-NML","GO:0044409","entry into host","7/176","153/18800",0.000602247787289698,0.0435341070797627,0.0363637655780188,"9076/4684/558/1604/3949/3694/5806",7
"66","Cholangiocyte cells-NML","GO:0031532","actin cytoskeleton reorganization","6/176","111/18800",0.000621434451877766,0.0435341070797627,0.0363637655780188,"26053/10788/301/7430/2252/55971",6
"67","Cholangiocyte cells-NML","GO:1901888","regulation of cell junction assembly","8/176","201/18800",0.000624405138235422,0.0435341070797627,0.0363637655780188,"5583/5789/9076/6092/9748/145581/4088/9448",8
"68","Cholangiocyte cells-NML","GO:0044703","multi-organism reproductive process","8/176","205/18800",0.000710336930688368,0.0473242248489717,0.0395296270902369,"56977/3691/29974/596/824/5997/6781/3490",8
"69","Cholangiocyte cells-NML","GO:0045216","cell-cell junction organization","8/176","205/18800",0.000710336930688368,0.0473242248489717,0.0395296270902369,"5583/5314/1501/1000/9076/4088/79987/9071",8
"70","Cholangiocyte cells-NML","GO:0061045","negative regulation of wound healing","5/176","76/18800",0.000733703039399878,0.0478182980895833,0.0399423233577187,"2266/4088/2247/1361/5345",5
"71","Cholangiocyte cells-NML","GO:0060070","canonical Wnt signaling pathway","10/176","313/18800",0.00075441932841979,0.0481223222681389,0.0401962728401048,"2263/1501/80114/1000/65268/4088/2247/120892/3484/51704",10
