"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Endothelial cells-FLC","GO:0002181","cytoplasmic translation","31/185","146/18800",8.44104180733793e-33,2.31031314266839e-29,2.18756262417537e-29,"6176/6222/6137/6187/6170/6171/6234/6167/6208/6206/6228/6164/6154/6168/6128/6229/6142/23521/6158/6218/6175/11224/6138/6232/6205/6133/6210/6165/6227/6202/6181",31
"2","Endothelial cells-FLC","GO:0031589","cell-substrate adhesion","19/185","364/18800",3.58575258561073e-09,4.90710241340828e-06,4.64638045567032e-06,"26033/3655/7074/10580/1012/1896/2244/59277/3680/3232/340485/10551/5796/87/948/7448/7450/6904/1499",19
"3","Endothelial cells-FLC","GO:0007160","cell-matrix adhesion","14/185","235/18800",8.88556936506977e-08,8.10660111739865e-05,7.67588483396553e-05,"3655/7074/10580/1012/1896/2244/3680/3232/340485/5796/87/948/7448/1499",14
"4","Endothelial cells-FLC","GO:0042274","ribosomal small subunit biogenesis","7/185","74/18800",8.23066404007063e-06,0.00563183186941833,0.00533260391227734,"6234/6208/6229/6218/6232/6227/6202",7
"5","Endothelial cells-FLC","GO:0042254","ribosome biogenesis","12/185","304/18800",4.97668314196795e-05,0.0272423635191326,0.0257949345168949,"6234/6208/6154/6128/6229/6218/6175/11224/6232/6165/6227/6202",12
"6","Endothelial cells-FLC","GO:0035994","response to muscle stretch","4/185","24/18800",8.26793652919925e-05,0.0326913280552058,0.030954387120711,"2934/6546/1499/4790",4
"7","Endothelial cells-FLC","GO:0006364","rRNA processing","10/185","226/18800",8.36095346680455e-05,0.0326913280552058,0.030954387120711,"6234/6208/6154/6229/6218/11224/6232/6165/6227/6202",10
"8","Endothelial cells-NML","GO:0002181","cytoplasmic translation","17/183","146/18800",6.65491303807854e-14,1.99314645490452e-10,1.64131171033874e-10,"6134/6143/6132/6156/6209/6159/25873/6161/6130/6157/6223/6129/6233/6217/6136/6224/6135",17
"9","Endothelial cells-NML","GO:0010632","regulation of epithelial cell migration","15/183","290/18800",1.67062119672768e-07,0.00025017552420997,0.000206013971785945,"6781/168667/6678/7114/7424/3673/10769/28984/3690/5581/5797/634/348/3725/23499",15
"10","Endothelial cells-NML","GO:0010631","epithelial cell migration","16/183","358/18800",4.61642079265545e-07,0.000370875680578501,0.000305407862084326,"6781/168667/6678/7114/7424/3673/10769/161198/28984/3690/5581/5797/634/348/3725/23499",16
"11","Endothelial cells-NML","GO:0090132","epithelium migration","16/183","361/18800",5.15860640974202e-07,0.000370875680578501,0.000305407862084326,"6781/168667/6678/7114/7424/3673/10769/161198/28984/3690/5581/5797/634/348/3725/23499",16
"12","Endothelial cells-NML","GO:0090130","tissue migration","16/183","366/18800",6.19158064404843e-07,0.000370875680578501,0.000305407862084326,"6781/168667/6678/7114/7424/3673/10769/161198/28984/3690/5581/5797/634/348/3725/23499",16
"13","Endothelial cells-NML","GO:0001667","ameboidal-type cell migration","18/183","480/18800",1.11513909999548e-06,0.000556640267414413,0.000458380861629723,"6781/168667/6678/7114/7424/9590/3673/9124/10769/161198/28984/3690/5581/5797/634/348/3725/23499",18
"14","Endothelial cells-NML","GO:0050673","epithelial cell proliferation","17/183","443/18800",1.64622265801898e-06,0.000675065465553733,0.00055590137449869,"168667/6678/3488/3912/7424/947/28984/5654/3690/2099/5797/3487/634/348/3725/567/135228",17
"15","Endothelial cells-NML","GO:0007596","blood coagulation","12/183","221/18800",1.80317987460096e-06,0.000675065465553733,0.00055590137449869,"953/3673/947/2266/5265/9060/114897/3690/9002/2243/634/348",12
"16","Endothelial cells-NML","GO:0050817","coagulation","12/183","226/18800",2.27675548622886e-06,0.000713909400360134,0.000587888489603301,"953/3673/947/2266/5265/9060/114897/3690/9002/2243/634/348",12
"17","Endothelial cells-NML","GO:0007599","hemostasis","12/183","227/18800",2.38367078584352e-06,0.000713909400360134,0.000587888489603301,"953/3673/947/2266/5265/9060/114897/3690/9002/2243/634/348",12
"18","Endothelial cells-NML","GO:0042060","wound healing","16/183","429/18800",4.84969807240518e-06,0.00132044052062305,0.00108735335728664,"953/3673/947/2626/2266/5265/9060/114897/3690/5581/9002/2243/634/348/23499/135228",16
"19","Endothelial cells-NML","GO:0030195","negative regulation of blood coagulation","6/183","48/18800",6.8483824942739e-06,0.00170924213086253,0.00140752282316524,"947/2266/114897/2243/634/348",6
"20","Endothelial cells-NML","GO:1900047","negative regulation of hemostasis","6/183","49/18800",7.74131513849206e-06,0.00178347991075259,0.00146865598133497,"947/2266/114897/2243/634/348",6
"21","Endothelial cells-NML","GO:0061045","negative regulation of wound healing","7/183","76/18800",9.16144095283489e-06,0.00195989397526718,0.00161392903402197,"947/2266/114897/2243/634/348/135228",7
"22","Endothelial cells-NML","GO:0050819","negative regulation of coagulation","6/183","52/18800",1.10010838951115e-05,0.00219654975105726,0.00180880979412254,"947/2266/114897/2243/634/348",6
"23","Endothelial cells-NML","GO:0009410","response to xenobiotic stimulus","15/183","411/18800",1.25379378714888e-05,0.0023469452453193,0.0019326571337433,"7424/3673/2626/1577/1393/1576/6095/375611/116285/1555/8647/5797/3784/1557/3725",15
"24","Endothelial cells-NML","GO:0031589","cell-substrate adhesion","14/183","364/18800",1.37610732114244e-05,0.00242437730989507,0.00199642071420232,"3912/10395/10085/3673/947/395/2266/10894/6480/3690/5581/2243/81792/23499",14
"25","Endothelial cells-NML","GO:0010594","regulation of endothelial cell migration","11/183","230/18800",1.62822716703501e-05,0.00270918909181659,0.00223095687272692,"6781/168667/6678/7114/7424/10769/28984/3690/5797/634/348",11
"26","Endothelial cells-NML","GO:0043542","endothelial cell migration","12/183","279/18800",1.9336090362635e-05,0.00304797845453115,0.00250994236673983,"6781/168667/6678/7114/7424/10769/161198/28984/3690/5797/634/348",12
"27","Endothelial cells-NML","GO:0032102","negative regulation of response to external stimulus","15/183","429/18800",2.07097947401989e-05,0.00310129176234478,0.00255384468822558,"947/10769/2266/114897/5654/4345/6480/7525/6095/2243/3105/634/348/6223/135228",15
"28","Endothelial cells-NML","GO:0050878","regulation of body fluid levels","14/183","382/18800",2.35164505670761e-05,0.00325282768681494,0.00267863114672081,"953/3673/947/2266/5265/9060/114897/3690/5581/9002/2243/634/348/1131",14
"29","Endothelial cells-NML","GO:0002693","positive regulation of cellular extravasation","4/183","18/18800",2.3893892858073e-05,0.00325282768681494,0.00267863114672081,"83483/3554/9750/10894",4
"30","Endothelial cells-NML","GO:0010544","negative regulation of platelet activation","4/183","19/18800",3.00359171523797e-05,0.00378311692249503,0.0031153125206593,"2266/114897/634/348",4
"31","Endothelial cells-NML","GO:0006898","receptor-mediated endocytosis","11/183","246/18800",3.03154611485412e-05,0.00378311692249503,0.0031153125206593,"55576/23166/1514/344/3690/9873/341/634/348/54874/567",11
"32","Endothelial cells-NML","GO:1903035","negative regulation of response to wounding","7/183","92/18800",3.22134526141399e-05,0.003802702585953,0.00313144087826654,"947/2266/114897/2243/634/348/135228",7
"33","Endothelial cells-NML","GO:0050727","regulation of inflammatory response","14/183","394/18800",3.30117753705435e-05,0.003802702585953,0.00313144087826654,"3554/7114/3673/90865/10769/4345/7525/6095/5320/2099/81792/9180/348/6223",14
"34","Endothelial cells-NML","GO:1903034","regulation of response to wounding","9/183","166/18800",3.67605982841752e-05,0.00407770340226314,0.00335789792513928,"947/2266/114897/3480/5581/2243/634/348/135228",9
"35","Endothelial cells-NML","GO:0071466","cellular response to xenobiotic stimulus","9/183","168/18800",4.03774912958759e-05,0.00431894951539815,0.00355655872579839,"1577/1393/1576/6095/116285/1555/8647/3784/1557",9
"36","Endothelial cells-NML","GO:0030193","regulation of blood coagulation","6/183","66/18800",4.38647007983539e-05,0.00453016478934724,0.00373048979929376,"947/2266/114897/2243/634/348",6
"37","Endothelial cells-NML","GO:0061041","regulation of wound healing","8/183","133/18800",4.81116125328052e-05,0.00467990429429293,0.00385379694632399,"947/2266/114897/5581/2243/634/348/135228",8
"38","Endothelial cells-NML","GO:0042632","cholesterol homeostasis","7/183","98/18800",4.84397439476063e-05,0.00467990429429293,0.00385379694632399,"6296/2494/344/6095/116285/8647/348",7
"39","Endothelial cells-NML","GO:0055092","sterol homeostasis","7/183","99/18800",5.17018896162313e-05,0.00471928925617238,0.00388622958517244,"6296/2494/344/6095/116285/8647/348",7
"40","Endothelial cells-NML","GO:1900046","regulation of hemostasis","6/183","68/18800",5.19988465621664e-05,0.00471928925617238,0.00388622958517244,"947/2266/114897/2243/634/348",6
"41","Endothelial cells-NML","GO:0070372","regulation of ERK1 and ERK2 cascade","12/183","311/18800",5.57463572354476e-05,0.00491059823294604,0.00404376826633603,"168667/50507/9590/2626/2266/5320/2243/5770/634/56034/348/3725",12
"42","Endothelial cells-NML","GO:0070374","positive regulation of ERK1 and ERK2 cascade","10/183","220/18800",6.10035939292897e-05,0.00522016468052064,0.00429868934064137,"168667/50507/9590/2626/2266/5320/2243/56034/348/3725",10
"43","Endothelial cells-NML","GO:0050818","regulation of coagulation","6/183","71/18800",6.64191929324113e-05,0.00552570785646033,0.00455029734036958,"947/2266/114897/2243/634/348",6
"44","Endothelial cells-NML","GO:0006805","xenobiotic metabolic process","7/183","108/18800",8.99856292589123e-05,0.00728397188190385,0.00599818860181029,"1577/1576/6095/116285/1555/8647/1557",7
"45","Endothelial cells-NML","GO:0042178","xenobiotic catabolic process","4/183","25/18800",9.3652089957647e-05,0.0073640289682413,0.00606411382922041,"1577/1576/1555/1557",4
"46","Endothelial cells-NML","GO:0043410","positive regulation of MAPK cascade","15/183","491/18800",9.58921969153291e-05,0.0073640289682413,0.00606411382922041,"168667/50507/9590/2626/2266/114897/3480/5581/5320/2243/5770/3487/56034/348/3725",15
"47","Endothelial cells-NML","GO:0043114","regulation of vascular permeability","5/183","48/18800",0.000100917331619999,0.00755618520504746,0.00622235021014891,"83483/9590/7525/634/348",5
"48","Endothelial cells-NML","GO:0007160","cell-matrix adhesion","10/183","235/18800",0.000105507533244224,0.00770719663576711,0.00634670475972317,"10395/3673/947/395/2266/10894/3690/2243/81792/23499",10
"49","Endothelial cells-NML","GO:0070371","ERK1 and ERK2 cascade","12/183","335/18800",0.00011292562372616,0.00805267245380591,0.00663119640076171,"168667/50507/9590/2626/2266/5320/2243/5770/634/56034/348/3725",12
"50","Endothelial cells-NML","GO:0001666","response to hypoxia","11/183","286/18800",0.000117425339965807,0.00817881146971141,0.00673506907074381,"6781/7424/3673/947/9124/28984/5581/6095/378938/571/54541",11
"51","Endothelial cells-NML","GO:0001935","endothelial cell proliferation","9/183","194/18800",0.00012238790215297,0.00833072197609422,0.0068601639891007,"168667/6678/7424/947/28984/3690/5797/348/3725",9
"52","Endothelial cells-NML","GO:0062012","regulation of small molecule metabolic process","12/183","342/18800",0.000137031437219345,0.00912020343270972,0.00751028438374092,"7114/114897/344/5581/6095/8647/341/3487/634/348/54541/55022",12
"53","Endothelial cells-NML","GO:0036293","response to decreased oxygen levels","11/183","299/18800",0.000173207273497004,0.0112772996548593,0.00928660507559453,"6781/7424/3673/947/9124/28984/5581/6095/378938/571/54541",11
"54","Endothelial cells-NML","GO:0090331","negative regulation of platelet aggregation","3/183","12/18800",0.000187109679731281,0.0116748643915664,0.00961399078092963,"2266/114897/634",3
"55","Endothelial cells-NML","GO:1904667","negative regulation of ubiquitin protein ligase activity","3/183","12/18800",0.000187109679731281,0.0116748643915664,0.00961399078092963,"6209/6224/6135",3
"56","Endothelial cells-NML","GO:0034368","protein-lipid complex remodeling","4/183","30/18800",0.000195325056105652,0.0116999708607286,0.00963466539906408,"344/5320/341/348",4
"57","Endothelial cells-NML","GO:0034369","plasma lipoprotein particle remodeling","4/183","30/18800",0.000195325056105652,0.0116999708607286,0.00963466539906408,"344/5320/341/348",4
"58","Endothelial cells-NML","GO:0022604","regulation of cell morphogenesis","11/183","305/18800",0.000205721574581128,0.0119034377408804,0.00980221584285484,"5649/6678/10395/57699/2266/6480/4651/375611/54873/2243/23499",11
"59","Endothelial cells-NML","GO:0030100","regulation of endocytosis","9/183","208/18800",0.000206670705350845,0.0119034377408804,0.00980221584285484,"3673/114781/344/3690/341/5770/85439/348/567",9
"60","Endothelial cells-NML","GO:0033700","phospholipid efflux","3/183","13/18800",0.000241502585864655,0.0136471744276348,0.0112381441644665,"344/341/348",3
"61","Endothelial cells-NML","GO:0034367","protein-containing complex remodeling","4/183","32/18800",0.000252438206264981,0.0140009708845114,0.0115294876662544,"344/5320/341/348",4
"62","Endothelial cells-NML","GO:0003018","vascular process in circulatory system","10/183","263/18800",0.000262959490088442,0.0143193395057252,0.0117916571344923,"83483/9590/2266/7525/2243/28232/634/348/54407/1131",10
"63","Endothelial cells-NML","GO:0007611","learning or memory","10/183","264/18800",0.000271045213495826,0.0144960788289285,0.0119371980304647,"5649/4212/10769/114781/1393/85461/29767/348/22829/567",10
"64","Endothelial cells-NML","GO:0030168","platelet activation","7/183","130/18800",0.000285024155653994,0.0149762692312932,0.0123326241310676,"2266/114897/3690/9002/2243/634/348",7
"65","Endothelial cells-NML","GO:0055088","lipid homeostasis","8/183","173/18800",0.000298350514640133,0.0152288628086898,0.012540629315793,"6296/2494/344/6095/116285/8647/123876/348",8
"66","Endothelial cells-NML","GO:0034111","negative regulation of homotypic cell-cell adhesion","3/183","14/18800",0.000305169214420707,0.0152288628086898,0.012540629315793,"2266/114897/634",3
"67","Endothelial cells-NML","GO:0072578","neurotransmitter-gated ion channel clustering","3/183","14/18800",0.000305169214420707,0.0152288628086898,0.012540629315793,"5649/10243/348",3
"68","Endothelial cells-NML","GO:0010634","positive regulation of epithelial cell migration","8/183","174/18800",0.000310170494601027,0.0152288628086898,0.012540629315793,"6678/7114/7424/3673/10769/3690/5581/3725",8
"69","Endothelial cells-NML","GO:0008202","steroid metabolic process","11/183","323/18800",0.000335949114543327,0.0162285096460849,0.0133638162202889,"2494/1577/1576/3480/6095/2099/1555/8647/1557/341/348",11
"70","Endothelial cells-NML","GO:0070482","response to oxygen levels","11/183","324/18800",0.000344859538351832,0.0163945129740276,0.0135005162632973,"6781/7424/3673/947/9124/28984/5581/6095/378938/571/54541",11
"71","Endothelial cells-NML","GO:0050678","regulation of epithelial cell proliferation","12/183","382/18800",0.000377043580457298,0.0176444613042126,0.0145298208718988,"6678/3912/7424/28984/5654/3690/5797/634/348/3725/567/135228",12
"72","Endothelial cells-NML","GO:0001941","postsynaptic membrane organization","4/183","36/18800",0.000401156432519003,0.018484054082991,0.0152212068241623,"5649/10243/348/22829",4
"73","Endothelial cells-NML","GO:0071456","cellular response to hypoxia","7/183","143/18800",0.00050740760103864,0.0230255418956171,0.0189610208809176,"6781/947/28984/5581/6095/378938/571",7
