"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 5-FLC","GO:0008202","steroid metabolic process","8/48","323/18800",1.4446924908861e-06,0.0020687996469489,0.0014507754066372,"1576/337/8647/1548/570/1555/183/10720",8
"2","Liver epithelial cells 5-FLC","GO:0006631","fatty acid metabolic process","8/48","395/18800",6.40037671721401e-06,0.00306185253767815,0.0021471679807005,"1576/337/344/8647/1548/570/1555/2168",8
"3","Liver epithelial cells 5-FLC","GO:0006805","xenobiotic metabolic process","5/48","108/18800",8.01746538584215e-06,0.00306185253767815,0.0021471679807005,"1576/8647/1548/1555/10720",5
"4","Liver epithelial cells 5-FLC","GO:0009410","response to xenobiotic stimulus","8/48","411/18800",8.55266071977138e-06,0.00306185253767815,0.0021471679807005,"5122/1576/1535/8647/1548/1555/5139/10720",8
"5","Liver epithelial cells 5-FLC","GO:0046394","carboxylic acid biosynthetic process","7/48","316/18800",1.44591947951964e-05,0.0031395105305762,0.00220162676137143,"4942/1576/337/344/8647/570/8942",7
"6","Liver epithelial cells 5-FLC","GO:0016053","organic acid biosynthetic process","7/48","318/18800",1.50605608954391e-05,0.0031395105305762,0.00220162676137143,"4942/1576/337/344/8647/570/8942",7
"7","Liver epithelial cells 5-FLC","GO:0042180","cellular ketone metabolic process","6/48","211/18800",1.54189400482635e-05,0.0031395105305762,0.00220162676137143,"337/344/8647/8942/1555/2168",6
"8","Liver epithelial cells 5-FLC","GO:0050994","regulation of lipid catabolic process","4/48","61/18800",1.7539164975286e-05,0.0031395105305762,0.00220162676137143,"337/344/8647/2168",4
"9","Liver epithelial cells 5-FLC","GO:0061318","renal filtration cell differentiation","3/48","22/18800",2.32484896835223e-05,0.00332918372268039,0.00233463780611371,"2131/100133941/10409",3
"10","Liver epithelial cells 5-FLC","GO:0072112","glomerular visceral epithelial cell differentiation","3/48","22/18800",2.32484896835223e-05,0.00332918372268039,0.00233463780611371,"2131/100133941/10409",3
"11","Liver epithelial cells 5-FLC","GO:0072311","glomerular epithelial cell differentiation","3/48","23/18800",2.66878302405548e-05,0.00347427026404313,0.00243638182291764,"2131/100133941/10409",3
"12","Liver epithelial cells 5-FLC","GO:0006801","superoxide metabolic process","4/48","72/18800",3.38727519748884e-05,0.00380420361934892,0.00266775231759693,"1535/337/283120/183",4
