"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Lymphocytes-FLC","GO:0002181","cytoplasmic translation","11/47","146/18800",5.79963418811216e-14,5.41685833169676e-11,4.46266588579999e-11,"6176/6137/6234/6222/6128/6171/6223/6158/6209/6206/6167",11
"2","Lymphocytes-FLC","GO:0000028","ribosomal small subunit assembly","3/47","19/18800",1.37970023962704e-05,0.00535387045178702,0.00441077347036663,"6234/6223/6209",3
"3","Lymphocytes-FLC","GO:0042255","ribosome assembly","4/47","62/18800",1.71965860335771e-05,0.00535387045178702,0.00441077347036663,"6234/6128/6223/6209",4
"4","Lymphocytes-NML","GO:0002181","cytoplasmic translation","13/48","146/18800",3.31523635469273e-17,5.3309000583459e-14,4.17021836195559e-14,"6170/6187/6164/6156/6168/6229/6228/6208/25873/6136/6154/6143/6161",13
"5","Lymphocytes-NML","GO:0042178","xenobiotic catabolic process","3/48","25/18800",3.45353680527486e-05,0.0257151234470128,0.0201162428117179,"1576/1577/1555",3
"6","Lymphocytes-NML","GO:0003018","vascular process in circulatory system","6/48","263/18800",5.30828676373149e-05,0.0257151234470128,0.0201162428117179,"2131/9590/148/9414/183/5345",6
"7","Lymphocytes-NML","GO:0001894","tissue homeostasis","6/48","272/18800",6.39679687736636e-05,0.0257151234470128,0.0201162428117179,"5950/56667/2131/213/9414/567",6
"8","Lymphocytes-NML","GO:0022600","digestive system process","4/48","104/18800",0.000142604050832251,0.037895364644664,0.0296445147619622,"5950/56667/9414/2168",4
"9","Lymphocytes-NML","GO:0060249","anatomical structure homeostasis","6/48","319/18800",0.000153352276211498,0.037895364644664,0.0296445147619622,"5950/56667/2131/213/9414/567",6
"10","Lymphocytes-NML","GO:0006805","xenobiotic metabolic process","4/48","108/18800",0.000164967383403388,0.037895364644664,0.0296445147619622,"1576/1577/1555/8647",4
"11","Lymphocytes-NML","GO:0030258","lipid modification","5/48","216/18800",0.000218964741833124,0.0392195644562172,0.0306804003176091,"1576/1577/8647/2168/183",5
"12","Lymphocytes-NML","GO:0001974","blood vessel remodeling","3/48","46/18800",0.000219512487628081,0.0392195644562172,0.0306804003176091,"3976/2131/183",3
"13","Lymphocytes-NML","GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal","3/48","48/18800",0.000249216931101742,0.0400740825211601,0.0313488665964823,"148/183/5345",3
"14","Lymphocytes-NML","GO:0042572","retinol metabolic process","3/48","51/18800",0.00029845850529617,0.0436292069560219,0.0341299439070739,"5950/1576/1577",3
