"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Neutrophils and macrophages-FLC","GO:0002181","cytoplasmic translation","9/48","146/18800",1.0386221452694e-10,1.21103342138412e-07,9.39133076617279e-08,"6176/6222/6171/6137/6208/6156/6234/6217/6206",9
"2","Neutrophils and macrophages-FLC","GO:0051004","regulation of lipoprotein lipase activity","3/48","20/18800",1.72718038156981e-05,0.00671137319158414,0.00520454055391422,"9734/344/341",3
"3","Neutrophils and macrophages-FLC","GO:0050714","positive regulation of protein secretion","5/48","128/18800",1.83172877959103e-05,0.00671137319158414,0.00520454055391422,"5950/2244/6934/2266/5122",5
"4","Neutrophils and macrophages-FLC","GO:0042445","hormone metabolic process","6/48","230/18800",2.50890760463557e-05,0.00671137319158414,0.00520454055391422,"5950/1576/6934/2690/1577/5122",6
"5","Neutrophils and macrophages-FLC","GO:0010817","regulation of hormone levels","8/48","496/18800",3.30941034068774e-05,0.00671137319158414,0.00520454055391422,"5950/1576/2244/6934/2690/2266/1577/5122",8
"6","Neutrophils and macrophages-FLC","GO:0042178","xenobiotic catabolic process","3/48","25/18800",3.45353680527486e-05,0.00671137319158414,0.00520454055391422,"1576/1577/1555",3
"7","Neutrophils and macrophages-FLC","GO:0034368","protein-lipid complex remodeling","3/48","30/18800",6.04181236774131e-05,0.00880594152598297,0.00682883792617078,"344/5320/341",3
"8","Neutrophils and macrophages-FLC","GO:0034369","plasma lipoprotein particle remodeling","3/48","30/18800",6.04181236774131e-05,0.00880594152598297,0.00682883792617078,"344/5320/341",3
"9","Neutrophils and macrophages-FLC","GO:0034367","protein-containing complex remodeling","3/48","32/18800",7.35470552118174e-05,0.00952842959744212,0.0073891135002282,"344/5320/341",3
"10","Neutrophils and macrophages-FLC","GO:0090277","positive regulation of peptide hormone secretion","4/48","91/18800",8.49266447571203e-05,0.00979771663531509,0.00759794040781408,"5950/2244/6934/2266",4
"11","Neutrophils and macrophages-FLC","GO:0002793","positive regulation of peptide secretion","4/48","93/18800",9.24312890124065e-05,0.00979771663531509,0.00759794040781408,"5950/2244/6934/2266",4
"12","Neutrophils and macrophages-FLC","GO:0071827","plasma lipoprotein particle organization","3/48","45/18800",0.000205564324683948,0.0199740002151236,0.0154894521845185,"344/5320/341",3
"13","Neutrophils and macrophages-FLC","GO:0071825","protein-lipid complex subunit organization","3/48","48/18800",0.000249216931101742,0.0216851953647528,0.0168164510411869,"344/5320/341",3
"14","Neutrophils and macrophages-FLC","GO:0046887","positive regulation of hormone secretion","4/48","122/18800",0.000263401052111666,0.0216851953647528,0.0168164510411869,"5950/2244/6934/2266",4
"15","Neutrophils and macrophages-FLC","GO:0030490","maturation of SSU-rRNA","3/48","51/18800",0.00029845850529617,0.0216851953647528,0.0168164510411869,"6208/6234/6217",3
"16","Neutrophils and macrophages-FLC","GO:0042572","retinol metabolic process","3/48","51/18800",0.00029845850529617,0.0216851953647528,0.0168164510411869,"5950/1576/1577",3
