"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Stellate cells-FLC","GO:0061448","connective tissue development","6/46","260/18800",3.8904423458205e-05,0.0175239577197472,0.0141676430752262,"23213/2131/6653/861/64641/5159",6
"2","Stellate cells-FLC","GO:0010575","positive regulation of vascular endothelial growth factor production","3/46","29/18800",4.79087894343249e-05,0.0175239577197472,0.0141676430752262,"147372/23213/2626",3
"3","Stellate cells-FLC","GO:0030201","heparan sulfate proteoglycan metabolic process","3/46","32/18800",6.46986860423536e-05,0.0175239577197472,0.0141676430752262,"23213/2131/9953",3
"4","Stellate cells-FLC","GO:0001503","ossification","7/46","420/18800",6.66408535668336e-05,0.0175239577197472,0.0141676430752262,"1009/1462/1278/2131/197/861/3082",7
"5","Stellate cells-FLC","GO:0030198","extracellular matrix organization","6/46","307/18800",9.76212298405079e-05,0.0175239577197472,0.0141676430752262,"1278/23213/2191/2131/861/57188",6
"6","Stellate cells-FLC","GO:0043062","extracellular structure organization","6/46","308/18800",9.93787907813985e-05,0.0175239577197472,0.0141676430752262,"1278/23213/2191/2131/861/57188",6
"7","Stellate cells-FLC","GO:0045229","external encapsulating structure organization","6/46","310/18800",0.000102969589873142,0.0175239577197472,0.0141676430752262,"1278/23213/2191/2131/861/57188",6
"8","Stellate cells-FLC","GO:0032963","collagen metabolic process","4/46","101/18800",0.000107674087371719,0.0175239577197472,0.0141676430752262,"1278/2191/861/5159",4
"9","Stellate cells-FLC","GO:0010712","regulation of collagen metabolic process","3/46","43/18800",0.000157972394463176,0.0228533397323395,0.0184763034459856,"2191/861/5159",3
"10","Stellate cells-FLC","GO:0032836","glomerular basement membrane development","2/46","11/18800",0.00031764368579123,0.0413572078900181,0.0334361774517084,"23213/2131",2
"11","Stellate cells-FLC","GO:0010951","negative regulation of endopeptidase activity","5/46","251/18800",0.000357421613990473,0.0423057219468723,0.0342030252622462,"197/6695/1293/6653/3082",5
"12","Stellate cells-FLC","GO:0010574","regulation of vascular endothelial growth factor production","3/46","59/18800",0.000404896522086466,0.0431311452540905,0.0348703575504006,"147372/23213/2626",3
"13","Stellate cells-FLC","GO:0010466","negative regulation of peptidase activity","5/46","262/18800",0.000434893909657448,0.0431311452540905,0.0348703575504006,"197/6695/1293/6653/3082",5
"14","Stellate cells-FLC","GO:0010573","vascular endothelial growth factor production","3/46","63/18800",0.000491225502729509,0.0431311452540905,0.0348703575504006,"147372/23213/2626",3
"15","Stellate cells-FLC","GO:1902947","regulation of tau-protein kinase activity","2/46","14/18800",0.000523103267208695,0.0431311452540905,0.0348703575504006,"6653/3082",2
"16","Stellate cells-FLC","GO:0032835","glomerulus development","3/46","66/18800",0.00056315627443897,0.0431311452540905,0.0348703575504006,"23213/2131/5159",3
"17","Stellate cells-FLC","GO:1900076","regulation of cellular response to insulin stimulus","3/46","66/18800",0.00056315627443897,0.0431311452540905,0.0348703575504006,"10580/197/6653",3
"18","Stellate cells-FLC","GO:0046626","regulation of insulin receptor signaling pathway","3/46","68/18800",0.000614659806984865,0.0432738572848694,0.034985736344789,"10580/197/6653",3
"19","Stellate cells-FLC","GO:0030509","BMP signaling pathway","4/46","162/18800",0.000654012078361526,0.0432738572848694,0.034985736344789,"23213/2626/2131/6653",4
"20","Stellate cells-FLC","GO:0071772","response to BMP","4/46","173/18800",0.000836078259859682,0.0432738572848694,0.034985736344789,"23213/2626/2131/6653",4
"21","Stellate cells-FLC","GO:0071773","cellular response to BMP stimulus","4/46","173/18800",0.000836078259859682,0.0432738572848694,0.034985736344789,"23213/2626/2131/6653",4
"22","Stellate cells-FLC","GO:0006024","glycosaminoglycan biosynthetic process","3/46","76/18800",0.000850507272804738,0.0432738572848694,0.034985736344789,"2131/9953/5159",3
"23","Stellate cells-FLC","GO:0035265","organ growth","4/46","175/18800",0.000872657937574837,0.0432738572848694,0.034985736344789,"2626/2131/861/5159",4
"24","Stellate cells-FLC","GO:0031643","positive regulation of myelination","2/46","18/18800",0.00087403796295468,0.0432738572848694,0.034985736344789,"56288/3082",2
"25","Stellate cells-FLC","GO:0055003","cardiac myofibril assembly","2/46","19/18800",0.000975345418169439,0.0432738572848694,0.034985736344789,"80206/5159",2
"26","Stellate cells-FLC","GO:0006023","aminoglycan biosynthetic process","3/46","80/18800",0.000987226162463003,0.0432738572848694,0.034985736344789,"2131/9953/5159",3
"27","Stellate cells-FLC","GO:0006029","proteoglycan metabolic process","3/46","80/18800",0.000987226162463003,0.0432738572848694,0.034985736344789,"23213/2131/9953",3
"28","Stellate cells-FLC","GO:0001819","positive regulation of cytokine production","6/46","475/18800",0.00100228653262537,0.0432738572848694,0.034985736344789,"147372/23213/2626/6653/861/3082",6
"29","Stellate cells-FLC","GO:0055013","cardiac muscle cell development","3/46","81/18800",0.0010234475613358,0.0432738572848694,0.034985736344789,"2626/80206/5159",3
"30","Stellate cells-FLC","GO:0045766","positive regulation of angiogenesis","4/46","183/18800",0.00103032993535403,0.0432738572848694,0.034985736344789,"147372/2626/861/3082",4
"31","Stellate cells-FLC","GO:1904018","positive regulation of vasculature development","4/46","183/18800",0.00103032993535403,0.0432738572848694,0.034985736344789,"147372/2626/861/3082",4
"32","Stellate cells-NML","GO:0030198","extracellular matrix organization","7/46","307/18800",8.96556867498636e-06,0.00413965295801269,0.00310080219191661,"10631/1295/11093/9509/151887/9719/1277",7
"33","Stellate cells-NML","GO:0043062","extracellular structure organization","7/46","308/18800",9.15732914903709e-06,0.00413965295801269,0.00310080219191661,"10631/1295/11093/9509/151887/9719/1277",7
"34","Stellate cells-NML","GO:0045229","external encapsulating structure organization","7/46","310/18800",9.55108954183652e-06,0.00413965295801269,0.00310080219191661,"10631/1295/11093/9509/151887/9719/1277",7
"35","Stellate cells-NML","GO:0008202","steroid metabolic process","7/46","323/18800",1.24688342108816e-05,0.00413965295801269,0.00310080219191661,"9971/1577/1576/185/8647/1555/653",7
"36","Stellate cells-NML","GO:0042178","xenobiotic catabolic process","3/46","25/18800",3.03635411306572e-05,0.00806455652430256,0.00604074660388865,"1577/1576/1555",3
"37","Stellate cells-NML","GO:0120254","olefinic compound metabolic process","5/46","157/18800",3.96213589209465e-05,0.00876952744116948,0.00656880424215691,"5950/1577/1576/1555/653",5
"38","Stellate cells-NML","GO:0019218","regulation of steroid metabolic process","4/46","104/18800",0.000120613778941914,0.0195485449712837,0.0146428146780779,"9971/185/8647/653",4
"39","Stellate cells-NML","GO:0034308","primary alcohol metabolic process","4/46","105/18800",0.000125167138379632,0.0195485449712837,0.0146428146780779,"5950/1577/1576/653",4
"40","Stellate cells-NML","GO:0006805","xenobiotic metabolic process","4/46","108/18800",0.000139575620744866,0.0195485449712837,0.0146428146780779,"1577/1576/8647/1555",4
"41","Stellate cells-NML","GO:0031670","cellular response to nutrient","3/46","42/18800",0.000147202898880149,0.0195485449712837,0.0146428146780779,"10631/9971/1277",3
"42","Stellate cells-NML","GO:0061383","trabecula morphogenesis","3/46","46/18800",0.000193317903470829,0.0232796086366672,0.0174375635396723,"5950/653/1277",3
"43","Stellate cells-NML","GO:0006066","alcohol metabolic process","6/46","361/18800",0.000235542931564602,0.0232796086366672,0.0174375635396723,"5950/9971/1577/23236/1576/653",6
"44","Stellate cells-NML","GO:0031589","cell-substrate adhesion","6/46","364/18800",0.000246264687735858,0.0232796086366672,0.0174375635396723,"1295/3680/23189/11093/151887/1277",6
"45","Stellate cells-NML","GO:0048706","embryonic skeletal system development","4/46","127/18800",0.000260197746979644,0.0232796086366672,0.0174375635396723,"5396/5950/2263/1277",4
"46","Stellate cells-NML","GO:0042572","retinol metabolic process","3/46","51/18800",0.000262947386709344,0.0232796086366672,0.0174375635396723,"5950/1577/1576",3
"47","Stellate cells-NML","GO:0045472","response to ether","2/46","11/18800",0.00031764368579123,0.0252704095430788,0.0189287706231844,"23236/5244",2
"48","Stellate cells-NML","GO:0034754","cellular hormone metabolic process","4/46","137/18800",0.000347342450170171,0.0252704095430788,0.0189287706231844,"5950/1577/1576/653",4
"49","Stellate cells-NML","GO:0001867","complement activation, lectin pathway","2/46","12/18800",0.000380578456974078,0.0252704095430788,0.0189287706231844,"5648/10584",2
"50","Stellate cells-NML","GO:0032782","bile acid secretion","2/46","12/18800",0.000380578456974078,0.0252704095430788,0.0189287706231844,"8647/5244",2
"51","Stellate cells-NML","GO:0038183","bile acid signaling pathway","2/46","12/18800",0.000380578456974078,0.0252704095430788,0.0189287706231844,"9971/8647",2
"52","Stellate cells-NML","GO:0061448","connective tissue development","5/46","260/18800",0.000419943585793597,0.0265564324730427,0.019892064590223,"5396/9971/4256/653/1277",5
"53","Stellate cells-NML","GO:1904251","regulation of bile acid metabolic process","2/46","15/18800",0.000602640598946266,0.0363775779727564,0.0272485821054651,"9971/8647",2
"54","Stellate cells-NML","GO:1904888","cranial skeletal system development","3/46","70/18800",0.00066908137158781,0.0386321765855918,0.0289373865515094,"5396/2263/10584",3
"55","Stellate cells-NML","GO:0071466","cellular response to xenobiotic stimulus","4/46","168/18800",0.000749391092892333,0.041334479597585,0.0309615434525347,"1577/1576/8647/1555",4
"56","Stellate cells-NML","GO:0009404","toxin metabolic process","2/46","17/18800",0.000778134028568995,0.041334479597585,0.0309615434525347,"1577/1576",2
"57","Stellate cells-NML","GO:0055088","lipid homeostasis","4/46","173/18800",0.000836078259859682,0.0427043049651407,0.0319876095371417,"9971/8647/148534/5244",4
"58","Stellate cells-NML","GO:0006694","steroid biosynthetic process","4/46","175/18800",0.000872657937574837,0.0429218422629401,0.0321505555948624,"9971/1576/8647/653",4
"59","Stellate cells-NML","GO:0030324","lung development","4/46","179/18800",0.000949185751490958,0.0431752905109672,0.0323404007077235,"5950/2263/9509/9719",4
"60","Stellate cells-NML","GO:0072001","renal system development","5/46","312/18800",0.000957064095187266,0.0431752905109672,0.0323404007077235,"5950/185/2263/4774/168667",5
"61","Stellate cells-NML","GO:0070989","oxidative demethylation","2/46","19/18800",0.000975345418169439,0.0431752905109672,0.0323404007077235,"1577/1576",2
"62","Stellate cells-NML","GO:0030323","respiratory tube development","4/46","183/18800",0.00103032993535403,0.0441380049725857,0.0330615208458256,"5950/2263/9509/9719",4
"63","Stellate cells-NML","GO:0001523","retinoid metabolic process","3/46","84/18800",0.00113713137942896,0.0470697319870068,0.0352575275267291,"5950/1577/1576",3
"64","Stellate cells-NML","GO:0010817","regulation of hormone levels","6/46","496/18800",0.0012520529231192,0.0470697319870068,0.0352575275267291,"5950/9971/1577/1576/185/653",6
"65","Stellate cells-NML","GO:0016101","diterpenoid metabolic process","3/46","87/18800",0.00125849784687304,0.0470697319870068,0.0352575275267291,"5950/1577/1576",3
"66","Stellate cells-NML","GO:0051216","cartilage development","4/46","195/18800",0.00130296287347652,0.0470697319870068,0.0352575275267291,"5396/4256/653/1277",4
"67","Stellate cells-NML","GO:0030277","maintenance of gastrointestinal epithelium","2/46","22/18800",0.00131143078578257,0.0470697319870068,0.0352575275267291,"5950/56667",2
"68","Stellate cells-NML","GO:0060713","labyrinthine layer morphogenesis","2/46","22/18800",0.00131143078578257,0.0470697319870068,0.0352575275267291,"2263/653",2
"69","Stellate cells-NML","GO:0002053","positive regulation of mesenchymal cell proliferation","2/46","23/18800",0.00143409464734957,0.0488327613251342,0.0365781225842199,"5396/2263",2
