"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 1","GO:0019373","epoxygenase P450 pathway","4/42","19/18800",8.13777599131446e-08,7.51977865258412e-05,5.80046851104933e-05,"1557/1562/1559/1555",4
"2","Liver epithelial cells 1","GO:0006631","fatty acid metabolic process","9/42","395/18800",1.75932988859401e-07,7.51977865258412e-05,5.80046851104933e-05,"1557/51085/348158/1562/4051/123876/1559/1555/55268",9
"3","Liver epithelial cells 1","GO:0019369","arachidonic acid metabolic process","5/42","58/18800",1.82666687917023e-07,7.51977865258412e-05,5.80046851104933e-05,"1557/1562/4051/1559/1555",5
"4","Liver epithelial cells 1","GO:0071466","cellular response to xenobiotic stimulus","6/42","168/18800",1.87129814919595e-06,0.000577763303564249,0.000445664427637456,"1557/348158/1562/1559/2203/1555",6
"5","Liver epithelial cells 1","GO:0009410","response to xenobiotic stimulus","8/42","411/18800",2.99995480567092e-06,0.000740988837000717,0.000571570336659407,"1557/348158/1562/1559/2203/22941/1555/383",8
"6","Liver epithelial cells 1","GO:0006805","xenobiotic metabolic process","5/42","108/18800",4.09356694030983e-06,0.00082631548588256,0.000637388037267178,"1557/348158/1562/1559/1555",5
"7","Liver epithelial cells 1","GO:0001676","long-chain fatty acid metabolic process","5/42","111/18800",4.68356955560965e-06,0.00082631548588256,0.000637388037267178,"1557/1562/4051/1559/1555",5
"8","Liver epithelial cells 1","GO:0033559","unsaturated fatty acid metabolic process","5/42","115/18800",5.57183199712252e-06,0.00086015156455579,0.000663487889131037,"1557/1562/4051/1559/1555",5
"9","Liver epithelial cells 1","GO:0006690","icosanoid metabolic process","5/42","121/18800",7.14628450672012e-06,0.000980629040644372,0.000756419588138212,"1557/1562/4051/1559/1555",5
"10","Liver epithelial cells 1","GO:0009259","ribonucleotide metabolic process","7/42","384/18800",2.04544024905983e-05,0.00239955514470637,0.00185092470143556,"51085/348158/1807/123876/2203/9615/55022",7
"11","Liver epithelial cells 1","GO:0042178","xenobiotic catabolic process","3/42","25/18800",2.30434279211511e-05,0.00239955514470637,0.00185092470143556,"1557/1559/1555",3
"12","Liver epithelial cells 1","GO:0019693","ribose phosphate metabolic process","7/42","394/18800",2.4122137958684e-05,0.00239955514470637,0.00185092470143556,"51085/348158/1807/123876/2203/9615/55022",7
"13","Liver epithelial cells 1","GO:0120254","olefinic compound metabolic process","5/42","157/18800",2.52584752074355e-05,0.00239955514470637,0.00185092470143556,"1557/1562/4051/1559/1555",5
"14","Liver epithelial cells 1","GO:1903579","negative regulation of ATP metabolic process","3/42","30/18800",4.0361626459149e-05,0.00356047204836064,0.00274641142447593,"51085/2203/55022",3
"15","Liver epithelial cells 1","GO:0009117","nucleotide metabolic process","7/42","487/18800",9.21916203210498e-05,0.0075904434064331,0.00585497658881053,"51085/348158/1807/123876/2203/9615/55022",7
"16","Liver epithelial cells 1","GO:0006753","nucleoside phosphate metabolic process","7/42","495/18800",0.000102049845410495,0.00787697244262256,0.0060759940852959,"51085/348158/1807/123876/2203/9615/55022",7
"17","Liver epithelial cells 1","GO:0072330","monocarboxylic acid biosynthetic process","5/42","215/18800",0.000112553296699501,0.00817666596611079,0.00630716616179865,"51085/348158/123876/1559/5629",5
"18","Liver epithelial cells 1","GO:0009150","purine ribonucleotide metabolic process","6/42","366/18800",0.000151640804914173,0.010031530013969,0.0077379370659637,"51085/348158/123876/2203/9615/55022",6
