"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Cholangiocyte cells-FLC","GO:0042060","wound healing","12/87","429/18800",6.46299585094375e-07,0.00118983753615874,0.0010143501909218,"5339/301/83478/4217/2243/308/2266/558/2152/3673/2244/2069",12
"2","Cholangiocyte cells-FLC","GO:0017157","regulation of exocytosis","8/87","204/18800",4.70001351594619e-06,0.00432636244142846,0.00368827376435567,"29091/301/27445/2243/2266/6804/320/2244",8
"3","Cholangiocyte cells-FLC","GO:0030072","peptide hormone secretion","8/87","220/18800",8.18238879207815e-06,0.00443695484860886,0.00378255506405318,"301/27445/114/2243/133308/2266/6804/2244",8
"4","Cholangiocyte cells-FLC","GO:0002790","peptide secretion","8/87","225/18800",9.64031471723815e-06,0.00443695484860886,0.00378255506405318,"301/27445/114/2243/133308/2266/6804/2244",8
"5","Cholangiocyte cells-FLC","GO:0010817","regulation of hormone levels","11/87","496/18800",1.77117288376138e-05,0.00527851575697602,0.00449999542219689,"83539/3480/301/27445/114/2243/133308/2266/6804/2244/25976",11
"6","Cholangiocyte cells-FLC","GO:0050818","regulation of coagulation","5/87","71/18800",1.93485415532212e-05,0.00527851575697602,0.00449999542219689,"2243/308/2266/2152/2244",5
"7","Cholangiocyte cells-FLC","GO:0015833","peptide transport","8/87","249/18800",2.00704021177795e-05,0.00527851575697602,0.00449999542219689,"301/27445/114/2243/133308/2266/6804/2244",8
"8","Cholangiocyte cells-FLC","GO:0034116","positive regulation of heterotypic cell-cell adhesion","3/87","15/18800",4.18374356561416e-05,0.00819808844478072,0.00698896473379345,"2243/2266/2244",3
"9","Cholangiocyte cells-FLC","GO:0072378","blood coagulation, fibrin clot formation","3/87","15/18800",4.18374356561416e-05,0.00819808844478072,0.00698896473379345,"2243/2266/2244",3
"10","Cholangiocyte cells-FLC","GO:0046879","hormone secretion","8/87","281/18800",4.74574643837642e-05,0.00819808844478072,0.00698896473379345,"301/27445/114/2243/133308/2266/6804/2244",8
"11","Cholangiocyte cells-FLC","GO:0042886","amide transport","8/87","287/18800",5.50663544440162e-05,0.00819808844478072,0.00698896473379345,"301/27445/114/2243/133308/2266/6804/2244",8
"12","Cholangiocyte cells-FLC","GO:0009914","hormone transport","8/87","290/18800",5.92365198203089e-05,0.00819808844478072,0.00698896473379345,"301/27445/114/2243/133308/2266/6804/2244",8
"13","Cholangiocyte cells-FLC","GO:0072376","protein activation cascade","3/87","17/18800",6.21088088525962e-05,0.00819808844478072,0.00698896473379345,"2243/2266/2244",3
