"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Liver epithelial cells 1-NML","GO:0006805","xenobiotic metabolic process","9/90","108/18800",2.32956502907782e-09,4.23980835292164e-06,3.65619100879477e-06,"8647/1555/1576/1558/1548/348158/6822/1549/10249",9
"2","Liver epithelial cells 1-NML","GO:0071466","cellular response to xenobiotic stimulus","10/90","168/18800",7.67342507002519e-09,6.98281681372292e-06,6.02161935758293e-06,"8647/1555/1576/1558/1548/348158/6822/1549/2822/10249",10
"3","Liver epithelial cells 1-NML","GO:0019373","epoxygenase P450 pathway","4/90","19/18800",1.80158577038766e-06,0.00109296203403518,0.00094251381882386,"1555/1558/1548/1549",4
"4","Liver epithelial cells 1-NML","GO:0009410","response to xenobiotic stimulus","11/90","411/18800",4.21543156463467e-06,0.00191802136190878,0.00165400222707113,"8647/1555/1576/1558/148/1548/348158/6822/1549/2822/10249",11
"5","Liver epithelial cells 1-NML","GO:0042178","xenobiotic catabolic process","4/90","25/18800",5.75207591405197e-06,0.00209375563271492,0.00180554635533716,"1555/1576/1558/1548",4
"6","Liver epithelial cells 1-NML","GO:0046394","carboxylic acid biosynthetic process","9/90","316/18800",2.04599504128365e-05,0.00553075591677299,0.00476943728855323,"8647/51733/1576/123876/1558/348158/5352/635/9420",9
"7","Liver epithelial cells 1-NML","GO:0016053","organic acid biosynthetic process","9/90","318/18800",2.15031038989157e-05,0.00553075591677299,0.00476943728855323,"8647/51733/1576/123876/1558/348158/5352/635/9420",9
"8","Liver epithelial cells 1-NML","GO:0008202","steroid metabolic process","9/90","323/18800",2.43110150187824e-05,0.00553075591677299,0.00476943728855323,"8647/1555/2099/1576/1558/1548/6822/3949/9420",9
"9","Liver epithelial cells 1-NML","GO:0019432","triglyceride biosynthetic process","4/90","40/18800",3.93385411170896e-05,0.00795512720367812,0.0068600894509451,"392636/2822/3949/57678",4
"10","Liver epithelial cells 1-NML","GO:0046460","neutral lipid biosynthetic process","4/90","48/18800",8.13454751165215e-05,0.0134589786101881,0.0116063256840893,"392636/2822/3949/57678",4
