"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Endothelial cells-FLC","GO:0002181","cytoplasmic translation","19/95","146/18800",6.70850608658779e-22,1.30882953749328e-18,1.09666420552325e-18,"6176/6222/6137/6187/6170/6171/6234/6167/6134/6208/6206/6228/6164/6143/6154/6132/6168/6128/6229",19
"2","Endothelial cells-FLC","GO:0031589","cell-substrate adhesion","12/95","364/18800",2.99017305834288e-07,0.000291691381841348,0.000244407303137184,"3655/3912/1012/10085/2244/3673/947/395/2266/3232/10551/2243",12
"3","Endothelial cells-FLC","GO:0043542","endothelial cell migration","10/95","279/18800",1.46884044483632e-06,0.000514471358685293,0.00043107395399836,"6781/6678/7114/7424/1012/10769/161198/28984/2191/5797",10
"4","Endothelial cells-FLC","GO:0007596","blood coagulation","9/95","221/18800",1.78285925866052e-06,0.000514471358685293,0.00043107395399836,"953/2244/3673/947/2266/5265/9002/2191/2243",9
"5","Endothelial cells-FLC","GO:0010631","epithelial cell migration","11/95","358/18800",1.91704307837428e-06,0.000514471358685293,0.00043107395399836,"6781/6678/7114/7424/1012/3673/10769/161198/28984/2191/5797",11
"6","Endothelial cells-FLC","GO:0090132","epithelium migration","11/95","361/18800",2.0781732060011e-06,0.000514471358685293,0.00043107395399836,"6781/6678/7114/7424/1012/3673/10769/161198/28984/2191/5797",11
"7","Endothelial cells-FLC","GO:0050817","coagulation","9/95","226/18800",2.14387869459408e-06,0.000514471358685293,0.00043107395399836,"953/2244/3673/947/2266/5265/9002/2191/2243",9
"8","Endothelial cells-FLC","GO:0007599","hemostasis","9/95","227/18800",2.22318656434651e-06,0.000514471358685293,0.00043107395399836,"953/2244/3673/947/2266/5265/9002/2191/2243",9
"9","Endothelial cells-FLC","GO:0090130","tissue migration","11/95","366/18800",2.37326613437603e-06,0.000514471358685293,0.00043107395399836,"6781/6678/7114/7424/1012/3673/10769/161198/28984/2191/5797",11
"10","Endothelial cells-FLC","GO:0007160","cell-matrix adhesion","9/95","235/18800",2.95398699134379e-06,0.000576322862011174,0.000482899136584938,"3655/1012/2244/3673/947/395/2266/3232/2243",9
"11","Endothelial cells-FLC","GO:0050878","regulation of body fluid levels","11/95","382/18800",3.57956672740521e-06,0.000634884971378869,0.000531968146187587,"953/358/2244/3673/947/2266/5265/9002/2191/10551/2243",11
"12","Endothelial cells-FLC","GO:0030195","negative regulation of blood coagulation","5/95","48/18800",4.27196942441517e-06,0.000694551028919499,0.000581962150536557,"2244/947/2266/2191/2243",5
"13","Endothelial cells-FLC","GO:1900047","negative regulation of hemostasis","5/95","49/18800",4.73849461185158e-06,0.000711138691363264,0.000595860901393158,"2244/947/2266/2191/2243",5
"14","Endothelial cells-FLC","GO:0042730","fibrinolysis","4/95","24/18800",6.01630930316256e-06,0.000830020942890088,0.000695471970815672,"2244/2266/2191/2243",4
"15","Endothelial cells-FLC","GO:0050819","negative regulation of coagulation","5/95","52/18800",6.38150391765829e-06,0.000830020942890088,0.000695471970815672,"2244/947/2266/2191/2243",5
"16","Endothelial cells-FLC","GO:0042989","sequestering of actin monomers","3/95","11/18800",2.00283930444206e-05,0.00238178775301945,0.00199569256275551,"7114/2934/9168",3
"17","Endothelial cells-FLC","GO:0030193","regulation of blood coagulation","5/95","66/18800",2.07536605849978e-05,0.00238178775301945,0.00199569256275551,"2244/947/2266/2191/2243",5
"18","Endothelial cells-FLC","GO:1900046","regulation of hemostasis","5/95","68/18800",2.40153387716414e-05,0.00250593935863179,0.00209971880760483,"2244/947/2266/2191/2243",5
"19","Endothelial cells-FLC","GO:0003014","renal system process","6/95","114/18800",2.44043299918011e-05,0.00250593935863179,0.00209971880760483,"6781/2934/358/947/55959/3784",6
"20","Endothelial cells-FLC","GO:0050818","regulation of coagulation","5/95","71/18800",2.96395579726819e-05,0.00281749750166263,0.00236077240825599,"2244/947/2266/2191/2243",5
"21","Endothelial cells-FLC","GO:0001667","ameboidal-type cell migration","11/95","480/18800",3.03267286186136e-05,0.00281749750166263,0.00236077240825599,"6781/6678/7114/7424/1012/3673/10769/161198/28984/2191/5797",11
"22","Endothelial cells-FLC","GO:0010811","positive regulation of cell-substrate adhesion","6/95","122/18800",3.58097525326542e-05,0.00317567396323674,0.00266088735326373,"1012/10085/2244/2266/10551/2243",6
"23","Endothelial cells-FLC","GO:0061045","negative regulation of wound healing","5/95","76/18800",4.12292195554729e-05,0.00349731336316207,0.00293038800776428,"2244/947/2266/2191/2243",5
"24","Endothelial cells-FLC","GO:0034116","positive regulation of heterotypic cell-cell adhesion","3/95","15/18800",5.44248712473011e-05,0.00424731695213938,0.00355881368619194,"2244/2266/2243",3
"25","Endothelial cells-FLC","GO:0072378","blood coagulation, fibrin clot formation","3/95","15/18800",5.44248712473011e-05,0.00424731695213938,0.00355881368619194,"2244/2266/2243",3
"26","Endothelial cells-FLC","GO:0042060","wound healing","10/95","429/18800",6.18197079256983e-05,0.00463885577550144,0.00388688285055099,"953/2244/3673/947/2266/5265/9002/2191/2004/2243",10
"27","Endothelial cells-FLC","GO:0010712","regulation of collagen metabolic process","4/95","43/18800",6.49233118519781e-05,0.00469131042308182,0.00393083443688585,"7431/3673/28984/2191",4
"28","Endothelial cells-FLC","GO:0051258","protein polymerization","8/95","277/18800",8.06183567959979e-05,0.00525103414012577,0.00439982520144343,"7114/2934/2244/395/9168/2266/29767/2243",8
"29","Endothelial cells-FLC","GO:0050673","epithelial cell proliferation","10/95","443/18800",8.07062145653512e-05,0.00525103414012577,0.00439982520144343,"6678/3488/3912/7424/1012/947/28984/5654/2191/5797",10
"30","Endothelial cells-FLC","GO:0072376","protein activation cascade","3/95","17/18800",8.07437335744608e-05,0.00525103414012577,0.00439982520144343,"2244/2266/2243",3
"31","Endothelial cells-FLC","GO:1903035","negative regulation of response to wounding","5/95","92/18800",0.000102982725196451,0.00648126764058954,0.00543063403158194,"2244/947/2266/2191/2243",5
"32","Endothelial cells-FLC","GO:0010632","regulation of epithelial cell migration","8/95","290/18800",0.000110806947402469,0.00664837410837241,0.00557065202206823,"6781/6678/7114/7424/3673/10769/28984/5797",8
"33","Endothelial cells-FLC","GO:1904035","regulation of epithelial cell apoptotic process","5/95","94/18800",0.000114038649012822,0.00664837410837241,0.00557065202206823,"2934/2244/2266/28984/2243",5
"34","Endothelial cells-FLC","GO:0010810","regulation of cell-substrate adhesion","7/95","217/18800",0.000115860953195624,0.00664837410837241,0.00557065202206823,"1012/10085/2244/395/2266/10551/2243",7
"35","Endothelial cells-FLC","GO:0140694","non-membrane-bounded organelle assembly","9/95","379/18800",0.000127677620064129,0.00711711533557473,0.00596340884088999,"6234/285590/6134/2934/6208/6228/10769/29767/6128",9
"36","Endothelial cells-FLC","GO:0071320","cellular response to cAMP","4/95","54/18800",0.000159456587025116,0.00864166114683338,0.00724082104239782,"6781/3488/358/3784",4
"37","Endothelial cells-FLC","GO:0010594","regulation of endothelial cell migration","7/95","230/18800",0.000166027757650493,0.00875459878854357,0.00733545114171311,"6781/6678/7114/7424/10769/28984/5797",7
"38","Endothelial cells-FLC","GO:2000351","regulation of endothelial cell apoptotic process","4/95","59/18800",0.000225096627527976,0.0115569347449232,0.00968351973825339,"2244/2266/28984/2243",4
"39","Endothelial cells-FLC","GO:0034113","heterotypic cell-cell adhesion","4/95","61/18800",0.000256117588310542,0.012033318378386,0.010082680105551,"2244/2266/4345/2243",4
"40","Endothelial cells-FLC","GO:0031639","plasminogen activation","3/95","25/18800",0.000265214090348845,0.012033318378386,0.010082680105551,"2244/2266/2243",3
"41","Endothelial cells-FLC","GO:0032967","positive regulation of collagen biosynthetic process","3/95","25/18800",0.000265214090348845,0.012033318378386,0.010082680105551,"7431/3673/28984",3
"42","Endothelial cells-FLC","GO:0034114","regulation of heterotypic cell-cell adhesion","3/95","25/18800",0.000265214090348845,0.012033318378386,0.010082680105551,"2244/2266/2243",3
"43","Endothelial cells-FLC","GO:0050927","positive regulation of positive chemotaxis","3/95","25/18800",0.000265214090348845,0.012033318378386,0.010082680105551,"7424/1012/3673",3
"44","Endothelial cells-FLC","GO:0042255","ribosome assembly","4/95","62/18800",0.000272727874787829,0.012093001902524,0.0101326887451076,"6234/6134/6208/6128",4
"45","Endothelial cells-FLC","GO:0010714","positive regulation of collagen metabolic process","3/95","26/18800",0.000298711681821597,0.0123997125794454,0.0103896806689572,"7431/3673/28984",3
"46","Endothelial cells-FLC","GO:0050926","regulation of positive chemotaxis","3/95","26/18800",0.000298711681821597,0.0123997125794454,0.0103896806689572,"7424/1012/3673",3
"47","Endothelial cells-FLC","GO:0072010","glomerular epithelium development","3/95","26/18800",0.000298711681821597,0.0123997125794454,0.0103896806689572,"5175/5420/947",3
"48","Endothelial cells-FLC","GO:0001885","endothelial cell development","4/95","64/18800",0.000308248018185548,0.0125289975725001,0.0104980081632052,"6781/5175/7122/1306",4
